pair,module_a,module_b,samples,known_m,median_m,mean_m,std_cm,robust_sigma_cm,raw_error_cm,raw_error_dtu,fit_residual_cm,rounded_residual_cm
M1-M2,1,2,3376,2.1213203435596424,2.173,2.1726258886255922,1.195197361865232,1.0378200000000175,5.167965644035766,11.018278117480921,2.383333333333342,2.3537515233176167
M1-M3,1,3,3287,2.1213203435596424,2.166,2.167078491025251,1.7389555430307357,1.7791200000000014,4.467965644035754,9.525854364405484,0.9499999999999923,1.1847158365312467
M1-M4,1,4,2417,2.1213203435596424,2.154,2.153504344228382,1.6808594207018608,1.7791200000000014,3.267965644035753,6.967413644847634,-0.5833333333333501,-0.4843198502551126
M1-M5,1,5,3245,2.1213203435596424,2.124,2.1241057010785824,1.6864663365311592,1.630859999999952,0.2679656440357725,0.5713118459530534,-2.7499999999999867,-2.546248476682377
M2-M3,2,3,251,3.0,3.03,3.031342629482072,1.5558466247361493,1.630859999999952,2.9999999999999805,6.3961017988945805,-0.19531042935718998,-0.28324980750452666
M2-M4,2,4,402,3.0,3.039,3.040915422885572,1.1074052454115044,1.0378200000000175,3.9000000000000146,8.31493233856304,0.3713562373095022,0.14771450570914915
M2-M5,2,5,427,4.242640687119285,4.244,4.243316159250585,4.486979128313355,1.186080000000001,0.13593128807150023,0.2898101187200619,-2.559379141285668,-2.678282832646649
M3-M4,3,4,543,4.242640687119285,4.256,4.255891344383057,2.1041071356468337,2.816940000000019,1.3359312880715457,2.8482508382780076,-2.926045807952305,-2.8853898930056783
M3-M5,3,5,550,3.0,3.056,3.054630909090909,1.2561852392748067,1.3343399999999845,5.600000000000005,11.939390024603304,2.1713562373094977,2.316750192495497
M4-M5,4,5,339,3.0,3.069,3.0697138643067845,1.592786512458639,1.630860000000018,6.899999999999995,14.71103413745762,3.1380229039761476,3.1477145057091294
