age_sec,anchor_count,block,captured_at,client,geometry_version,host,kind,module_id,observation_count,position_event_id,protocol,received_at,rms_m,sigma_m,slot_id,tag_id,topic,uptime_ms,x_m,y_m,truth_x_m,truth_y_m,error_m,comparison_valid,exclusion_reason
0.004926919937133789,4,flex_1,1785085449.8164163,192.168.50.198:54210,47,uwb-module-1,local_position,1,12,7754,flextdoa,1785085449.8121686,0.087,0.024,19147,1,uwb.flex_tdoa.position,63800,1.562,1.415,1.5175,1.46675,0.06825183147725777,1,
0.01898813247680664,4,flex_1,1785085449.8481443,192.168.50.198:54210,47,uwb-module-1,local_position,1,12,7755,flextdoa,1785085449.8304636,0.11,0.03,19151,1,uwb.flex_tdoa.position,63810,1.545,1.428,1.5175,1.46675,0.047516444521870496,1,
0.0073621273040771484,4,flex_1,1785085449.878867,192.168.50.198:54210,47,uwb-module-1,local_position,1,12,7759,flextdoa,1785085449.8723295,0.056,0.015,19167,1,uwb.flex_tdoa.position,63860,1.505,1.454,1.5175,1.46675,0.017855321335669246,1,
0.007910966873168945,4,flex_1,1785085449.9090688,192.168.50.198:54210,47,uwb-module-1,local_position,1,12,7761,flextdoa,1785085449.9024038,0.127,0.035,19175,1,uwb.flex_tdoa.position,63880,1.463,1.474,1.5175,1.46675,0.05498011003990442,1,
0.0041408538818359375,4,flex_1,1785085449.9394393,192.168.50.198:54210,47,uwb-module-1,local_position,1,12,7764,flextdoa,1785085449.9361181,0.145,0.04,19187,1,uwb.flex_tdoa.position,63920,1.526,1.438,1.5175,1.46675,0.02998020180052166,1,
0.0032958984375,4,flex_1,1785085449.9731863,192.168.50.198:54210,47,uwb-module-1,local_position,1,12,7767,flextdoa,1785085449.9711905,0.099,0.027,19199,1,uwb.flex_tdoa.position,63950,1.516,1.473,1.5175,1.46675,0.00642748006609132,1,
0.009235858917236328,4,flex_1,1785085450.00533,192.168.50.198:54210,47,uwb-module-1,local_position,1,12,7769,flextdoa,1785085449.9972723,0.107,0.029,19207,1,uwb.flex_tdoa.position,63980,1.554,1.395,1.5175,1.46675,0.08050038819782172,1,
0.006291866302490234,4,flex_1,1785085450.0365396,192.168.50.198:54210,47,uwb-module-1,local_position,1,12,7772,flextdoa,1785085450.0313346,0.103,0.028,19219,1,uwb.flex_tdoa.position,64010,1.514,1.45,1.5175,1.46675,0.017111764958647656,1,
0.009244680404663086,4,flex_1,1785085450.066898,192.168.50.198:54210,47,uwb-module-1,local_position,1,12,7773,flextdoa,1785085450.0588036,0.052,0.014,19223,1,uwb.flex_tdoa.position,64030,1.521,1.515,1.5175,1.46675,0.04837677645317007,1,
0.003670215606689453,4,flex_1,1785085450.1780443,192.168.50.198:54210,47,uwb-module-1,local_position,1,12,7784,flextdoa,1785085450.175606,0.083,0.023,19267,1,uwb.flex_tdoa.position,64160,1.535,1.451,1.5175,1.46675,0.023543842082378835,1,
0.012594223022460938,4,flex_1,1785085450.2142494,192.168.50.198:54210,47,uwb-module-1,local_position,1,12,7786,flextdoa,1785085450.20281,0.12,0.033,19275,1,uwb.flex_tdoa.position,64180,1.476,1.462,1.5175,1.46675,0.041770952826096844,1,
0.0009005069732666016,4,flex_1,1785085450.2472775,192.168.50.198:54210,47,uwb-module-1,local_position,1,12,7790,flextdoa,1785085450.2475915,0.089,0.024,19291,1,uwb.flex_tdoa.position,64230,1.555,1.47,1.5175,1.46675,0.03764056986816206,1,
0.01032876968383789,4,flex_1,1785085450.2806249,192.168.50.198:54210,47,uwb-module-1,local_position,1,12,7791,flextdoa,1785085450.271401,0.083,0.023,19295,1,uwb.flex_tdoa.position,64250,1.545,1.439,1.5175,1.46675,0.03906804960578387,1,
0.008274555206298828,4,flex_1,1785085450.3111625,192.168.50.198:54210,47,uwb-module-1,local_position,1,12,7794,flextdoa,1785085450.3036542,0.087,0.024,19307,1,uwb.flex_tdoa.position,64280,1.554,1.451,1.5175,1.46675,0.0397531445297098,1,
0.010799407958984375,4,flex_1,1785085450.3432598,192.168.50.198:54210,47,uwb-module-1,local_position,1,12,7797,flextdoa,1785085450.3334787,0.109,0.03,19319,1,uwb.flex_tdoa.position,64310,1.537,1.444,1.5175,1.46675,0.029963519486201823,1,
0.0007526874542236328,4,flex_1,1785085450.3707197,192.168.50.198:54210,47,uwb-module-1,local_position,1,12,7800,flextdoa,1785085450.3713784,0.088,0.024,19331,1,uwb.flex_tdoa.position,64360,1.538,1.528,1.5175,1.46675,0.06458956959138218,1,
0.006623744964599609,4,flex_1,1785085450.4049873,192.168.50.198:54210,47,uwb-module-1,local_position,1,12,7802,flextdoa,1785085450.3995683,0.091,0.025,19339,1,uwb.flex_tdoa.position,64380,1.566,1.468,1.5175,1.46675,0.0485161055733042,1,
0.005456686019897461,4,flex_1,1785085450.4671936,192.168.50.198:54210,47,uwb-module-1,local_position,1,12,7807,flextdoa,1785085450.462404,0.182,0.05,19359,1,uwb.flex_tdoa.position,64430,1.503,1.465,1.5175,1.46675,0.014605221668978699,1,
0.00860285758972168,4,flex_1,1785085450.4999807,192.168.50.198:54210,47,uwb-module-1,local_position,1,12,7810,flextdoa,1785085450.4926763,0.062,0.017,19371,1,uwb.flex_tdoa.position,64470,1.538,1.464,1.5175,1.46675,0.02068362879187302,1,
