protocol,series,reference,n,bias_cm,std_cm,mae_cm,median_cm,robust_sigma_mad_cm,p05_cm,p95_cm,p95_abs_cm,p99_abs_cm,max_abs_cm,rmse_cm,physical_bound_m,physically_impossible_count
DS-TWR,A3,2.121320344 m,5555,8.024113258797241,0.9235327694182791,8.024113258797241,7.867965644035779,0.8895599999999677,6.667965644035778,9.767965644035748,9.767965644035748,10.567965644035748,11.467965644035782,8.077075759613834,,
DS-TWR,A4,2.121320344 m,5571,3.0272907203236774,1.5306552182575173,3.0369707086116846,3.067965644035775,1.630859999999952,0.46796564403575047,5.467965644035777,5.467965644035777,6.567965644035745,8.167965644035746,3.392193088358176,,
DS-TWR,A5,2.121320344 m,5569,-4.210576284497186,1.561119836450976,4.217920748536474,-4.332034355964254,1.4826000000000343,-6.5320343559642335,-1.432034355964218,6.5320343559642335,7.632034355964246,8.932034355964236,4.4906135631159305,,
FlexTDOA corrected,A2->A3,0 m,25583,4.923480436227182,9.380679225372718,8.116475784700778,5.0,7.85778,-9.6,18.9,20.0,30.599999999999998,101.6,10.594072052931569,3.0,0
FlexTDOA uncorrected,A2->A3,0 m,25583,97.41222686940544,13.705217798204664,97.41222686940544,96.0,15.863819999999999,77.7,120.8,120.8,126.89999999999999,140.0,98.37157921092235,3.0,0
FlexTDOA corrected,A2->A4,0 m,25192,0.8930057161003493,10.433506179284663,7.786178151794221,1.0,9.043859999999999,-15.4,16.6,20.0,31.209000000000014,108.60000000000001,10.471446378912217,3.0,0
FlexTDOA uncorrected,A2->A4,0 m,25192,15.629378374087011,7.326571760914331,15.75346538583677,15.5,7.11648,4.0,27.700000000000003,27.800000000000004,33.2,52.7,17.26134384532268,3.0,0
FlexTDOA corrected,A2->A5,0 m,24354,-8.804422271495444,13.458572459857077,11.243955818346063,-8.200000000000001,9.192119999999997,-25.5,7.7,26.400000000000002,52.74700000000012,211.39999999999998,16.08239990423712,4.242640687119285,0
FlexTDOA uncorrected,A2->A5,0 m,24354,70.10185595795352,15.754685109759533,70.44168514412416,70.5,14.974259999999994,49.0,93.0,93.10000000000001,100.34700000000012,147.2,71.85033138335668,4.242640687119285,0
FlexTDOA corrected,A3->A2,0 m,23516,-5.706544480353802,9.939677089439755,8.595275557067529,-5.7,7.70952,-20.1,8.7,21.2,36.199999999999996,111.60000000000001,11.461135601400327,3.0,1
FlexTDOA uncorrected,A3->A2,0 m,23516,95.9348486137098,16.38892342523163,95.9348486137098,94.1,20.75639999999998,73.075,122.30000000000001,122.30000000000001,127.78499999999985,151.0,97.32461439789314,3.0,1
FlexTDOA corrected,A3->A4,0 m,22517,-7.6443131855931075,9.717503169065516,9.824061819958253,-7.6,8.450819999999998,-22.7,7.5,23.1,34.2,82.5,12.363704873774692,4.242640687119285,1
FlexTDOA uncorrected,A3->A4,0 m,22517,7.243607052449261,7.119631157331854,8.295470089265889,7.000000000000001,6.96822,-3.9,19.3,19.3,24.099999999999998,52.900000000000006,10.156610645121637,4.242640687119285,1
FlexTDOA corrected,A3->A5,0 m,20732,-13.606776963148755,9.267586298353931,14.317793748794136,-13.700000000000001,7.85778,-27.700000000000003,0.4,27.900000000000002,37.8,87.1,16.46293996649272,3.0,2
FlexTDOA uncorrected,A3->A5,0 m,20732,64.80226702681846,13.89192408019956,64.8029230175574,63.7,16.160339999999998,44.355,88.2,88.2,94.19999999999999,109.1,66.27450533864085,3.0,2
FlexTDOA corrected,A4->A2,0 m,24892,-0.6933231560340672,9.814133618705803,7.252611280732767,-0.7000000000000001,8.450819999999998,-15.8,14.000000000000002,18.9,30.8,93.60000000000001,9.83839652991936,3.0,0
FlexTDOA uncorrected,A4->A2,0 m,24892,100.06019604692271,15.046689088525364,100.06019604692271,98.6,17.64294,78.2,125.4,125.4,131.9,157.20000000000002,101.18515993004655,3.0,0
FlexTDOA corrected,A4->A3,0 m,24316,7.1808356637604875,10.228169038708991,9.693189669353512,7.199999999999999,8.450819999999998,-8.0,22.2,23.1,35.48499999999985,104.4,12.497021260481704,4.242640687119285,0
FlexTDOA uncorrected,A4->A3,0 m,24316,99.1261720677743,14.105765704828558,99.1261720677743,98.1,16.60512,78.60000000000001,123.10000000000001,123.10000000000001,129.1,151.5,100.12473436740517,4.242640687119285,0
FlexTDOA corrected,A4->A5,0 m,23612,-5.978316110452312,10.055642404747026,9.054446891411146,-6.0,8.74734,-21.4,9.4,22.1,33.300000000000004,100.8,11.698372762577893,3.0,0
FlexTDOA uncorrected,A4->A5,0 m,23612,72.95657716415383,13.383912915265118,72.95657716415383,72.6,15.270779999999995,52.2,94.8,94.8,101.29999999999998,119.0,74.17400953213225,3.0,0
FlexTDOA corrected,A5->A2,0 m,24976,6.7345491672005116,13.026391010702412,10.426028987828316,7.3,9.04386,-9.2,23.200000000000003,24.9,42.199999999999996,177.4,14.664045187205414,4.242640687119285,0
FlexTDOA uncorrected,A5->A2,0 m,24976,107.22025544522742,17.518064399102474,107.43213885329916,106.69999999999999,18.087719999999997,85.2,133.5,133.5,139.6,161.20000000000002,108.64185874207095,4.242640687119285,0
FlexTDOA corrected,A5->A3,0 m,24931,13.18032168785849,9.914920192901759,14.10217801131122,13.200000000000001,8.30256,-1.9,28.299999999999997,28.549999999999997,37.770000000000074,124.10000000000001,16.493107018338502,3.0,0
FlexTDOA uncorrected,A5->A3,0 m,24931,105.18734106132928,13.718428327097174,105.18734106132928,104.1,16.16033999999998,85.6,128.5,128.5,133.6,151.89999999999998,106.07810540668991,3.0,0
FlexTDOA corrected,A5->A4,0 m,25091,5.870168586345701,10.924785502228602,9.558471164959546,6.0,9.34038,-11.200000000000001,22.3,23.200000000000003,34.5,107.80000000000001,12.401816833785496,3.0,0
FlexTDOA uncorrected,A5->A4,0 m,25091,20.558702323542306,6.847468155559189,20.598844207086202,20.5,6.375180000000001,9.4,31.5,31.5,36.80999999999985,65.2,21.669014575165207,3.0,0
