capture_id,protocol,motion,duration_s,rtk_tag_total,rtk_tag_valid,rtk_tag_fixed,rtk_tag_fixed_pct,rtk_tag_fix_age_p95_ms,rtk_all_modules_fixed_pct,rtk_fixed_anchor_count,rtk_anchor_spread_p95_m_max,rtk_tag_center_east_m,rtk_tag_center_north_m,rtk_tag_center_up_m,tag_cloud_n,tag_cloud_median_x_m,tag_cloud_median_y_m,tag_cloud_cep50_m,tag_cloud_rms_m,tag_cloud_p95_m,tag_cloud_p99_m,tag_cloud_max_m,tag_cloud_std_x_m,tag_cloud_std_y_m,tag_cloud_two_drms_m,tag_cloud_first_to_last_decile_drift_m
rpi_static_flextdoa_rtkfixed_180s,flextdoa,static,180.0542368888855,119,119,119,100.0,100.0,91.44295302013423,4,0.1480256033319639,0.003987644355018388,0.6822777087000036,0.0499999634205584,119,0.003987644355018388,0.6822777087000036,0.004139574430256786,0.005236150324470434,0.008455415621369018,0.013318592681559022,0.01360345146863198,0.0026453266647748623,0.004479018866927731,0.010403723020854308,0.008925317785350708
rpi_static_native_rtkfixed_180s,native_ds,static,180.04557251930237,119,119,119,100.0,100.0,86.26465661641541,4,1.8267358379636716,-0.0023925864344308823,0.6811665081398852,0.06999996321057844,119,-0.0023925864344308823,0.6811665081398852,0.004565126999845673,0.007359631189672206,0.011515740738192476,0.02863701260453866,0.033953872129325914,0.005307800031063133,0.005018219529188653,0.014608938142504975,0.008643964554592877
rpi_static_passive_rtkfixed_180s,passive_ds,static,180.05542540550232,119,119,102,85.71428571428571,130.0,92.95302013422818,4,0.2452632021698354,-0.06579608443999974,2.262405149369263,-2.960000400781812,102,-0.06579608443999974,2.262405149369263,0.012155774574327318,0.013973830338338383,0.020154875064044075,0.0377796046267348,0.04057487145846951,0.005971940399322065,0.012691099170948622,0.02805195681587349,0.03426569659232877
walk_flex_final,flextdoa,dynamic,91.3547911643982,24,24,24,100.0,95.50000000000004,92.98245614035088,4,0.14220351391726432,0.3425387070559569,-0.4161449460634764,0.3649987005748443,24,0.3425387070559569,-0.4161449460634764,2.625833480777098,2.8464753893777868,4.823388026475103,5.114197582040434,5.1787967799648635,2.2272404717119088,1.8258825411362227,5.76001637944114,3.6951175253490036
walk_native_final,native_ds,dynamic,91.10271167755127,30,30,28,93.33333333333333,96.49999999999999,55.86206896551724,3,1.3155426902610188,1.693952075268402,0.32169295750929855,0.6699990345920481,28,1.693952075268402,0.32169295750929855,3.373505661997208,3.345058933124995,4.875641530193141,4.911606447045479,4.923770152506058,2.1167783742040105,2.658633595041743,6.796788441074904,4.282950770459508
walk_passive_final,passive_ds,dynamic,95.71872806549072,26,26,25,96.15384615384616,106.00000000000001,72.22222222222223,4,0.45941078623695775,-0.8158729382789329,-5.002628510519098,0.3499975886318216,25,-0.8158729382789329,-5.002628510519098,2.951980143123763,3.6790945817662544,6.251424072531396,6.58322126681056,6.638019505622213,2.3059445290517986,2.8919892605309028,7.397562315814581,4.670628209255357
