capture_id,protocol,motion,alignment_index,geometry_time,snapshot_time,geometry_version,dynamic,all_rtk_fixed,source_geometry_fit_rms_m,anchor_ids,yaw_deg,translation_east_m,translation_north_m,fit_rmse_m,fit_p95_m,fit_max_m
flextdoa_final_dynamic_20260812,flextdoa,dynamic,0,1786563153.5941043,1786563153.9390767,100,False,False,0.0,"2,3,4,5",8.698150982021387,-0.24185896364789605,-4.433333206619627,0.8593479334472318,1.239817958357227,1.3202263366253029
flextdoa_final_dynamic_20260812,flextdoa,dynamic,1,1786563154.587595,1786563154.717464,100,False,False,0.0,"2,3,4,5",8.698150982021387,-0.24185896364789605,-4.433333206619627,0.8593479334472318,1.239817958357227,1.3202263366253029
flextdoa_final_dynamic_20260812,flextdoa,dynamic,2,1786563155.666155,1786563156.130882,100,False,False,0.0,"2,3,4,5",8.698150982021387,-0.24185896364789605,-4.433333206619627,0.8593479334472318,1.239817958357227,1.3202263366253029
flextdoa_final_dynamic_20260812,flextdoa,dynamic,3,1786563156.655207,1786563156.7686026,100,False,False,0.0,"2,3,4,5",8.698150982021387,-0.24185896364789605,-4.433333206619627,0.8593479334472318,1.239817958357227,1.3202263366253029
flextdoa_final_dynamic_20260812,flextdoa,dynamic,4,1786563157.6825302,1786563158.5120165,100,False,False,0.0,"2,3,4,5",8.698150982021387,-0.24185896364789605,-4.433333206619627,0.8593479334472318,1.239817958357227,1.3202263366253029
flextdoa_final_dynamic_20260812,flextdoa,dynamic,5,1786563158.7055197,1786563159.3383436,100,False,False,0.0,"2,3,4,5",8.698150982021387,-0.24185896364789605,-4.433333206619627,0.8593479334472318,1.239817958357227,1.3202263366253029
flextdoa_final_dynamic_20260812,flextdoa,dynamic,6,1786563160.109912,1786563160.6517558,100,False,False,0.0,"2,3,4,5",8.698150982021387,-0.24185896364789605,-4.433333206619627,0.8593479334472318,1.239817958357227,1.3202263366253029
flextdoa_final_dynamic_20260812,flextdoa,dynamic,7,1786563161.0403292,1786563161.39921,100,False,False,0.0,"2,3,4,5",8.698150982021387,-0.24185896364789605,-4.433333206619627,0.8593479334472318,1.239817958357227,1.3202263366253029
flextdoa_final_dynamic_20260812,flextdoa,dynamic,8,1786563162.0770555,1786563162.2781293,100,False,False,0.0,"2,3,4,5",8.698150982021387,-0.24185896364789605,-4.433333206619627,0.8593479334472318,1.239817958357227,1.3202263366253029
flextdoa_final_dynamic_20260812,flextdoa,dynamic,9,1786563163.1958685,1786563163.8160267,100,False,False,0.0,"2,3,4,5",8.698150982021387,-0.24185896364789605,-4.433333206619627,0.8593479334472318,1.239817958357227,1.3202263366253029
flextdoa_final_dynamic_20260812,flextdoa,dynamic,10,1786563164.1666844,1786563164.5366597,100,False,False,0.0,"2,3,4,5",8.698150982021387,-0.24185896364789605,-4.433333206619627,0.8593479334472318,1.239817958357227,1.3202263366253029
flextdoa_final_dynamic_20260812,flextdoa,dynamic,11,1786563165.3640842,1786563165.9719074,100,False,False,0.0,"2,3,4,5",8.698150982021387,-0.24185896364789605,-4.433333206619627,0.8593479334472318,1.239817958357227,1.3202263366253029
flextdoa_final_dynamic_20260812,flextdoa,dynamic,12,1786563166.3805704,1786563166.833489,100,False,False,0.0,"2,3,4,5",8.698150982021387,-0.24185896364789605,-4.433333206619627,0.8593479334472318,1.239817958357227,1.3202263366253029
flextdoa_final_dynamic_20260812,flextdoa,dynamic,13,1786563167.4022348,1786563167.569628,100,False,False,0.0,"2,3,4,5",8.698150982021387,-0.24185896364789605,-4.433333206619627,0.8593479334472318,1.239817958357227,1.3202263366253029
flextdoa_final_dynamic_20260812,flextdoa,dynamic,14,1786563168.3851526,1786563168.9869409,100,False,False,0.0,"2,3,4,5",8.698150982021387,-0.24185896364789605,-4.433333206619627,0.8593479334472318,1.239817958357227,1.3202263366253029
flextdoa_final_dynamic_20260812,flextdoa,dynamic,15,1786563169.4149919,1786563169.7143755,100,False,False,0.0,"2,3,4,5",8.698150982021387,-0.24185896364789605,-4.433333206619627,0.8593479334472318,1.239817958357227,1.3202263366253029
flextdoa_final_dynamic_20260812,flextdoa,dynamic,16,1786563170.4457881,1786563171.2359672,100,False,False,0.0,"2,3,4,5",8.698150982021387,-0.24185896364789605,-4.433333206619627,0.8593479334472318,1.239817958357227,1.3202263366253029
flextdoa_final_dynamic_20260812,flextdoa,dynamic,17,1786563171.4478962,1786563172.0620146,100,False,False,0.0,"2,3,4,5",8.698150982021387,-0.24185896364789605,-4.433333206619627,0.8593479334472318,1.239817958357227,1.3202263366253029
flextdoa_final_dynamic_20260812,flextdoa,dynamic,18,1786563172.4747381,1786563172.739634,100,False,False,0.0,"2,3,4,5",8.698150982021387,-0.24185896364789605,-4.433333206619627,0.8593479334472318,1.239817958357227,1.3202263366253029
flextdoa_final_dynamic_20260812,flextdoa,dynamic,19,1786563173.4513657,1786563173.9004722,100,False,False,0.0,"2,3,4,5",8.698150982021387,-0.24185896364789605,-4.433333206619627,0.8593479334472318,1.239817958357227,1.3202263366253029
flextdoa_final_dynamic_20260812,flextdoa,dynamic,20,1786563174.4735224,1786563174.7766368,100,False,False,0.0,"2,3,4,5",8.698150982021387,-0.24185896364789605,-4.433333206619627,0.8593479334472318,1.239817958357227,1.3202263366253029
flextdoa_final_dynamic_20260812,flextdoa,dynamic,21,1786563175.4920547,1786563176.1782231,100,False,False,0.0,"2,3,4,5",8.698150982021387,-0.24185896364789605,-4.433333206619627,0.8593479334472318,1.239817958357227,1.3202263366253029
flextdoa_final_dynamic_20260812,flextdoa,dynamic,22,1786563177.5735495,1786563178.1921043,100,False,False,0.0,"2,3,4,5",8.698150982021387,-0.24185896364789605,-4.433333206619627,0.8593479334472318,1.239817958357227,1.3202263366253029
flextdoa_final_dynamic_20260812,flextdoa,dynamic,23,1786563178.5855765,1786563178.9764416,100,False,False,0.0,"2,3,4,5",8.698150982021387,-0.24185896364789605,-4.433333206619627,0.8593479334472318,1.239817958357227,1.3202263366253029
flextdoa_final_dynamic_20260812,flextdoa,dynamic,24,1786563179.6546187,1786563180.368262,100,False,False,0.0,"2,3,4,5",8.698150982021387,-0.24185896364789605,-4.433333206619627,0.8593479334472318,1.239817958357227,1.3202263366253029
flextdoa_final_dynamic_20260812,flextdoa,dynamic,25,1786563180.6255937,1786563181.0528805,100,False,False,0.0,"2,3,4,5",8.698150982021387,-0.24185896364789605,-4.433333206619627,0.8593479334472318,1.239817958357227,1.3202263366253029
flextdoa_final_dynamic_20260812,flextdoa,dynamic,26,1786563181.65928,1786563182.1032052,100,False,False,0.0,"2,3,4,5",8.698150982021387,-0.24185896364789605,-4.433333206619627,0.8593479334472318,1.239817958357227,1.3202263366253029
flextdoa_final_dynamic_20260812,flextdoa,dynamic,27,1786563182.6757817,1786563182.8313367,100,False,False,0.0,"2,3,4,5",8.698150982021387,-0.24185896364789605,-4.433333206619627,0.8593479334472318,1.239817958357227,1.3202263366253029
flextdoa_final_dynamic_20260812,flextdoa,dynamic,28,1786563183.686234,1786563183.823522,100,False,False,0.0,"2,3,4,5",8.698150982021387,-0.24185896364789605,-4.433333206619627,0.8593479334472318,1.239817958357227,1.3202263366253029
flextdoa_final_dynamic_20260812,flextdoa,dynamic,29,1786563184.7813632,1786563185.1452894,100,False,False,0.0,"2,3,4,5",8.698150982021387,-0.24185896364789605,-4.433333206619627,0.8593479334472318,1.239817958357227,1.3202263366253029
flextdoa_final_dynamic_20260812,flextdoa,dynamic,30,1786563185.780387,1786563185.879692,100,False,False,0.0,"2,3,4,5",8.698150982021387,-0.24185896364789605,-4.433333206619627,0.8593479334472318,1.239817958357227,1.3202263366253029
flextdoa_final_dynamic_20260812,flextdoa,dynamic,31,1786563186.746776,1786563187.30195,100,False,False,0.0,"2,3,4,5",8.698150982021387,-0.24185896364789605,-4.433333206619627,0.8593479334472318,1.239817958357227,1.3202263366253029
flextdoa_final_dynamic_20260812,flextdoa,dynamic,32,1786563187.7668114,1786563187.9734817,100,False,False,0.0,"2,3,4,5",8.698150982021387,-0.24185896364789605,-4.433333206619627,0.8593479334472318,1.239817958357227,1.3202263366253029
flextdoa_final_dynamic_20260812,flextdoa,dynamic,33,1786563188.9219909,1786563189.3248959,100,False,False,0.0,"2,3,4,5",8.698150982021387,-0.24185896364789605,-4.433333206619627,0.8593479334472318,1.239817958357227,1.3202263366253029
flextdoa_final_dynamic_20260812,flextdoa,dynamic,34,1786563189.941656,1786563190.4629586,100,False,False,0.0,"2,3,4,5",8.698150982021387,-0.24185896364789605,-4.433333206619627,0.8593479334472318,1.239817958357227,1.3202263366253029
flextdoa_final_dynamic_20260812,flextdoa,dynamic,35,1786563190.932404,1786563191.29812,100,False,False,0.0,"2,3,4,5",8.698150982021387,-0.24185896364789605,-4.433333206619627,0.8593479334472318,1.239817958357227,1.3202263366253029
flextdoa_final_dynamic_20260812,flextdoa,dynamic,36,1786563191.9599636,1786563192.078211,100,False,False,0.0,"2,3,4,5",8.698150982021387,-0.24185896364789605,-4.433333206619627,0.8593479334472318,1.239817958357227,1.3202263366253029
flextdoa_final_dynamic_20260812,flextdoa,dynamic,37,1786563192.991093,1786563193.3266435,100,False,False,0.0,"2,3,4,5",8.698150982021387,-0.24185896364789605,-4.433333206619627,0.8593479334472318,1.239817958357227,1.3202263366253029
flextdoa_final_dynamic_20260812,flextdoa,dynamic,38,1786563194.0562437,1786563194.7333515,100,False,False,0.0,"2,3,4,5",8.698150982021387,-0.24185896364789605,-4.433333206619627,0.8593479334472318,1.239817958357227,1.3202263366253029
flextdoa_final_dynamic_20260812,flextdoa,dynamic,39,1786563195.1241748,1786563195.7128336,100,False,False,0.0,"2,3,4,5",8.698150982021387,-0.24185896364789605,-4.433333206619627,0.8593479334472318,1.239817958357227,1.3202263366253029
flextdoa_final_dynamic_20260812,flextdoa,dynamic,40,1786563196.0962367,1786563196.3734288,100,False,False,0.0,"2,3,4,5",8.698150982021387,-0.24185896364789605,-4.433333206619627,0.8593479334472318,1.239817958357227,1.3202263366253029
flextdoa_final_dynamic_20260812,flextdoa,dynamic,41,1786563197.1194642,1786563197.1336389,100,False,False,0.0,"2,3,4,5",8.698150982021387,-0.24185896364789605,-4.433333206619627,0.8593479334472318,1.239817958357227,1.3202263366253029
flextdoa_final_dynamic_20260812,flextdoa,dynamic,42,1786563198.1361403,1786563198.3830984,100,False,False,0.0,"2,3,4,5",8.698150982021387,-0.24185896364789605,-4.433333206619627,0.8593479334472318,1.239817958357227,1.3202263366253029
flextdoa_final_dynamic_20260812,flextdoa,dynamic,43,1786563199.2132227,1786563199.7653673,100,False,False,0.0,"2,3,4,5",8.698150982021387,-0.24185896364789605,-4.433333206619627,0.8593479334472318,1.239817958357227,1.3202263366253029
flextdoa_final_dynamic_20260812,flextdoa,dynamic,44,1786563200.3742473,1786563200.4207277,100,False,False,0.0,"2,3,4,5",8.698150982021387,-0.24185896364789605,-4.433333206619627,0.8593479334472318,1.239817958357227,1.3202263366253029
flextdoa_final_dynamic_20260812,flextdoa,dynamic,45,1786563201.3582351,1786563201.604058,100,False,False,0.0,"2,3,4,5",8.698150982021387,-0.24185896364789605,-4.433333206619627,0.8593479334472318,1.239817958357227,1.3202263366253029
