capture_id,protocol,motion,alignment_available,alignment_snapshot_count,alignment_dynamic_snapshot_count,alignment_rtk_derived_dynamic_geometry,alignment_anchor_count_min,alignment_fit_rmse_m_median,alignment_fit_rmse_m_p95,alignment_fit_rmse_m_max,alignment_fit_residual_m_max,alignment_yaw_deg_median,alignment_yaw_deg_span,alignment_anchor_spread_p95_m_max,alignment_quality_flag,alignment_transformed_positions,alignment_transform_coverage_pct,alignment_exact_geometry_version_pct,alignment_geometry_match_age_p95_s,alignment_geometry_match_age_max_s,rtk_tag_total,rtk_tag_valid,rtk_tag_fixed,rtk_tag_fixed_pct,rtk_tag_fix_age_p95_ms,rtk_all_modules_fixed_pct,rtk_fixed_anchor_count,rtk_anchor_spread_p95_m_max,rtk_tag_center_east_m,rtk_tag_center_north_m,rtk_tag_center_up_m,error_pairs,error_fixed_tag_solutions,error_pair_coverage_pct,error_association_abs_p50_ms,error_association_abs_p95_ms,error_association_abs_max_ms,error_bias_east_mean_m,error_bias_north_mean_m,error_bias_east_median_m,error_bias_north_median_m,error_error_median_m,error_error_rmse_m,error_error_p95_m,error_error_max_m,error_error_gt_0_5m,error_error_gt_1m,error_error_gt_2m,error_debiased_error_rmse_m,error_debiased_error_p95_m,error_debiased_error_max_m,ekf_error_pairs,ekf_error_fixed_tag_solutions,ekf_error_pair_coverage_pct,ekf_error_association_abs_p50_ms,ekf_error_association_abs_p95_ms,ekf_error_association_abs_max_ms,ekf_error_bias_east_mean_m,ekf_error_bias_north_mean_m,ekf_error_bias_east_median_m,ekf_error_bias_north_median_m,ekf_error_error_median_m,ekf_error_error_rmse_m,ekf_error_error_p95_m,ekf_error_error_max_m,ekf_error_error_gt_0_5m,ekf_error_error_gt_1m,ekf_error_error_gt_2m,ekf_error_debiased_error_rmse_m,ekf_error_debiased_error_p95_m,ekf_error_debiased_error_max_m,static_rtk_reference_consistent,static_rtk_max_cross_capture_center_distance_m,error_interpretation_grade
flextdoa_final_dynamic_20260812,flextdoa,dynamic,True,78,0,False,4,0.8593479334472318,0.8593479334472318,0.8593479334472318,1.3202263366253029,8.698150982021387,0.0,0.030539489023150082,poor_alignment_do_not_claim_accuracy,2117,100.0,100.0,0.6204805374145508,1.8586761951446533,676,676,668,98.81656804733728,,70.76923076923077,4,0.030539489023150082,0.7168192972016525,-1.9441584192844141,0.9539994800379192,656,668,98.20359281437126,4.853367805480957,34.918904304504395,86.81559562683105,-0.04029181041789636,1.5677980694143219,-0.08994257691482443,1.6558757365565482,1.67872011587144,1.6095567557652286,1.8275501384591553,2.3149153076873774,656,633,18,0.3758744572944684,0.703091005736854,0.9627123800481752,656,668,98.20359281437126,4.853367805480957,34.918904304504395,86.81559562683105,-0.041259798252508216,1.5681835699220867,-0.09295342264909967,1.6657250284072838,1.6798457146195684,1.6092107156140019,1.8278995218817808,2.3149153076873774,656,635,15,0.3752913724670267,0.7052408753071752,0.9650443050945885,,,
flextdoa_static_final_01,flextdoa,static,True,30,0,False,3,0.9302771434189658,0.9302771434189658,0.9302771434189658,1.2338604558209076,-4.770024835165837,0.0,0.011159852706790856,poor_alignment_do_not_claim_accuracy,798,100.0,100.0,0.5011255145072937,0.985767126083374,240,240,137,57.083333333333336,,42.22599830076466,3,0.011159852706790856,0.8908397151378292,0.3178036775496098,-0.7810000705304243,137,137,100.0,1.8754005432128906,33.1942081451416,57.692766189575195,0.2302526515169736,-0.5523069694819743,0.23179828615066123,-0.5523585825087024,0.596377198344057,0.5989093022846622,0.62878102619841,0.6659296406415458,137,0,0,0.025208568869869795,0.04768130059512063,0.07546960502588516,137,137,100.0,1.8754005432128906,33.1942081451416,57.692766189575195,0.22981653007714964,-0.5535169160357295,0.2300961208118515,-0.5537856597380236,0.5995426719366957,0.5994310697310945,0.6170590229914312,0.6229128687772946,137,0,0,0.011006539815695444,0.019611428531512067,0.02538691247997989,False,2.1271904716651413,audit_only_invalid_for_cross_protocol_ranking
native_ds_final_dynamic_20260812,native_ds,dynamic,True,90,0,False,4,0.6748042180267221,0.6748042180267221,0.6748042180267221,0.8593275168734574,2.393918870985548,0.0,0.016508157195607512,poor_alignment_do_not_claim_accuracy,2876,100.0,100.0,0.6023194193840027,1.1991136074066162,896,896,633,70.64732142857143,,50.100513736877375,4,0.016508157195607512,0.4748490296220783,-0.933965330229481,2.8159999121492865,633,633,100.0,6.525278091430664,18.521499633789062,42.34051704406738,0.08379128752571509,1.3421967289062686,0.701575217684386,1.2970317957093793,1.4835967172961078,1.6939459090774036,2.3913096819794757,2.6287914025732046,633,633,161,1.2019303471837044,2.4575961818142322,2.626622701472583,633,633,100.0,6.525278091430664,18.521499633789062,42.34051704406738,0.0807653847018061,1.365729754266703,0.7047261938332922,1.2788271821093935,1.4640453077919493,1.7097453218641443,2.3717085727138505,2.602314512182332,633,633,161,1.2034813687633397,2.4570501054237495,2.6006399666676363,,,
native_ds_static_final_02_rtk_fixed,native_ds,static,False,,,,,,,,,,,,,0,0.0,,,,240,240,240,100.0,,29.592684954280966,2,0.005374632004900867,2.032063758009242,-1.4773417167611667,-2.0700004960387863,0,240,0.0,,,,,,,,,,,,,,,,,,0,240,0.0,,,,,,,,,,,,,,,,,,False,2.1271904716651413,audit_only_invalid_for_cross_protocol_ranking
passive_ds_final_dynamic_20260812,passive_ds,dynamic,True,1,0,False,3,0.013050684705681216,0.013050684705681216,0.013050684705681216,0.01670506455347472,-0.07379608993206407,0.0,0.03950433693170757,usable_with_limitations,2409,100.0,100.0,153.928240776062,159.59347081184387,862,862,747,86.65893271461717,,66.41912276630309,3,0.03950433693170757,1.6289529436510004,-0.512485932649124,-0.04900088207645065,726,747,97.18875502008032,3.56900691986084,45.8032488822937,94.82240676879883,-0.08325596844476829,1.3072452014637435,-0.04221349052190637,1.3067836224989167,1.410636437697927,1.396631260461732,1.555492480076304,1.8040453363129694,726,724,0,0.4862530233494245,0.616380739128244,0.78583509972524,726,747,97.18875502008032,3.56900691986084,45.8032488822937,94.82240676879883,-0.08126034064706607,1.3071658822189685,-0.04075563647027003,1.3027810481845061,1.4109879575843571,1.395483239331292,1.55438983987961,1.8037661554988567,726,724,0,0.48347434521920984,0.6163869055895966,0.7863296899555766,,,
passive_ds_static_final_01,passive_ds,static,False,,,,,,,,,,,,,0,0.0,,,,240,240,240,100.0,,27.371048252911812,1,0.005855358719981408,1.6394803320683968,-0.5313763572157745,-0.46500023113511146,0,240,0.0,,,,,,,,,,,,,,,,,,0,240,0.0,,,,,,,,,,,,,,,,,,False,2.1271904716651413,audit_only_invalid_for_cross_protocol_ranking
