capture_id,protocol,motion,position_stream,gps_time,uwb_time,delta_ms,uwb_east_m,uwb_north_m,rtk_east_m,rtk_north_m,error_east_m,error_north_m,error_m,gps_fix_age_ms,gps_speed_mps,position_sigma_m,position_rms_m,geometry_version,alignment_version,alignment_exact_version,alignment_age_s,debiased_error_m
flextdoa_final_dynamic_20260813,flextdoa,dynamic,raw,1786642673.9695444,1786642673.963938,-5.606412887573242,0.23134582242004242,-0.08135626815512254,0.0031901152789253484,0.005000406501332197,0.22815570714111708,-0.08635667465645473,0.24395184352405283,,0.0,0.695,0.695,104,104,True,0.3567850589752197,0.03160580889264711
flextdoa_final_dynamic_20260813,flextdoa,dynamic,raw,1786642674.1157148,1786642674.1167157,1.0008811950683594,0.22556078922883738,-0.08887513715096595,0.002392586343084601,0.00355584498064084,0.2231682028857528,-0.09243098213160679,0.24155234057460492,,0.0,0.667,0.667,104,104,True,0.5095627307891846,0.027732069925544802
flextdoa_final_dynamic_20260813,flextdoa,dynamic,raw,1786642674.223573,1786642674.220791,-2.7818679809570312,0.19218767691120475,-0.07157671600235638,-0.0003987645105081538,0.0024446429770863445,0.1925864414217129,-0.07402135897944272,0.2063218335626222,,0.0,0.673,0.673,104,104,True,0.42341065406799316,0.011184234386100831
flextdoa_final_dynamic_20260813,flextdoa,dynamic,raw,1786642674.344275,1786642674.3389502,-5.324840545654297,0.19503961763559818,-0.08653888276070276,0.0011962932242960444,0.008000650516601553,0.19384332441130214,-0.09453953327730431,0.21566862954800786,,0.0,0.631,0.631,104,104,True,0.3052515983581543,0.010453526551076566
flextdoa_final_dynamic_20260813,flextdoa,dynamic,raw,1786642674.4711838,1786642674.4755058,4.322052001953125,0.21603800460258493,-0.07117438651823882,0.0007975289072169262,0.004667045868401372,0.215240475695368,-0.07584143238664019,0.22821127326235577,,0.0,0.67,0.67,104,104,True,0.16869592666625977,0.02052928020558331
flextdoa_final_dynamic_20260813,flextdoa,dynamic,raw,1786642674.5976346,1786642674.5775492,-20.08533477783203,0.20186718451321695,-0.06625627122935285,0.001196293471198403,0.0035558446821792817,0.20067089104201855,-0.06981211591153214,0.2124677341142482,,0.0,0.675,0.675,104,104,True,0.06665253639221191,0.015199199914873169
flextdoa_final_dynamic_20260813,flextdoa,dynamic,raw,1786642674.7318213,1786642674.774633,42.81163215637207,0.2166915211041387,-0.09003102768739168,0.0013557993167773218,0.006333848996923413,0.21533572178736138,-0.09636487668431509,0.23591452379212932,,0.0,0.693,0.693,104,104,True,0.1304311752319336,0.02219325697397318
flextdoa_final_dynamic_20260813,flextdoa,dynamic,raw,1786642674.8441994,1786642674.8297653,-14.434099197387695,0.21647811970337294,-0.10223571776301998,0.0009570345671468705,0.004444805776220183,0.21552108513622606,-0.10668052353924017,0.2404788394867681,,0.0,0.675,0.675,104,104,True,0.1855635643005371,0.029181950208802182
flextdoa_final_dynamic_20260813,flextdoa,dynamic,raw,1786642674.9738755,1786642674.984135,10.259389877319336,0.2188899453269777,-0.08613655327658343,0.00039876465931385575,0.00522264669882593,0.21849118066766385,-0.09135919997540935,0.23682250621445708,,0.0,0.677,0.677,104,104,True,0.3399331569671631,0.022946577312710426
flextdoa_final_dynamic_20260813,flextdoa,dynamic,raw,1786642675.1003978,1786642675.085096,-15.301942825317383,0.19520965291061554,-0.11898839875101075,0.0031901154509490887,0.005222646912108585,0.19201953745966646,-0.12421104566311933,0.2286916846563289,,0.0,0.698,0.698,104,104,True,0.44089412689208984,0.04001691658548578
flextdoa_final_dynamic_20260813,flextdoa,dynamic,raw,1786642675.2392228,1786642675.2394886,0.2658367156982422,0.22444268430908232,-0.0872168725796687,0.004147150150114542,0.004333684400382911,0.22029553415896777,-0.09155055698005161,0.23856157874591336,,0.0,0.675,0.675,104,104,True,0.44936537742614746,0.024727567255900515
flextdoa_final_dynamic_20260813,flextdoa,dynamic,raw,1786642675.3458476,1786642675.3417346,-4.112958908081055,0.22604427045537379,-0.07528226232981083,0.0007975286388613521,0.004111445052285437,0.22524674181651244,-0.07939370738209627,0.23882934382279858,,0.0,0.66,0.66,104,104,True,0.3471193313598633,0.029084055516598397
flextdoa_final_dynamic_20260813,flextdoa,dynamic,raw,1786642675.4734714,1786642675.473108,-0.36334991455078125,0.23101348366018803,-0.12379315718988515,0.002392586263291958,0.006667209557608703,0.2286208973968961,-0.13046036674749384,0.2632250406371945,,0.0,0.65,0.65,104,104,True,0.2157459259033203,0.056045637156223634
flextdoa_final_dynamic_20260813,flextdoa,dynamic,raw,1786642675.6025455,1786642675.602579,0.03361701965332031,0.1930923804301945,-0.08543967064928282,0.001754563343800879,0.007445049504537914,0.1913378170863936,-0.09288472015382074,0.21269163473310324,,0.0,0.665,0.665,104,104,True,0.08627486228942871,0.009938543078804912
flextdoa_final_dynamic_20260813,flextdoa,dynamic,raw,1786642675.7165127,1786642675.6985044,-18.00823211669922,0.1644995532340232,-0.0805971265937373,0.0031901153639308437,0.006556088506847033,0.16130943787009236,-0.08715321510058434,0.1833478051363962,,0.0,0.697,0.697,104,104,True,0.009650468826293945,0.03540029916864512
flextdoa_final_dynamic_20260813,flextdoa,dynamic,raw,1786642675.9106665,1786642675.9327533,22.08685874938965,0.20063014223437303,-0.09483020561718813,0.0015950578777932,0.006333848756836199,0.19903508435657982,-0.10116405437402433,0.22326918887795824,,0.0,0.658,0.658,104,104,True,0.24389934539794922,0.01688163918691217
flextdoa_final_dynamic_20260813,flextdoa,dynamic,raw,1786642675.966584,1786642675.9519494,-14.63460922241211,0.22700565239936954,-0.09996172230683964,0.004944678728084037,0.005778247676891335,0.2220609736712855,-0.10573996998373097,0.2459512498036952,,0.0,0.627,0.627,104,104,True,0.2630953788757324,0.03317876111419341
flextdoa_final_dynamic_20260813,flextdoa,dynamic,raw,1786642676.1003726,1786642676.1063716,5.999088287353516,0.23246392733979726,-0.08301453272641979,0.003987644154422779,0.007111688911677863,0.2284762831853745,-0.09012622163809765,0.2456097469665301,,0.0,0.685,0.685,104,104,True,0.41751766204833984,0.03236945528288795
flextdoa_final_dynamic_20260813,flextdoa,dynamic,raw,1786642676.2174149,1786642676.2353072,17.89236068725586,0.1949773587015149,-0.12758758704993767,0.0023128332863694197,0.006889449283545724,0.19266452541514548,-0.1344770363334834,0.23495466084859915,,0.0,0.645,0.645,104,104,True,0.48450732231140137,0.05017422045898935
flextdoa_final_dynamic_20260813,flextdoa,dynamic,raw,1786642676.3452263,1786642676.3599184,14.692068099975586,0.22303560675522083,-0.08334129097719689,0.002711597799328244,0.007111688948672628,0.22032400895589258,-0.09045297992586952,0.23816886971194617,,0.0,0.691,0.691,104,104,True,0.359896183013916,0.024462987291342404
flextdoa_final_dynamic_20260813,flextdoa,dynamic,raw,1786642676.477444,1786642676.4771767,-0.26726722717285156,0.23699302544382372,-0.10046409634171205,0.0031901154096494718,0.00911185243301209,0.23380291003417425,-0.10957594877472414,0.2582066794068836,,0.0,0.672,0.672,104,104,True,0.24263787269592285,0.04488263642643609
flextdoa_final_dynamic_20260813,flextdoa,dynamic,raw,1786642676.6030114,1786642676.6195977,16.5863037109375,0.1975648001092145,-0.09207272893447183,0.004306655489262964,0.007222808908114182,0.19325814461995156,-0.099295537842586,0.21727474380929446,,0.0,0.677,0.677,104,104,True,0.10021686553955078,0.015210813901556094
flextdoa_final_dynamic_20260813,flextdoa,dynamic,raw,1786642676.716646,1786642676.7198646,3.2186508178710938,0.24320486143655962,-0.06853584719461026,0.0003190117110577648,0.004889286236185723,0.24288584972550184,-0.07342513343079599,0.2537415736851359,,0.0,0.679,0.679,104,104,True,5.0067901611328125e-05,0.04757579675336574
flextdoa_final_dynamic_20260813,flextdoa,dynamic,raw,1786642676.8848867,1786642676.8846123,-0.27441978454589844,0.18817426514130853,-0.09961049073864991,0.004785173128449179,0.005444886296487551,0.18338909201285936,-0.10505537703513747,0.21134850676855013,,0.0,0.673,0.673,104,104,True,0.16479778289794922,0.02447379871029091
flextdoa_final_dynamic_20260813,flextdoa,dynamic,raw,1786642676.9699974,1786642676.973275,3.2775402069091797,0.2035198685754369,-0.1170033759289355,0.0037483856493903396,0.00544488634923908,0.19977148292604657,-0.12244826227817458,0.2343122325560839,,0.0,0.632,0.632,104,104,True,0.2534604072570801,0.03812188624242676
flextdoa_final_dynamic_20260813,flextdoa,dynamic,raw,1786642677.1161335,1786642677.1153202,-0.8132457733154297,0.17909717612492138,-0.06110586173136667,0.0015950579156838475,0.006667208696352155,0.17750211820923753,-0.06777307042771882,0.19000050274661556,,0.0,0.674,0.674,104,104,True,0.3955056667327881,0.02536495473657854
flextdoa_final_dynamic_20260813,flextdoa,dynamic,raw,1786642677.2179437,1786642677.228602,10.65826416015625,0.2107742382545863,-0.0723113842463281,0.00015950547402151505,0.003889204441547386,0.21061473278056478,-0.07620058868787549,0.2239756580090959,,0.0,0.661,0.661,104,104,True,0.5083522796630859,0.016260411875171573
flextdoa_final_dynamic_20260813,flextdoa,dynamic,raw,1786642677.3413978,1786642677.3288898,-12.507915496826172,0.20253959382310582,-0.0887184141752062,-0.0006380227619544071,0.004889286962310526,0.20317761658506023,-0.09360770113751674,0.22370414746588047,,0.0,0.659,0.659,104,104,True,0.4080643653869629,0.011264601529639425
flextdoa_final_dynamic_20260813,flextdoa,dynamic,raw,1786642677.4666476,1786642677.4845946,17.946958541870117,0.22685450993268752,-0.07111770809323303,0.00031901165622937955,0.005778248260671708,0.22653549827645814,-0.07689595635390474,0.23923068382409643,,0.0,0.718,0.718,104,104,True,0.25235962867736816,0.030869073515139966
flextdoa_final_dynamic_20260813,flextdoa,dynamic,raw,1786642677.598715,1786642677.5842407,-14.47439193725586,0.258588250487358,-0.09313973593829772,0.00398764425451772,0.005222646649267287,0.2546006062328403,-0.09836238258756501,0.2729407023557174,,0.0,0.661,0.661,104,104,True,0.15271353721618652,0.059637183706650804
