capture_id,protocol,motion,gps_time,uwb_time,delta_ms,uwb_east_m,uwb_north_m,rtk_east_m,rtk_north_m,error_east_m,error_north_m,error_m,gps_fix_age_ms,gps_speed_mps,position_sigma_m,position_rms_m,geometry_version,alignment_version,alignment_exact_version,alignment_age_s,debiased_error_m
flextdoa_dynamic_final_01,flextdoa,dynamic,1786447729.947024,1786447729.9473295,0.30541419982910156,0.2439990428820078,-0.03703965164196976,0.2461971798786017,-0.02944683453477076,-0.002198136996593908,-0.007592817107199001,0.007904598527386997,,0.0,0.148,0.148,2147489207,99,False,0.20685219764709473,0.0829027798974437
flextdoa_dynamic_final_01,flextdoa,dynamic,1786447729.984672,1786447729.9848504,0.17833709716796875,0.2632775396974445,-0.015446274316707864,0.24516039225254008,-0.028891232461587833,0.01811714744490442,0.013444958144879969,0.022560982493189007,,0.0,0.185,0.185,2147489223,2147489247,False,0.20241999626159668,0.06958238585126016
flextdoa_dynamic_final_01,flextdoa,dynamic,1786447730.1028454,1786447730.0797203,-23.125171661376953,0.279304940451913,-0.03041699323917957,0.24300706397706634,-0.028891232412176733,0.03629787647484667,-0.0015257608270028353,0.036329929571696715,,0.0,0.141,0.141,2147489235,2147489247,False,0.10755014419555664,0.09192127385420591
flextdoa_dynamic_final_01,flextdoa,dynamic,1786447730.2594054,1786447730.2652814,5.876064300537109,0.23329038934951307,-0.022501117618338284,0.24555915654109428,-0.028557872740704912,-0.012268767191581209,0.006056755122366628,0.01368235838638697,,0.0,0.157,0.157,2147489251,2147489247,False,0.07801103591918945,0.06821690492803087
flextdoa_dynamic_final_01,flextdoa,dynamic,1786447730.5068643,1786447730.5083838,1.5194416046142578,0.2942738308742656,-0.013389594156419271,0.24699470808095086,-0.024668667484499293,0.047279122793314754,0.011279073328080022,0.0486058941615679,,0.0,0.183,0.183,2147489271,2147489247,False,0.32111334800720215,0.0891083320169835
flextdoa_dynamic_final_01,flextdoa,dynamic,1786447730.5174947,1786447730.517452,-0.04267692565917969,0.23421359067278713,0.019500640670055525,0.2475529783518396,-0.025890989450437878,-0.013339387679052461,0.0453916301204934,0.047311091180057774,,0.0,0.192,0.192,2147489283,2147489247,False,0.3301815986633301,0.028896808770000042
flextdoa_dynamic_final_01,flextdoa,dynamic,1786447730.6020875,1786447730.6015768,-0.5106925964355469,0.33327925117802204,-0.016318277636636402,0.2471542137488612,-0.02422418683467968,0.08612503742916083,0.007905909198043279,0.08648714050321042,,0.0,0.274,0.274,2147489299,2147489247,False,0.4143064022064209,0.121608777465603
flextdoa_dynamic_final_01,flextdoa,dynamic,1786447730.723176,1786447730.7232728,0.09679794311523438,0.20825201457205345,0.014758048370793198,0.2459579204077476,-0.02166842370776601,-0.037705905835694165,0.03642647207855921,0.05242731352053325,,0.0,0.182,0.182,2147489315,2147489367,False,0.4330406188964844,0.04362984298559557
flextdoa_dynamic_final_01,flextdoa,dynamic,1786447730.8629026,1786447730.8631606,0.2579689025878906,0.17524081773875122,0.020696135910815094,0.24914803622312934,-0.021668424257050928,-0.07390721848437812,0.04236456016786602,0.08518822044340604,,0.0,0.216,0.216,2147489331,2147489367,False,0.2931528091430664,0.06621405611176896
flextdoa_dynamic_final_01,flextdoa,dynamic,1786447731.0001967,1786447731.0003724,0.17571449279785156,0.27033819299521955,-0.031125570152671145,0.24635668542826594,-0.027002191348086214,0.023981507566953608,-0.00412337880458493,0.024333412377838697,,0.0,0.203,0.203,2147489347,2147489367,False,0.15594100952148438,0.08784661991591426
flextdoa_dynamic_final_01,flextdoa,dynamic,1786447731.1208384,1786447731.1218069,0.9684562683105469,0.37139804139022425,-0.062936056511397,0.246595943925157,-0.025335389608502096,0.12480209746506726,-0.0376006669028949,0.13034329166943193,,0.0,0.231,0.231,2147489363,2147489367,False,0.03450655937194824,0.17965114703182994
flextdoa_dynamic_final_01,flextdoa,dynamic,1786447731.2398076,1786447731.2404206,0.6129741668701172,0.25742075173857093,-0.07514987834009279,0.24555915621317398,-0.024779787620335753,0.01186159552539695,-0.05037009071975704,0.05174788389417166,,0.0,0.166,0.166,2147489379,2147489367,False,0.0841071605682373,0.12759324826033738
flextdoa_dynamic_final_01,flextdoa,dynamic,1786447731.4450684,1786447731.44547,0.4017353057861328,0.21427263798396834,0.003769322615188031,0.24420335731561565,-0.028002272830822274,-0.029930719331647315,0.031771595446010305,0.04364953879360914,,0.0,0.17,0.17,2147489391,2147489367,False,0.2891566753387451,0.04468897762992796
flextdoa_dynamic_final_01,flextdoa,dynamic,1786447731.4816973,1786447731.465251,-16.446352005004883,0.23732512034664666,-0.024187484371991808,0.24699470847581267,-0.02700219146458222,-0.009669588129166018,0.002814707092590414,0.010070924019412874,,0.0,0.193,0.193,2147489407,2147489367,False,0.30893754959106445,0.07163159027327491
flextdoa_dynamic_final_01,flextdoa,dynamic,1786447731.5982893,1786447731.5651155,-33.17379951477051,0.31533998964005416,-0.03204115670616581,0.24484138071284245,-0.02866899203233507,0.07049860892721171,-0.003372164673830738,0.07057921333692638,,0.0,0.175,0.175,2147489419,2147489367,False,0.4088020324707031,0.11605317869280965
flextdoa_dynamic_final_01,flextdoa,dynamic,1786447731.7502294,1786447731.7825966,32.36722946166992,0.2722931699100468,-0.007121860746362785,0.24683520273176746,-0.029669075027693358,0.02545796717827936,0.022547214281330573,0.03400713108597352,,0.0,0.192,0.192,2147489439,2147489367,False,0.6262831687927246,0.06611584134641185
flextdoa_dynamic_final_01,flextdoa,dynamic,1786447731.8626957,1786447731.862888,0.19240379333496094,0.3783154932029311,-0.018923003215598477,0.24659594425074566,-0.02700219094364581,0.13171954895218546,0.008079187728047332,0.13196709002820442,,0.0,0.253,0.253,2147489455,2147489535,False,0.6389658451080322,0.16168643328576668
flextdoa_dynamic_final_01,flextdoa,dynamic,1786447731.9795554,1786447731.9797616,0.20623207092285156,0.23225384816309158,0.013803069696622927,0.24699470878862606,-0.030224674711173127,-0.01474086062553448,0.044027744407796054,0.04642989607590835,,0.0,0.191,0.191,2147489471,2147489535,False,0.522092342376709,0.030172435248597505
flextdoa_dynamic_final_01,flextdoa,dynamic,1786447732.1055887,1786447732.1305723,24.983644485473633,0.40334171063313917,-0.03287608320303814,0.2480314959332537,-0.025890989818745734,0.15531021469988548,-0.006985093384292408,0.155467213005546,,0.0,0.225,0.225,2147489487,2147489535,False,0.37128162384033203,0.18941867327186943
flextdoa_dynamic_final_01,flextdoa,dynamic,1786447732.262092,1786447732.2672462,5.154132843017578,0.2502688230170793,0.00583684844623189,0.24874927199281138,-0.0233352257198755,0.0015195510242679289,0.02917207416610739,0.029211623482241173,,0.0,0.202,0.202,2147489503,2147489535,False,0.23460769653320312,0.0482390940266358
