anchor_id,samples,rate_hz,mean_m,median_m,std_cm,robust_sigma_cm,min_m,max_m,peak_to_peak_cm,reference_distance_m,reference_bias_cm,reference_rmse_cm,reference_p95_abs_cm
2,883,14.720678117529328,2.229580973952435,2.229,1.0719414664571092,1.0378200000000175,2.179,2.268,8.899999999999997,2.145821360808024,8.37596131444108,8.444198312244373,10.117863919197578
3,914,15.237118663079329,2.2054474835886215,2.206,1.1658427241817075,1.3343399999999845,2.17,2.235,6.499999999999995,2.2036431908319463,0.18042927566752032,1.179091558396992,2.2643190831946214
4,914,15.237133985259225,2.2032680525164112,2.204,1.3431474990077166,1.3343399999999845,2.152,2.244,9.200000000000008,2.118321933158414,8.494611935799739,8.600029264640346,10.56780668415862
5,914,15.23679635938552,2.2179365426695843,2.217,1.6479211886416503,1.630860000000018,2.172,2.272,9.999999999999964,2.2206722658915705,-0.2735723221986247,1.6695852464209613,3.2327734108429595
