pair,horizontal_m,delta_up_m,distance_3d_m
A2-A3,4.892620034896235,-0.05000187901004119,4.892875534261277
A2-A4,5.003668854094036,-0.13000196820644092,5.005357381163534
A2-A5,6.968621063074916,-0.17000382241728623,6.970694428847663
A3-A4,7.037164744310667,-0.08000008919639973,7.037619459223442
A3-A5,4.807572978349933,-0.12000194340724504,4.809070430819449
A4-A5,5.106832433439599,-0.04000185421084532,5.10698909843862
