anchor_id,samples,rate_hz,mean_m,median_m,std_cm,robust_sigma_cm,min_m,max_m,peak_to_peak_cm,reference_distance_m,reference_bias_cm,reference_rmse_cm,reference_p95_abs_cm
2,411,2.2868772818442227,2.2356204379562046,2.235,1.2187237258823198,1.0378200000000175,2.203,2.272,6.899999999999995,2.1213203435596424,11.430009439656203,11.494641772252415,13.567965644035773
3,412,2.2923902329361385,2.2052791262135925,2.206,1.1479898912446596,1.0378200000000175,2.168,2.235,6.699999999999973,2.1213203435596424,8.395878265394986,8.473809880918342,10.167965644035748
4,412,2.2924540658264987,2.2012985436893207,2.202,1.5014695082938259,1.4826000000000343,2.16,2.242,8.199999999999985,2.1213203435596424,7.997820012967802,8.13720245376575,10.357965644035769
5,412,2.292429450664348,2.21723786407767,2.217,1.7754660079844484,1.630860000000018,2.168,2.281,11.299999999999999,2.1213203435596424,9.591752051802755,9.754298324575949,12.467965644035761
