profile,baseline,aggregation_phase,blocks,screening_blocks,slot_ms,gap_ms,timeout_ms,resp_ms,final_ms,frame_ms,theoretical_position_hz,duration_s,ranges,candidate_frames,complete_frames,timing_attempts,timing_ok,timing_fail,range_rate_hz,complete_frame_pct,position_rate_hz,timing_success_pct,timing_failure_per_1000,timing_overruns,timing_overruns_per_min,pos_n,pos_mean_x_m,pos_mean_y_m,pos_bias_x_cm,pos_bias_y_cm,pos_mean_error_cm,pos_rmse_2d_cm,pos_median_error_cm,pos_p95_error_cm,pos_p99_error_cm,pos_max_error_cm,pos_outliers_gt_50cm,pos_outliers_gt_50cm_pct,pos_rmse_within_50cm_cm,pos_std_x_cm,pos_std_y_cm,pos_cep50_precision_cm,pos_cep95_precision_cm,pos_two_drms_cm,resp_timeout_logs,resp_tx_failure_logs,final_failure_logs,timing_max_us,timing_healthy_window_max_us,timing_healthy_window_p50_us,timing_healthy_window_p95_us,timing_healthy_window_p99_us,a2_bias_cm,a3_bias_cm,a4_bias_cm,a5_bias_cm,a2_std_cm,a3_std_cm,a4_std_cm,a5_std_cm
s15_g04_t08_r02_f02,1,baseline,3,0,15,4,8,2,2,64,15.625,360.02225399017334,22256,5604,5455,0,0,0,61.8184008164325,97.34118486795147,15.151841141878112,nan,nan,0,0.0,5455,1.526344914522864,1.4900994585497505,2.634491452286384,-0.990054145024956,3.086343942641334,3.248187294488019,3.0380476194160515,4.796704297340192,5.509471502909082,6.7872096689492425,0,0.0,3.248187294488019,1.2069975641086208,1.0833316053406623,1.3493330740940002,2.7774018926230863,3.2437327182701847,0,0,0,nan,nan,nan,nan,nan,2.446872315497725,8.02411325879724,3.0272907203236774,-4.210576284497187,1.7687540604035084,0.9173950814597115,1.530863421018115,1.5608119610116857
s08_g01_t05_r02_f02,0,screening,1,1,8,1,5,2,2,33,30.303030303030305,60.05826449394226,7198,1807,1782,7184,7178,6,119.85028306513955,98.61649142224682,29.671187055026213,99.91648106904232,0.8351893095768375,1,0.9990298671725998,1782,1.5280110980795611,1.4895494756515775,2.801109807956106,-1.0450524348422545,3.24340242614327,3.412565268093411,3.2883792221361694,4.9166542261485,5.493605480409183,6.411479479235258,0,0.0,3.412565268093411,1.094598947608357,1.229074521185315,1.4025876969653923,2.7583720394612175,3.2916688987395033,6,0,1,13957.0,4678.0,4619.5,4667.45,4672.9,2.370921583801513,7.918243113514121,2.609521199591313,-4.344569020412379,1.4496255546228645,1.7652932713435432,1.3831173843779725,1.691185727735309
s07_g01_t05_r02_f02,0,screening,1,1,7,1,5,2,2,29,34.48275862068966,60.03846502304077,8159,2054,2009,8252,8250,2,135.89621248426064,97.80915287244402,33.46188146597373,99.97576345128454,0.2423654871546292,1,0.9993593270076774,2009,1.5285283013660749,1.4905817888391129,2.852830136607489,-0.9418211160887155,3.2656072775155898,3.4263091150122915,3.2848589104235453,4.918872777988261,5.504571797776063,6.589964108821487,0,0.0,3.4263091150122915,1.0743541848042903,1.2494166605291588,1.3741493700608196,2.7818896443989862,3.295620673569291,2,1,0,7032.0,4675.0,4621.0,4666.2,4670.52,2.3843550765210804,7.725430157006885,2.4803550245667307,-4.50362414987984,1.445922068609946,1.8479696970097235,1.109554221032053,1.7772556728259195
s06_g01_t05_r02_f02,0,screening,1,1,6,1,5,2,2,25,40.0,60.031270265579224,9439,2379,2318,9440,9439,1,157.2347204755409,97.43589743589743,38.61320924486745,99.98940677966101,0.1059322033898305,1,0.9994791003848347,2318,1.5299438653053399,1.491109565190298,2.994386530533987,-0.8890434809701904,3.3739108233864843,3.5326612916718005,3.4257316245381655,5.034164038879855,5.750078929573671,6.6268834739968545,0,0.0,3.5326612916718005,1.088393110697299,1.2407749338972758,1.40837493077706,2.766138650608787,3.300982883930865,1,0,1,18394.0,4686.0,4624.5,4671.0,4678.59,2.776436630905728,7.964318485426773,2.608576072183277,-4.301115253888845,1.4638714893730969,1.88350685238378,1.001218409770934,1.9169275940045698
s05_g01_t05_r02_f02,0,screening,1,1,5,1,5,2,2,21,47.61904761904762,60.04607820510864,11321,2831,2828,11320,11318,2,188.53854137366167,99.89403037795832,47.0971641201939,99.98233215547704,0.17667844522968199,3,2.99769785772097,2828,1.530373206624234,1.4923955642385667,3.037320662423387,-0.7604435761433336,3.418009371953344,3.5590399753984605,3.4154475729880396,5.034486181543116,5.819344522378128,7.552375397740441,0,0.0,3.5590399753984605,1.1626909081794483,1.229771098881796,1.3897547795366136,2.9679493295775625,3.3847818857989003,2,0,0,7825.0,5471.0,4623.0,4676.6,5089.079999999998,2.8337839543927754,7.756622887852019,2.515404711503083,-4.375340608171937,1.907465478360124,1.383082900437528,1.1008892860891355,1.620529801850395
s04_g01_t04_r01_f01,0,validation,2,1,4,1,4,1,1,17,58.8235294117647,240.08745050430298,55776,13951,13930,55640,55621,19,232.3153496063317,99.84947315604616,58.02052531583836,99.96585190510424,0.34148094895758446,18,4.498360900294719,13930,1.5289182968573027,1.4913845572305973,2.8918296857302392,-0.8615442769402614,3.236265268285294,3.3474117943309927,3.2360886841831236,4.652025740863212,5.276130360507093,7.699133538785718,0,0.0,3.3474117943309927,1.0162111002221519,1.0332928090288673,1.1651027420886308,2.5749816998571697,2.898536892575621,17,0,10,19671.0,4110.0,2631.25,2732.925,3482.2649999999994,2.81807681092954,7.785329195638718,2.7494213629314186,-4.088972326563018,1.6201023519560216,12.478033037937655,1.02617468387793,1.548118262119013
s03_g01_t03_r01_f01,0,validation,2,1,3,1,3,1,1,13,76.92307692307692,240.14993715286255,72428,18168,17934,72604,72370,234,301.5949154877248,98.71202113606341,74.6783455895076,99.6777037077847,3.2229629221530494,248,61.96129041886211,17934,1.5304319030333444,1.4928709676684881,3.04319030333445,-0.7129032331511891,3.339130830892541,3.4656162090319507,3.358293253048049,4.8295699812340445,5.50661889830741,7.201319738581506,0,0.0,3.4656162090319507,1.0441753742720714,1.072884072688049,1.2281337859213302,2.6262608985352034,2.9942494523094867,229,6,11,34380.0,5882.0,2620.0,3462.2249999999995,4740.479999999996,3.164047434585634,7.965144154333371,2.7841197874686503,-4.065211229342116,1.5994478149101368,1.2346377213318709,1.112406995533993,1.531891165951298
