capture_id,protocol,motion,duration_s,imu_fused_position_records_excluded,position_events,position_event_rate_hz,position_active_event_rate_hz,position_unique_uptime_events,position_unique_uptime_rate_hz,position_active_unique_uptime_rate_hz,position_uptime_span_s,position_wall_span_s,position_wall_coverage_pct,position_first_event_after_capture_start_s,position_last_event_before_capture_end_s,position_duplicate_uptime_pct,position_gap_p50_ms,position_gap_p95_ms,position_gap_p99_ms,position_gap_max_ms,position_gaps_gt_30ms,position_gaps_gt_50ms,position_gaps_gt_100ms,position_independent_events,position_independent_rate_hz,position_independent_pct,position_sigma_median_m,position_sigma_p95_m,position_rms_median_m,position_rms_p95_m,position_batch_age_p95_ms,imu_events,imu_event_rate_hz,imu_active_event_rate_hz,imu_unique_uptime_events,imu_unique_uptime_rate_hz,imu_active_unique_uptime_rate_hz,imu_uptime_span_s,imu_wall_span_s,imu_wall_coverage_pct,imu_first_event_after_capture_start_s,imu_last_event_before_capture_end_s,imu_duplicate_uptime_pct,imu_gap_p50_ms,imu_gap_p95_ms,imu_gap_p99_ms,imu_gap_max_ms,imu_gaps_gt_30ms,imu_gaps_gt_50ms,imu_gaps_gt_100ms,imu_valid_pct,static_n,static_median_x_m,static_median_y_m,static_cep50_m,static_rms_m,static_p95_m,static_p99_m,static_max_m,static_std_x_m,static_std_y_m,static_two_drms_m,static_first_to_last_decile_drift_m,jump_step_speed_n,jump_step_speed_p95_mps,jump_step_speed_p99_mps,jump_step_speed_max_mps,jump_step_speed_gt_3mps,jump_step_speed_gt_5mps,jump_step_speed_gt_10mps,rtk_tag_total,rtk_tag_valid,rtk_tag_fixed,rtk_tag_fixed_pct,rtk_tag_fix_age_p95_ms,rtk_all_modules_fixed_pct,rtk_fixed_anchor_count,rtk_anchor_spread_p95_m_max,rtk_tag_center_east_m,rtk_tag_center_north_m,rtk_tag_center_up_m,error_pairs,error_fixed_tag_solutions,error_pair_coverage_pct,error_association_abs_p50_ms,error_association_abs_p95_ms,error_association_abs_max_ms,error_bias_east_mean_m,error_bias_north_mean_m,error_bias_east_median_m,error_bias_north_median_m,error_error_median_m,error_error_rmse_m,error_error_p95_m,error_error_max_m,error_error_gt_0_5m,error_error_gt_1m,error_error_gt_2m,error_debiased_error_rmse_m,error_debiased_error_p95_m,error_debiased_error_max_m,static_rtk_reference_consistent,static_rtk_max_cross_capture_center_distance_m,error_interpretation_grade
rpi_static_flextdoa_rtkfixed_180s,flextdoa,static,180.0542368888855,0,5138,28.535846136021483,28.537303483139826,5082,28.22482873944359,28.22620965501917,180.01,180.001211643219,99.97055040382125,0.050887346267700195,0.002137899398803711,1.0899182561307952,30.0,70.0,90.0,170.0,1731,480,21,5138,28.535846136021483,100.0,0.206,0.238,0.206,0.238,,22871,127.02283709165967,127.00616426945078,16271,90.36721535212253,90.35375131893153,180.07,180.02487015724182,99.98369006353246,-0.026365041732788086,0.055731773376464844,28.857505137510387,10.0,20.0,20.0,50.0,9,0,0,100.0,5138,0.685,7.582,0.02024845673131657,0.02586071097493712,0.04304648650006192,0.05267117152857781,0.5512041364140877,0.01472374280626612,0.021260529360697052,0.05172228575467773,0.0010000000000000009,5081,2.2203603311174684,3.9254583239930247,18.43408678387827,113,22,3,119,119,119,100.0,100.0,91.44295302013423,4,0.1480256033319639,0.003987644355018388,0.6822777087000036,0.0499999634205584,119,119,100.0,10.588884353637695,31.573033332824703,42.845964431762695,-0.07140211504270516,0.042795622971539354,-0.07313626270639975,0.043551408362139,0.08583570157269804,0.08724283774794607,0.11474844502480509,0.12723706646195293,0,0,0,0.026175634469802946,0.042732805585587536,0.06646397205279529,False,1.5825092872006379,audit_only_invalid_for_cross_protocol_ranking
rpi_static_native_rtkfixed_180s,native_ds,static,180.04557251930237,0,4040,22.438763383458813,22.440135563086837,4040,22.438763383458813,22.440135563086837,179.99,179.98814868927002,99.96810594716169,0.05504584312438965,0.0023779869079589844,0.0,40.0,60.0,70.0,100.0,3797,249,0,4040,22.438763383458813,100.0,0.134,0.149,0.128,0.141,,22865,126.9956249412836,126.98694806998056,17003,94.43720143785896,94.42932518744793,180.05,179.9900360107422,99.96915419369492,-0.002070188522338867,0.05760669708251953,25.637437130986218,10.0,20.0,20.0,40.0,3,0,0,100.0,4040,0.678,7.571,0.01886796226411311,0.04870699169117264,0.1451051430372913,0.21167424354107747,0.29561123118041366,0.04216910829258811,0.024364221142715414,0.0974032641359244,0.003605551275464085,4039,4.197969477080583,7.087292222230914,9.192388155425116,320,184,0,119,119,119,100.0,100.0,86.26465661641541,4,1.8267358379636716,-0.0023925864344308823,0.6811665081398852,0.06999996321057844,119,119,100.0,10.4217529296875,28.87318134307861,90.22688865661621,-0.06832542322506815,-0.028521117650255567,-0.07342464857588257,-0.02947646057801434,0.08260929388419919,0.0919303454352081,0.12181904967875531,0.26281906021118745,0,0,0,0.05473833738998922,0.16915225061383246,0.20688847745312278,False,1.5825092872006379,audit_only_invalid_for_cross_protocol_ranking
rpi_static_passive_rtkfixed_180s,passive_ds,static,180.05542540550232,0,12557,69.73963695745583,69.82926422334687,11003,61.108961172484385,61.18680829764752,179.81,179.80233669281006,99.85943844117872,0.13464045524597168,0.11844825744628906,12.375567412598553,10.0,30.0,130.0,460.0,445,289,183,4185,23.24284308887096,33.3280242096042,0.056,0.07220000000000072,0.164,0.215,35.0,22865,126.9886755620154,127.00811020997666,13765,76.44868222659707,76.45817131429841,180.02,179.98030757904053,99.95828072034341,-0.0016698837280273438,0.07678771018981934,39.798819155915155,10.0,20.0,40.0,80.0,194,19,0,100.0,4185,0.651,7.653,0.0272029410174707,0.040002786641284066,0.08190358088450361,0.1074437445148363,0.14400347218036022,0.0183779127639944,0.03492794891150617,0.07893565209018731,0.06545991139621284,4184,2.537933936169742,3.3727420288534757,6.32534584034735,83,3,0,119,119,102,85.71428571428571,130.0,92.95302013422818,4,0.2452632021698354,-0.06579608443999974,2.262405149369263,-2.960000400781812,101,102,99.01960784313725,15.485286712646484,63.34638595581055,98.10495376586914,-0.019616864026409265,-1.4696416732889381,-0.024934671947547282,-1.464852229341414,1.4662963700022986,1.4705399428007462,1.5387525104462623,1.598439427555181,101,101,0,0.04803615310464969,0.09889525480775618,0.14678637960524105,False,1.5825092872006379,audit_only_invalid_for_cross_protocol_ranking
walk_flex_final,flextdoa,dynamic,91.3547911643982,0,2312,25.30792277593217,25.723508459483526,2284,25.00142544127555,25.411843276936775,89.84,89.84427404403687,98.34653760234308,0.013607263565063477,1.4969098567962646,1.211072664359858,30.0,80.0,171.79999999999836,520.0,887,260,54,2312,25.30792277593217,100.0,0.121,0.268,0.121,0.268,,10869,118.97569751367074,126.8144690781797,7729,84.60421069860716,90.17502917152858,85.7,85.66245007514954,93.76897367210334,-0.18195462226867676,5.874295711517334,28.889502254117218,10.0,20.0,20.0,50.0,4,0,0,100.0,0,,,,,,,,,,,,2283,4.436690382950256,8.64555755190886,32.70351663047876,262,91,14,24,24,24,100.0,95.50000000000004,92.98245614035088,4,0.14220351391726432,0.3425387070559569,-0.4161449460634764,0.3649987005748443,23,24,95.83333333333333,11.356115341186523,36.31446361541747,50.39572715759277,-0.34372882950719097,0.4979074869221203,-0.34713849113904577,0.4457512634119623,0.6946019300323605,1.1579233153069333,2.1353179948094487,2.5806749599911845,19,8,3,0.9886642138801223,2.015157670348587,2.099558887643473,,,
walk_native_final,native_ds,dynamic,91.10271167755127,0,1981,21.74468754576205,21.863957597173144,1981,21.74468754576205,21.863957597173144,90.56,90.55408358573914,99.39779169937998,-0.010860919952392578,0.5594890117645264,0.0,40.0,60.0,90.0,200.0,1812,207,6,1981,21.74468754576205,100.0,0.1,0.297,0.087,0.179,,11405,125.18837024705512,126.66888814839498,8601,94.40992305961605,95.52371431744974,90.03,89.99422073364258,98.78325142743053,-0.15375328063964844,1.2622442245483398,24.585708022797014,10.0,10.0,20.0,50.0,4,0,0,100.0,0,,,,,,,,,,,,1980,5.105712006187378,9.936322952670881,18.916336267305525,223,107,19,30,30,28,93.33333333333333,96.49999999999999,55.86206896551724,3,1.3155426902610188,1.693952075268402,0.32169295750929855,0.6699990345920481,27,28,96.42857142857143,12.21609115600586,27.155137062072754,28.575658798217773,-1.6849760530344582,-0.5287034556417342,-1.6281606622719111,-0.3652159653938263,1.8766259660967666,2.1644887830706305,3.43252162303288,3.9133098065810517,27,24,11,1.2634461590533048,2.282167480792018,2.4708966302488173,,,
walk_passive_final,passive_ds,dynamic,95.71872806549072,0,4664,48.72609670292414,49.35436071126164,4169,43.554694930208136,44.1151566469094,94.48,94.47028350830078,98.69571547551723,-0.021247386932373047,1.2696919441223145,10.61320754716981,10.0,70.0,180.0,1610.0,386,244,151,1532,16.005227304648326,32.84734133790737,0.032,0.085,0.086,0.225,55.0,11410,119.20342268018106,126.52766995674835,6984,72.963777738684,77.44260840634357,90.17,90.14974451065063,94.18192900449974,-0.20072007179260254,5.76970362663269,38.79053461875548,10.0,30.0,40.0,80.0,117,13,0,100.0,0,,,,,,,,,,,,1531,4.188782662786366,8.529920590293214,21.392346762335386,179,53,9,26,26,25,96.15384615384616,106.00000000000001,72.22222222222223,4,0.45941078623695775,-0.8158729382789329,-5.002628510519098,0.3499975886318216,19,25,76.0,6.496191024780273,63.559365272521994,75.89387893676758,-0.12645231536849347,2.6957704608371373,-0.1898255771858266,2.5453470920801617,3.0681286995040478,3.2979086630510794,4.756129385507084,4.783757738423859,19,19,16,1.9025447023459923,2.9123601132043526,5.0312362090241916,,,
