capture_id,protocol,motion,alignment_available,alignment_snapshot_count,alignment_dynamic_snapshot_count,alignment_rtk_derived_dynamic_geometry,alignment_anchor_count_min,alignment_fit_rmse_m_median,alignment_fit_rmse_m_p95,alignment_fit_rmse_m_max,alignment_fit_residual_m_max,alignment_yaw_deg_median,alignment_yaw_deg_span,alignment_anchor_spread_p95_m_max,alignment_quality_flag,alignment_transformed_positions,alignment_transform_coverage_pct,alignment_exact_geometry_version_pct,alignment_geometry_match_age_p95_s,alignment_geometry_match_age_max_s,rtk_tag_total,rtk_tag_valid,rtk_tag_fixed,rtk_tag_fixed_pct,rtk_tag_fix_age_p95_ms,rtk_all_modules_fixed_pct,rtk_fixed_anchor_count,rtk_anchor_spread_p95_m_max,rtk_tag_center_east_m,rtk_tag_center_north_m,rtk_tag_center_up_m,error_pairs,error_fixed_tag_solutions,error_pair_coverage_pct,error_association_abs_p50_ms,error_association_abs_p95_ms,error_association_abs_max_ms,error_bias_east_mean_m,error_bias_north_mean_m,error_bias_east_median_m,error_bias_north_median_m,error_error_median_m,error_error_rmse_m,error_error_p95_m,error_error_max_m,error_error_gt_0_5m,error_error_gt_1m,error_error_gt_2m,error_debiased_error_rmse_m,error_debiased_error_p95_m,error_debiased_error_max_m,static_rtk_reference_consistent,static_rtk_max_cross_capture_center_distance_m,error_interpretation_grade
rpi_static_flextdoa_rtkfixed_180s,flextdoa,static,True,173,0,False,4,0.005549917769242342,0.005549917769242342,0.005549917769242342,0.006428037347538895,0.0011429219314239751,0.0,0.1480256033319639,usable_with_limitations,5138,100.0,100.0,0.5104440927505491,1.0318822860717773,119,119,119,100.0,100.0,91.44295302013423,4,0.1480256033319639,0.003987644355018388,0.6822777087000036,0.0499999634205584,119,119,100.0,10.588884353637695,31.573033332824703,42.845964431762695,-0.07140211504270516,0.042795622971539354,-0.07313626270639975,0.043551408362139,0.08583570157269804,0.08724283774794607,0.11474844502480509,0.12723706646195293,0,0,0,0.026175634469802946,0.042732805585587536,0.06646397205279529,False,1.5825092872006379,audit_only_invalid_for_cross_protocol_ranking
rpi_static_native_rtkfixed_180s,native_ds,static,True,127,0,False,4,0.11014680612851573,0.11014680612851573,0.11014680612851573,0.18985033525453643,0.10014509229088706,0.0,1.8267358379636716,poor_alignment_do_not_claim_accuracy,4040,100.0,100.0,0.6931481957435608,1.839444875717163,119,119,119,100.0,100.0,86.26465661641541,4,1.8267358379636716,-0.0023925864344308823,0.6811665081398852,0.06999996321057844,119,119,100.0,10.4217529296875,28.87318134307861,90.22688865661621,-0.06832542322506815,-0.028521117650255567,-0.07342464857588257,-0.02947646057801434,0.08260929388419919,0.0919303454352081,0.12181904967875531,0.26281906021118745,0,0,0,0.05473833738998922,0.16915225061383246,0.20688847745312278,False,1.5825092872006379,audit_only_invalid_for_cross_protocol_ranking
rpi_static_passive_rtkfixed_180s,passive_ds,static,True,168,167,True,4,0.03917059358557639,0.0905874066866027,0.232175767999186,0.3392836051036899,-0.1765263001845704,1.9501109209759724,0.2452632021698354,usable_with_limitations,4185,100.0,9.53405017921147,0.5230038166046144,1.0698370933532715,119,119,102,85.71428571428571,130.0,92.95302013422818,4,0.2452632021698354,-0.06579608443999974,2.262405149369263,-2.960000400781812,101,102,99.01960784313725,15.485286712646484,63.34638595581055,98.10495376586914,-0.019616864026409265,-1.4696416732889381,-0.024934671947547282,-1.464852229341414,1.4662963700022986,1.4705399428007462,1.5387525104462623,1.598439427555181,101,101,0,0.04803615310464969,0.09889525480775618,0.14678637960524105,False,1.5825092872006379,audit_only_invalid_for_cross_protocol_ranking
walk_flex_final,flextdoa,dynamic,True,23,0,False,4,0.7630267391615518,0.7630267391615518,0.7630267391615518,1.0397991439934389,0.9362027613784731,0.0,0.14220351391726432,poor_alignment_do_not_claim_accuracy,2312,100.0,100.0,3.6806049585342397,5.122904062271118,24,24,24,100.0,95.50000000000004,92.98245614035088,4,0.14220351391726432,0.3425387070559569,-0.4161449460634764,0.3649987005748443,23,24,95.83333333333333,11.356115341186523,36.31446361541747,50.39572715759277,-0.34372882950719097,0.4979074869221203,-0.34713849113904577,0.4457512634119623,0.6946019300323605,1.1579233153069333,2.1353179948094487,2.5806749599911845,19,8,3,0.9886642138801223,2.015157670348587,2.099558887643473,,,
walk_native_final,native_ds,dynamic,True,27,0,False,3,0.3904543289773647,0.3904543289773647,0.3904543289773647,0.4649439123019664,0.46683013031640275,0.0,1.3155426902610188,poor_alignment_do_not_claim_accuracy,1981,100.0,100.0,2.9785537719726562,4.263651609420776,30,30,28,93.33333333333333,96.49999999999999,55.86206896551724,3,1.3155426902610188,1.693952075268402,0.32169295750929855,0.6699990345920481,27,28,96.42857142857143,12.21609115600586,27.155137062072754,28.575658798217773,-1.6849760530344582,-0.5287034556417342,-1.6281606622719111,-0.3652159653938263,1.8766259660967666,2.1644887830706305,3.43252162303288,3.9133098065810517,27,24,11,1.2634461590533048,2.282167480792018,2.4708966302488173,,,
walk_passive_final,passive_ds,dynamic,True,15,14,True,4,0.1937192049299511,0.26755226945998667,0.4248631303242229,0.6731950543667017,1.6111813457082622,0.10646622222624913,0.45941078623695775,usable_with_limitations,1532,100.0,50.06527415143603,82.31760475635528,86.23355054855347,26,26,25,96.15384615384616,106.00000000000001,72.22222222222223,4,0.45941078623695775,-0.8158729382789329,-5.002628510519098,0.3499975886318216,19,25,76.0,6.496191024780273,63.559365272521994,75.89387893676758,-0.12645231536849347,2.6957704608371373,-0.1898255771858266,2.5453470920801617,3.0681286995040478,3.2979086630510794,4.756129385507084,4.783757738423859,19,19,16,1.9025447023459923,2.9123601132043526,5.0312362090241916,,,
