capture_id,protocol,motion,alignment_index,geometry_time,snapshot_time,geometry_version,dynamic,all_rtk_fixed,source_geometry_fit_rms_m,anchor_ids,yaw_deg,translation_east_m,translation_north_m,fit_rmse_m,fit_p95_m,fit_max_m
rpi_static_flextdoa_rtkfixed_180s,flextdoa,static,0,1786051290.5050056,1786051291.3192067,98,False,False,0.0,"2,3,4,5",0.0011429219314239751,-0.7499850588410907,-6.856961824834822,0.005549917769242342,0.006423398534635403,0.006428037347538895
rpi_static_flextdoa_rtkfixed_180s,flextdoa,static,1,1786051291.2452898,1786051291.2452898,98,False,False,,"2,3,4,5",0.0011429219314239751,-0.7499850588410907,-6.856961824834822,0.005549917769242342,0.006423398534635403,0.006428037347538895
rpi_static_flextdoa_rtkfixed_180s,flextdoa,static,2,1786051291.5295358,1786051292.323804,98,False,False,0.0,"2,3,4,5",0.0011429219314239751,-0.7499850588410907,-6.856961824834822,0.005549917769242342,0.006423398534635403,0.006428037347538895
rpi_static_flextdoa_rtkfixed_180s,flextdoa,static,3,1786051292.5348966,1786051293.330341,98,False,False,0.0,"2,3,4,5",0.0011429219314239751,-0.7499850588410907,-6.856961824834822,0.005549917769242342,0.006423398534635403,0.006428037347538895
rpi_static_flextdoa_rtkfixed_180s,flextdoa,static,4,1786051293.540211,1786051294.3909585,98,False,False,0.0,"2,3,4,5",0.0011429219314239751,-0.7499850588410907,-6.856961824834822,0.005549917769242342,0.006423398534635403,0.006428037347538895
rpi_static_flextdoa_rtkfixed_180s,flextdoa,static,5,1786051294.5780075,1786051295.428099,98,False,False,0.0,"2,3,4,5",0.0011429219314239751,-0.7499850588410907,-6.856961824834822,0.005549917769242342,0.006423398534635403,0.006428037347538895
rpi_static_flextdoa_rtkfixed_180s,flextdoa,static,6,1786051295.6008754,1786051296.4742439,98,False,False,0.0,"2,3,4,5",0.0011429219314239751,-0.7499850588410907,-6.856961824834822,0.005549917769242342,0.006423398534635403,0.006428037347538895
rpi_static_flextdoa_rtkfixed_180s,flextdoa,static,7,1786051296.6827703,1786051297.5286932,98,False,False,0.0,"2,3,4,5",0.0011429219314239751,-0.7499850588410907,-6.856961824834822,0.005549917769242342,0.006423398534635403,0.006428037347538895
rpi_static_flextdoa_rtkfixed_180s,flextdoa,static,8,1786051297.6878633,1786051298.5835996,98,False,False,0.0,"2,3,4,5",0.0011429219314239751,-0.7499850588410907,-6.856961824834822,0.005549917769242342,0.006423398534635403,0.006428037347538895
rpi_static_flextdoa_rtkfixed_180s,flextdoa,static,9,1786051298.6884785,1786051299.6130242,98,False,False,0.0,"2,3,4,5",0.0011429219314239751,-0.7499850588410907,-6.856961824834822,0.005549917769242342,0.006423398534635403,0.006428037347538895
rpi_static_flextdoa_rtkfixed_180s,flextdoa,static,10,1786051299.7190464,1786051300.6713555,98,False,False,0.0,"2,3,4,5",0.0011429219314239751,-0.7499850588410907,-6.856961824834822,0.005549917769242342,0.006423398534635403,0.006428037347538895
rpi_static_flextdoa_rtkfixed_180s,flextdoa,static,11,1786051300.727254,1786051301.7093856,98,False,False,0.0,"2,3,4,5",0.0011429219314239751,-0.7499850588410907,-6.856961824834822,0.005549917769242342,0.006423398534635403,0.006428037347538895
rpi_static_flextdoa_rtkfixed_180s,flextdoa,static,12,1786051301.8137827,1786051302.7148054,98,False,False,0.0,"2,3,4,5",0.0011429219314239751,-0.7499850588410907,-6.856961824834822,0.005549917769242342,0.006423398534635403,0.006428037347538895
rpi_static_flextdoa_rtkfixed_180s,flextdoa,static,13,1786051302.8200507,1786051303.7451997,98,False,False,0.0,"2,3,4,5",0.0011429219314239751,-0.7499850588410907,-6.856961824834822,0.005549917769242342,0.006423398534635403,0.006428037347538895
rpi_static_flextdoa_rtkfixed_180s,flextdoa,static,14,1786051303.7972093,1786051304.7477407,98,False,False,0.0,"2,3,4,5",0.0011429219314239751,-0.7499850588410907,-6.856961824834822,0.005549917769242342,0.006423398534635403,0.006428037347538895
rpi_static_flextdoa_rtkfixed_180s,flextdoa,static,15,1786051304.800262,1786051305.7818077,98,False,False,0.0,"2,3,4,5",0.0011429219314239751,-0.7499850588410907,-6.856961824834822,0.005549917769242342,0.006423398534635403,0.006428037347538895
rpi_static_flextdoa_rtkfixed_180s,flextdoa,static,16,1786051305.7882607,1786051306.7943244,98,False,False,0.0,"2,3,4,5",0.0011429219314239751,-0.7499850588410907,-6.856961824834822,0.005549917769242342,0.006423398534635403,0.006428037347538895
rpi_static_flextdoa_rtkfixed_180s,flextdoa,static,17,1786051307.876883,1786051307.8997183,98,False,False,0.0,"2,3,4,5",0.0011429219314239751,-0.7499850588410907,-6.856961824834822,0.005549917769242342,0.006423398534635403,0.006428037347538895
rpi_static_flextdoa_rtkfixed_180s,flextdoa,static,18,1786051308.9475596,1786051308.972912,98,False,False,0.0,"2,3,4,5",0.0011429219314239751,-0.7499850588410907,-6.856961824834822,0.005549917769242342,0.006423398534635403,0.006428037347538895
rpi_static_flextdoa_rtkfixed_180s,flextdoa,static,19,1786051309.9501567,1786051310.0298624,98,False,False,0.0,"2,3,4,5",0.0011429219314239751,-0.7499850588410907,-6.856961824834822,0.005549917769242342,0.006423398534635403,0.006428037347538895
rpi_static_flextdoa_rtkfixed_180s,flextdoa,static,20,1786051310.9706168,1786051311.060831,98,False,False,0.0,"2,3,4,5",0.0011429219314239751,-0.7499850588410907,-6.856961824834822,0.005549917769242342,0.006423398534635403,0.006428037347538895
rpi_static_flextdoa_rtkfixed_180s,flextdoa,static,21,1786051311.9914992,1786051312.1215713,98,False,False,0.0,"2,3,4,5",0.0011429219314239751,-0.7499850588410907,-6.856961824834822,0.005549917769242342,0.006423398534635403,0.006428037347538895
rpi_static_flextdoa_rtkfixed_180s,flextdoa,static,22,1786051312.9957836,1786051313.181431,98,False,False,0.0,"2,3,4,5",0.0011429219314239751,-0.7499850588410907,-6.856961824834822,0.005549917769242342,0.006423398534635403,0.006428037347538895
rpi_static_flextdoa_rtkfixed_180s,flextdoa,static,23,1786051314.0600626,1786051314.1926074,98,False,False,0.0,"2,3,4,5",0.0011429219314239751,-0.7499850588410907,-6.856961824834822,0.005549917769242342,0.006423398534635403,0.006428037347538895
rpi_static_flextdoa_rtkfixed_180s,flextdoa,static,24,1786051315.0384448,1786051315.2763047,98,False,False,0.0,"2,3,4,5",0.0011429219314239751,-0.7499850588410907,-6.856961824834822,0.005549917769242342,0.006423398534635403,0.006428037347538895
rpi_static_flextdoa_rtkfixed_180s,flextdoa,static,25,1786051316.042344,1786051316.3400197,98,False,False,0.0,"2,3,4,5",0.0011429219314239751,-0.7499850588410907,-6.856961824834822,0.005549917769242342,0.006423398534635403,0.006428037347538895
rpi_static_flextdoa_rtkfixed_180s,flextdoa,static,26,1786051317.0583673,1786051317.3506908,98,False,False,0.0,"2,3,4,5",0.0011429219314239751,-0.7499850588410907,-6.856961824834822,0.005549917769242342,0.006423398534635403,0.006428037347538895
rpi_static_flextdoa_rtkfixed_180s,flextdoa,static,27,1786051318.0583632,1786051318.4043481,98,False,False,0.0,"2,3,4,5",0.0011429219314239751,-0.7499850588410907,-6.856961824834822,0.005549917769242342,0.006423398534635403,0.006428037347538895
rpi_static_flextdoa_rtkfixed_180s,flextdoa,static,28,1786051319.0401938,1786051319.4383094,98,False,False,0.0,"2,3,4,5",0.0011429219314239751,-0.7499850588410907,-6.856961824834822,0.005549917769242342,0.006423398534635403,0.006428037347538895
rpi_static_flextdoa_rtkfixed_180s,flextdoa,static,29,1786051320.0462263,1786051320.4461997,98,False,False,0.0,"2,3,4,5",0.0011429219314239751,-0.7499850588410907,-6.856961824834822,0.005549917769242342,0.006423398534635403,0.006428037347538895
rpi_static_flextdoa_rtkfixed_180s,flextdoa,static,30,1786051321.056669,1786051321.4667244,98,False,False,0.0,"2,3,4,5",0.0011429219314239751,-0.7499850588410907,-6.856961824834822,0.005549917769242342,0.006423398534635403,0.006428037347538895
rpi_static_flextdoa_rtkfixed_180s,flextdoa,static,31,1786051322.1029422,1786051322.5141695,98,False,False,0.0,"2,3,4,5",0.0011429219314239751,-0.7499850588410907,-6.856961824834822,0.005549917769242342,0.006423398534635403,0.006428037347538895
rpi_static_flextdoa_rtkfixed_180s,flextdoa,static,32,1786051323.1205826,1786051323.5206826,98,False,False,0.0,"2,3,4,5",0.0011429219314239751,-0.7499850588410907,-6.856961824834822,0.005549917769242342,0.006423398534635403,0.006428037347538895
rpi_static_flextdoa_rtkfixed_180s,flextdoa,static,33,1786051324.1281993,1786051324.5269232,98,False,False,0.0,"2,3,4,5",0.0011429219314239751,-0.7499850588410907,-6.856961824834822,0.005549917769242342,0.006423398534635403,0.006428037347538895
rpi_static_flextdoa_rtkfixed_180s,flextdoa,static,34,1786051325.1361554,1786051325.5342824,98,False,False,0.0,"2,3,4,5",0.0011429219314239751,-0.7499850588410907,-6.856961824834822,0.005549917769242342,0.006423398534635403,0.006428037347538895
rpi_static_flextdoa_rtkfixed_180s,flextdoa,static,35,1786051326.163145,1786051326.5813527,98,False,False,0.0,"2,3,4,5",0.0011429219314239751,-0.7499850588410907,-6.856961824834822,0.005549917769242342,0.006423398534635403,0.006428037347538895
