capture_id,protocol,motion,gps_time,uwb_time,delta_ms,uwb_east_m,uwb_north_m,rtk_east_m,rtk_north_m,error_east_m,error_north_m,error_m,gps_fix_age_ms,gps_speed_mps,position_sigma_m,position_rms_m,geometry_version,alignment_version,alignment_exact_version,alignment_age_s,debiased_error_m
rpi_static_flextdoa_rtkfixed_180s,flextdoa,static,1786051291.3083994,1786051291.2961771,-12.2222900390625,-0.07513614323990958,0.7170516383900694,0.004785173422923394,0.6767217002312103,-0.07992131666283298,0.0403299381588591,0.08952050474063594,10.0,0.0,0.223,0.223,98,98,True,0.050887346267700195,0.007510980459456033
rpi_static_flextdoa_rtkfixed_180s,flextdoa,static,1786051292.3132489,1786051292.3229403,9.691476821899414,-0.03513638262087748,0.7290524362977147,0.003987644279347002,0.6833889091097539,-0.039124026900224484,0.04566352718796074,0.06013191495483176,10.0,0.0,0.166,0.166,98,98,True,0.21195626258850098,0.034077752720349117
rpi_static_flextdoa_rtkfixed_180s,flextdoa,static,1786051293.8453476,1786051293.883913,38.56539726257324,-0.054135844027825786,0.7020520572958207,-0.0007975284835621266,0.6778329019000967,-0.05333831554426366,0.024219155395723946,0.058579376858939554,40.0,0.0,0.202,0.202,98,98,True,0.3437020778656006,0.027671189287636268
rpi_static_flextdoa_rtkfixed_180s,flextdoa,static,1786051295.36767,1786051295.3498802,-17.789840698242188,-0.039136023560567335,0.711052356510292,0.002392586531154789,0.6789441038121087,-0.041528610091722123,0.03210825269818329,0.05249347909484262,60.0,0.0,0.226,0.226,98,98,True,0.2509951591491699,0.03361531667796183
rpi_static_flextdoa_rtkfixed_180s,flextdoa,static,1786051296.9434156,1786051296.94654,3.1244754791259766,-0.03813620309052346,0.7200523764562528,0.003987644342272723,0.6744992978047359,-0.04212384743279618,0.04555307865151681,0.06204435104965452,80.0,0.0,0.187,0.187,98,98,True,0.26376986503601074,0.03107694619890793
rpi_static_flextdoa_rtkfixed_180s,flextdoa,static,1786051298.5731885,1786051298.582259,9.070396423339844,-0.06713608339824884,0.7140517979726733,0.0007975289150684572,0.6856113121505176,-0.0679336123133173,0.028440485822155637,0.07364670335959601,10.0,0.0,0.236,0.236,98,98,True,0.10621953010559082,0.015981475248612636
rpi_static_flextdoa_rtkfixed_180s,flextdoa,static,1786051300.1454127,1786051300.1397023,-5.710363388061523,-0.07513648235167303,0.7340516383866875,0.0031901156460739655,0.6767217004041607,-0.078326597997747,0.057329937982526835,0.09706584230810052,20.0,0.0,0.199,0.199,98,98,True,0.4206559658050537,0.014723703981556735
rpi_static_flextdoa_rtkfixed_180s,flextdoa,static,1786051301.6691082,1786051301.6842144,15.106201171875,-0.09013598365491893,0.7090513391753994,0.005582702268040779,0.6689432900456702,-0.0957186859229597,0.040108049129729206,0.1037820911323865,40.0,0.0,0.229,0.229,98,98,True,0.12956833839416504,0.022843435843481336
rpi_static_flextdoa_rtkfixed_180s,flextdoa,static,1786051303.1475563,1786051303.1363542,-11.202096939086914,-0.1051361831294425,0.7190510399571481,0.0047851732473810915,0.6756104977728699,-0.1099213563768236,0.043440542184278286,0.11819384625683657,70.0,0.0,0.196,0.196,98,98,True,0.3163034915924072,0.036785260739204365
rpi_static_flextdoa_rtkfixed_180s,flextdoa,static,1786051304.7474139,1786051304.7253864,-22.02749252319336,-0.0871365022970364,0.7350513990134786,0.003987644376541283,0.6700544919703137,-0.09112414667357768,0.06499690704316485,0.1119294779410925,0.0,0.0,0.233,0.233,98,98,True,0.0748755931854248,0.02799059455057249
rpi_static_flextdoa_rtkfixed_180s,flextdoa,static,1786051306.208529,1786051306.2113118,2.7828216552734375,-0.06913684141238119,0.7520517580696113,0.00558270210479353,0.6767217000340183,-0.07471954351717472,0.075330058035593,0.10610196900652116,80.0,0.0,0.228,0.228,98,98,True,0.423051118850708,0.03181806645907143
rpi_static_flextdoa_rtkfixed_180s,flextdoa,static,1786051307.8792853,1786051307.8769155,-2.3698806762695312,-0.08513684140919786,0.7520514389055988,0.0039876442670519485,0.6744992966630654,-0.08912448567624981,0.07755214224253337,0.1181419007527058,20.0,0.0,0.198,0.198,98,98,True,3.24249267578125e-05,0.037572239461323556
rpi_static_flextdoa_rtkfixed_180s,flextdoa,static,1786051309.5063083,1786051309.5032618,-3.0465126037597656,-0.06413624298085208,0.7220518578143338,0.0007975287189644908,0.6744992966451397,-0.06493377169981657,0.04755256116919404,0.08048379203860763,20.0,0.0,0.219,0.219,98,98,True,0.44689488410949707,0.009126340038508454
rpi_static_flextdoa_rtkfixed_180s,flextdoa,static,1786051311.0202892,1786051311.0302055,9.916305541992188,-0.07213588391974601,0.7040516982359089,0.003987644381702016,0.6733880955775023,-0.07612352830144803,0.030663602658406508,0.0820673387472385,40.0,0.0,0.246,0.246,98,98,True,0.05958867073059082,0.013229485688889
rpi_static_flextdoa_rtkfixed_180s,flextdoa,static,1786051312.0611472,1786051312.0453982,-15.748977661132812,-0.06013628287714956,0.7240519376049397,0.002392586531154789,0.6789441038121087,-0.06252886940830435,0.04510783379283101,0.07710107767704967,60.0,0.0,0.202,0.202,98,98,True,0.05389904975891113,0.010720972563241829
rpi_static_flextdoa_rtkfixed_180s,flextdoa,static,1786051313.6154585,1786051313.6072726,-8.185863494873047,-0.06813644245756423,0.7320517780213418,0.004785173322601893,0.6756104989145404,-0.07292161578016612,0.05644127910680141,0.09221268912249567,70.0,0.0,0.241,0.241,98,98,True,0.4527900218963623,0.012891657811043756
rpi_static_flextdoa_rtkfixed_180s,flextdoa,static,1786051315.1758482,1786051315.1443489,-31.499385833740234,-0.07013572433813775,0.6960517381330016,0.0031901155314238983,0.6778329021558538,-0.07332583986956165,0.018218835977147796,0.07555530938947184,100.0,0.0,0.193,0.193,98,98,True,0.10590410232543945,0.025333281728619594
rpi_static_flextdoa_rtkfixed_180s,flextdoa,static,1786051316.8261094,1786051316.8221128,-3.996610641479492,-0.044136262932582104,0.7230522567691509,0.002392586650965617,0.6811665056676043,-0.04652884958354772,0.041885751101546576,0.06260471219412417,20.0,0.0,0.213,0.213,98,98,True,0.23625445365905762,0.02665949825484123
rpi_static_flextdoa_rtkfixed_180s,flextdoa,static,1786051318.3738685,1786051318.378586,4.717588424682617,-0.07313626292681219,0.7230516782843779,-2.2041243830095425e-10,0.6778329018452982,-0.07313626270639975,0.04521877643907968,0.08598633999250688,30.0,0.0,0.217,0.217,98,98,True,0.3202228546142578,0.0016673680769406785
rpi_static_flextdoa_rtkfixed_180s,flextdoa,static,1786051319.900505,1786051319.914914,14.40882682800293,-0.05313658209480421,0.7390520772362104,-1.0576234332759782e-10,0.6767217000936052,-0.053136581989041864,0.06233037714260514,0.0819058743938282,40.0,0.0,0.192,0.192,98,98,True,0.13131237030029297,0.027434228570418724
rpi_static_flextdoa_rtkfixed_180s,flextdoa,static,1786051321.4063532,1786051321.387709,-18.644332885742188,-0.06313648235406055,0.7340518777596978,0.002392586531154789,0.6789441038121087,-0.06552906888521534,0.055107773947589145,0.08562082467730547,60.0,0.0,0.155,0.155,98,98,True,0.3310399055480957,0.013835424943876597
