capture_id,protocol,motion,source_file,source_bytes,source_sha256,archive_file,archive_bytes,archive_sha256,compression,reused_verified_sibling_archive,roundtrip_sha256_matches
rpi_static_flextdoa_rtkfixed_180s,flextdoa,static,D:\Documente\UWB_ESP_IDF\.worktrees\passive-ds-rx-recovery\reports\uwb_dynamic_capture\rpi_static_flextdoa_rtkfixed_180s.flextdoa.jsonl,116687626,6469e44ad4907c5232858fbfb9c7535e6f3ed55077e272478e62e5da8028e440,data/rpi_static_flextdoa_rtkfixed_180s.flextdoa.jsonl.xz,5035156,afe755f27c1b605e67e9d020fee98c0fbbf1e0e69504d4605722bba788181bc1,existing verified XZ (lossless),True,True
rpi_static_native_rtkfixed_180s,native_ds,static,D:\Documente\UWB_ESP_IDF\.worktrees\passive-ds-rx-recovery\reports\uwb_dynamic_capture\rpi_static_native_rtkfixed_180s.native_ds.jsonl,113838017,2767eb2c68111b68ab603e21950b4c389e504884adb2a51ff5f579db6eb381d2,data/rpi_static_native_rtkfixed_180s.native_ds.jsonl.xz,4628168,d3041a238de705ba28ca3efbdf001b081314ea10cfe362d96690f2fe4c1fb3ff,existing verified XZ (lossless),True,True
rpi_static_passive_rtkfixed_180s,passive_ds,static,D:\Documente\UWB_ESP_IDF\.worktrees\passive-ds-rx-recovery\reports\uwb_dynamic_capture\rpi_static_passive_rtkfixed_180s.passive_ds.jsonl,141124780,1db430cbb3c2147246f9a26f7856df7dcde00a4ce9faf32da5a48ff6ed213bc9,data/rpi_static_passive_rtkfixed_180s.passive_ds.jsonl.xz,6110396,ad5f3f935b021b440eaf32500dc227052e3442bcd7956d6cc312f064e5693b62,existing verified XZ (lossless),True,True
walk_flex_final,flextdoa,dynamic,D:\Documente\UWB_ESP_IDF\.worktrees\passive-ds-rx-recovery\reports\uwb_dynamic_capture\walk_flex_final.flextdoa.jsonl,37218915,85df1b96f569ce119e722119b85624e35d0d46ef7d48c12df9df41bfb3256734,data/walk_flex_final.flextdoa.jsonl.xz,1297368,511731bc6f179901d4e8e61e57e518d0fc57d38f07ae5c5921b9d419989f398e,XZ/LZMA2 preset 3 (lossless),False,True
walk_native_final,native_ds,dynamic,D:\Documente\UWB_ESP_IDF\.worktrees\passive-ds-rx-recovery\reports\uwb_dynamic_capture\walk_native_final.native_ds.jsonl,39083256,b6b906a8a1c2fa39470232639bff5684b121b3787de762e9cd71099889d356a6,data/walk_native_final.native_ds.jsonl.xz,1305884,4fee911afc6507a1ade61e0d197b2d1333c7ed047d1a51a01227a866e96e2741,XZ/LZMA2 preset 3 (lossless),False,True
walk_passive_final,passive_ds,dynamic,D:\Documente\UWB_ESP_IDF\.worktrees\passive-ds-rx-recovery\reports\uwb_dynamic_capture\walk_passive_final.passive_ds.jsonl,42874035,3765fb77bfc1d3ac75da3a14651fbd14fe71dde113fce4fbc8aec7305c197b16,data/walk_passive_final.passive_ds.jsonl.xz,1535144,4478f48af50f39926befbea94969616a9c4466228db9d2fb6699c96e3fb18e0c,XZ/LZMA2 preset 3 (lossless),False,True
