initiator_id,responder_id,count,mean_cm,std_cm,p95_abs_cm
2,3,456,-6.028289473684211,3.59601888106054,11.725
2,4,463,3.6924406047516203,3.9641585641173043,9.589999999999998
2,5,542,-1.2140221402214022,3.6054573114443524,7.5
3,2,524,6.041221374045802,3.4696304976593653,12.0
3,4,364,9.244505494505495,3.4673204820204604,14.484999999999994
3,5,408,4.820343137254902,3.6720811176426076,10.964999999999998
4,2,295,-3.6444067796610167,3.531832053919996,9.160000000000002
4,3,539,-9.10204081632653,3.5274831099904267,14.7
4,5,321,-4.008722741433021,4.294609839788995,10.9
5,2,291,1.2690721649484535,3.546305337946336,7.1499999999999995
5,3,285,-4.9971929824561405,3.5634182801612275,10.28
5,4,435,3.8967816091954024,4.126310850020561,10.2
