received_at,frame_id,x_m,y_m,observation_count
1785529371.579547,2220,1.4944832838541313,1.5334973746041314,3
1785529371.5796988,2221,1.4910656166639458,1.5082242072721515,3
1785529371.5799458,2224,1.4908125988763017,1.556483195100027,3
1785529371.580045,2225,1.4562970852256412,1.490243599889522,2
1785529371.6301522,2226,1.5673458169387353,1.5864627767024597,2
1785529371.6422937,2228,1.5548265994233021,1.523040637175559,3
1785529371.6500902,2232,1.5000689912133665,1.576359046617513,3
1785529371.6606312,2233,1.5413856376321418,1.5243763505000207,2
1785529371.7004387,2235,1.4928075998550967,1.5510412810439387,2
1785529371.7009828,2236,1.4965704040179741,1.5377364682430248,3
1785529371.70122,2237,1.514065467889196,1.5163401323408041,2
1785529371.7099774,2238,1.5734032502490596,1.5918158873806418,2
1785529371.7382643,2239,1.5070213059297282,1.536043985278257,3
1785529371.743069,2240,1.4667600141688937,1.630966942381982,2
1785529371.743145,2241,1.5162367371964798,1.5049766156698994,2
1785529371.7474384,2242,1.5291777016077508,1.5532284008126653,2
1785529371.7938867,2243,1.4812838365051386,1.55854694587605,3
1785529371.794003,2244,1.4852005547856062,1.5728820007967765,3
1785529371.794532,2246,1.495702073831839,1.5388384468246197,2
1785529371.826823,2248,1.4667121079217222,1.5353902324765918,3
1785529371.8445976,2249,1.480182018649557,1.5028097991339142,2
1785529371.8447304,2250,1.5697113317793483,1.6030003866145508,2
1785529371.8447804,2251,1.5239096479504932,1.5729769511162641,2
1785529371.8512378,2252,1.4914168294953154,1.5482878621227836,3
1785529371.932984,2253,1.524997888057789,1.4700515343306235,2
1785529371.9393342,2254,1.4873620248371329,1.521303291938602,2
1785529371.9395802,2255,1.524171988829156,1.5708644534783092,2
1785529371.9397113,2256,1.520429435556574,1.5380406059030896,3
1785529371.9397867,2257,1.526737263229574,1.51498235715985,2
1785529371.9399254,2259,1.5028661454497116,1.5664352001244,3
1785529371.9438202,2261,1.509334926004202,1.5142949710411158,3
1785529371.9467292,2262,1.5090043004217246,1.5620521874032745,2
1785529371.983593,2263,1.4949000319806145,1.5485208858869117,3
1785529371.9837859,2264,1.5074185023742734,1.535595954993524,3
1785529371.9839172,2265,1.532913545618965,1.5511623333683897,3
1785529371.9964876,2267,1.5340918491032922,1.5234903374687447,3
1785529372.0573878,2268,1.5175360462523972,1.52418335626786,2
1785529372.0594592,2269,1.5056873438314764,1.511071962403903,3
1785529372.0595465,2271,1.5144848031016738,1.5746153926811512,2
1785529372.0602484,2273,1.4574903774501373,1.5055772830057985,2
1785529372.06922,2274,1.5118166529461643,1.551423431277351,2
1785529372.0788188,2275,1.5102059447907754,1.6156576541087129,2
1785529372.1255114,2276,1.5237137578515805,1.5258182062718202,3
1785529372.125829,2277,1.474910720779889,1.4755186764228667,3
1785529372.1259384,2278,1.4923059285202098,1.5326124044516227,2
1785529372.1278093,2280,1.4821471966260558,1.5295237095585754,2
1785529372.164365,2281,1.4824321270489191,1.5324622988089853,3
1785529372.2070794,2282,1.5118416512461597,1.5450816525936246,2
1785529372.2075016,2283,1.5280262973383505,1.5483429873559003,2
1785529372.2076383,2284,1.481910496221394,1.5407714336996077,3
1785529372.207723,2285,1.5301691394987076,1.5235711049954,2
1785529372.2119803,2288,1.4871854242727116,1.5329223585076355,3
1785529372.2296314,2289,1.4921131669896848,1.5416137704132749,2
1785529372.2798939,2291,1.4277262711017271,1.5949362675325889,2
1785529372.2802212,2292,1.5247554625445436,1.4992870344089606,2
1785529372.4133263,2294,1.5515394834307512,1.5458796473841652,2
1785529372.2875466,2296,1.4835792381017654,1.5288344596156158,2
1785529372.339922,2297,1.4914164005854238,1.5345515304564925,2
1785529372.3426614,2301,1.4436826373125742,1.486120659328017,2
1785529372.4122756,2302,1.4804218660216817,1.4662774987423863,2
1785529372.4132948,2305,1.4872570154495321,1.5035205482840126,2
1785529372.425704,2309,1.5246344517980142,1.5429838981068715,3
1785529372.428021,2310,1.4950315405551702,1.511295032155628,2
1785529372.4912267,2312,1.5055720133930874,1.545344149902508,2
1785529372.491304,2313,1.4695786522343697,1.5013999464075996,2
1785529372.4919217,2314,1.513399440026008,1.5297238889518225,3
1785529372.4920082,2316,1.4666707961321535,1.508391536816225,2
1785529372.518511,2317,1.5435800575610543,1.5662226264808778,2
1785529372.5178866,2318,1.4821262712177747,1.533038610109993,2
1785529372.5903482,2321,1.4937605172238797,1.559285143452458,2
1785529372.590894,2322,1.5275788234934589,1.5635638109005323,3
1785529372.5918202,2323,1.4283707985895173,1.5985424563797457,2
1785529372.591933,2324,1.578801440101976,1.4891111567755322,2
1785529372.5919747,2325,1.4738788075289084,1.4950931454699834,2
1785529372.601883,2326,1.518444792426193,1.5445593102526127,3
1785529372.6076198,2328,1.4871458718550372,1.5295729374496896,2
1785529372.629964,2329,1.5440968813201428,1.5055969192307415,3
1785529372.6613717,2331,1.5075351363206315,1.5718656793215402,3
1785529372.6614428,2332,1.4956334164683103,1.5864285556056064,2
1785529372.6622014,2333,1.5426683324441548,1.6297861719777953,2
1785529372.6681738,2334,1.5309109586504164,1.5493023057413717,2
1785529372.7060146,2336,1.5413856350675088,1.524376352915436,2
1785529372.7062354,2337,1.5219460087290781,1.5505743487712302,3
1785529372.7177155,2339,1.5340342609259754,1.5538417433253433,2
1785529372.7299097,2340,1.5014122160731198,1.4957593517808452,2
1785529372.7749271,2341,1.5441388732307904,1.5279870643810254,2
1785529372.7764888,2343,1.5236631068143842,1.5477115409880027,2
1785529372.7765808,2344,1.51464335665607,1.5419275261321514,2
1785529372.7766495,2345,1.5269543446198455,1.5092753860109582,2
1785529372.8412516,2346,1.4885279573170063,1.5483309387163708,3
1785529372.8448749,2348,1.477153870238744,1.5287727659564145,2
1785529372.8449507,2349,1.4847038901125995,1.5506599936869014,2
1785529372.8450048,2350,1.5187906866800842,1.5654781462298641,2
1785529372.8495872,2352,1.482106772548767,1.5564433486377272,3
1785529372.8843064,2354,1.5502682708253128,1.5799947417109892,2
1785529372.8972335,2355,1.482634926549679,1.5285577868460127,3
1785529372.91405,2359,1.5381492268917023,1.5580194068771605,2
1785529372.9819424,2363,1.507650600875531,1.5496306577290062,2
1785529372.9826453,2364,1.497890135965912,1.5162522645777121,2
1785529373.0097032,2365,1.5574929966414977,1.4891881487701382,2
1785529373.0372114,2368,1.565713354772677,1.5028910479730984,2
1785529373.0372996,2369,1.5430967990381301,1.551655895657233,2
1785529373.0422359,2371,1.5139937858461499,1.531673503343254,2
1785529373.059554,2372,1.4739926465008748,1.5642083837478866,2
1785529373.1061358,2374,1.5049264376087055,1.4858344639741632,2
1785529373.1085515,2375,1.473825147870545,1.5834887694223008,2
1785529373.108647,2376,1.5168386041732191,1.5234665807389058,2
1785529373.108702,2377,1.551122823372025,1.5539529849894549,2
1785529373.109649,2378,1.522940155686084,1.551233071401872,2
1785529373.1228573,2379,1.4494644896167934,1.5618571560410304,2
1785529373.1749518,2380,1.5124392761704308,1.5629219868226825,3
1785529373.1750946,2382,1.4596523326732067,1.5266606088742378,3
1785529373.1791182,2384,1.532404862108907,1.5549069099218804,3
1785529373.2411883,2388,1.503217305957239,1.5681340890123932,3
1785529373.2424934,2391,1.5118012658072149,1.5841083691988875,3
1785529373.2537818,2392,1.5246673397693955,1.509981306898936,2
1785529373.2590134,2393,1.5028505320460894,1.5233574111149204,2
1785529373.3054495,2394,1.525189650360928,1.5890206526376314,3
1785529373.3061073,2396,1.5294044841938979,1.529992486482618,2
1785529373.3062327,2397,1.5405114982915897,1.5150512882255345,2
1785529373.3127153,2398,1.5112311421553182,1.5579473134098059,3
1785529373.3190532,2399,1.4736503075974765,1.603496538844159,2
1785529373.3295417,2400,1.4660370876639854,1.6295641820922968,2
1785529373.3825982,2401,1.4371843240239763,1.4937678529904548,2
1785529373.3827999,2402,1.549349735802896,1.5830428762999227,3
1785529373.3841922,2405,1.5056648851474306,1.4957493361395235,2
1785529373.4363916,2407,1.5533131483419296,1.4831827423901964,3
1785529373.4382672,2409,1.4967506249674103,1.5075440113542067,3
1785529373.4383688,2410,1.4629031138053632,1.5307855141979827,2
1785529373.4424033,2411,1.4867562270384629,1.5292089571504894,3
1785529373.486935,2412,1.5039847102800785,1.5397348771619117,3
1785529373.4917517,2416,1.4663593864793463,1.6008832936180621,2
1785529373.5333812,2417,1.5395378548239247,1.5579323324629106,2
1785529373.533453,2419,1.5298843345412605,1.4814308492557164,2
1785529373.5335543,2420,1.477211615236993,1.5360331317324802,3
1785529373.5829022,2423,1.4909026501951868,1.552304199071572,3
1785529373.583027,2424,1.4905116894194201,1.5951002531514509,2
1785529373.5831096,2425,1.5099912750114513,1.4723296624679274,2
1785529373.6268263,2428,1.5230566025657208,1.5415801517629233,3
1785529373.6379874,2431,1.5235637012376722,1.560347636459267,2
1785529373.67103,2433,1.5097050360203434,1.5099597089163053,3
1785529373.67115,2434,1.5239644583711802,1.5798593466532924,2
1785529373.6863158,2435,1.4879487746356024,1.5322180994577732,3
1785529373.7094183,2436,1.5241040315100376,1.5493966212770345,3
1785529373.731602,2438,1.5201496401344106,1.5526861382806654,2
1785529373.7316892,2439,1.416657177803655,1.5989278580596182,2
1785529373.7317696,2440,1.4710539046949012,1.569272781114984,2
1785529373.7901032,2444,1.4871265316909683,1.5340892706059592,2
1785529373.8009868,2447,1.509273440331723,1.546269625176967,3
1785529373.8102589,2448,1.577004766983522,1.4760582656445838,2
1785529373.8131268,2449,1.4842931683522949,1.5288413226120752,2
1785529373.8475177,2450,1.5486843010897793,1.5500992811208802,2
1785529373.847826,2451,1.5086021625119932,1.5501702294485544,3
1785529373.8607776,2453,1.518681053917775,1.549903062630151,3
1785529373.8727398,2454,1.4662066953996138,1.4867153169285245,2
1785529373.9834938,2456,1.4749552645869182,1.5482214146538735,3
1785529373.984723,2457,1.5322817386276155,1.5228728616540614,2
1785529373.9848557,2458,1.4789093477375088,1.5842916645318104,2
1785529373.98498,2460,1.4054076165732277,1.7025993883479826,2
1785529373.985041,2461,1.4860521129114928,1.5415297668929107,2
1785529373.9851034,2462,1.576379195379408,1.5827521031125835,2
1785529373.9851878,2463,1.5109660958857036,1.5341019751105143,3
1785529373.9852908,2464,1.52389481699548,1.4952490214324379,3
1785529373.9853647,2465,1.5202502774830757,1.537733463520288,2
1785529374.0383022,2468,1.5016887304366922,1.518609143354523,3
1785529374.0629802,2470,1.6160905865799926,1.589157711096503,2
1785529374.0630445,2471,1.460890211669787,1.5716588672789609,2
1785529374.0631008,2472,1.6320623564012724,1.4253491484530392,2
1785529374.0631368,2473,1.4729714739395985,1.517519424991908,2
1785529374.0666945,2474,1.5761511591189408,1.5917318483118685,2
1785529374.119428,2475,1.5770957479738037,1.527568150756142,2
1785529374.1195202,2477,1.5239918356237563,1.5933413087025232,2
1785529374.133728,2479,1.5611344567281467,1.5194001240045667,2
1785529374.183054,2483,1.5361861190094876,1.5482116901601528,2
1785529374.183156,2485,1.4721380834534703,1.4693091176541653,2
1785529374.2387524,2489,1.5185022290434522,1.5321988079098965,3
1785529374.251093,2492,1.4890827905807302,1.5866176366108145,2
1785529374.295754,2495,1.5153123798048405,1.534352470845156,3
1785529374.2958384,2496,1.5252398440663684,1.5256718446835091,2
1785529374.29681,2497,1.4679624471199662,1.5202887502412052,2
1785529374.3080578,2498,1.504417900647118,1.537219317297634,3
1785529374.3307576,2500,1.5047240468763121,1.523507247902938,3
1785529374.347733,2502,1.4597445000184457,1.5159334220564842,3
1785529374.3867483,2503,1.4895623219391938,1.5381466566591449,3
1785529374.3868322,2504,1.500152747910337,1.5685326977169096,3
1785529374.3868997,2505,1.4858311404248508,1.494369789503306,2
1785529374.4033008,2507,1.5735385528749155,1.586284524386117,2
1785529374.4390998,2509,1.5353910807005366,1.5589958971003668,3
1785529374.4460135,2511,1.522929426221997,1.552637332028921,2
1785529374.4607024,2513,1.5476879352306525,1.5251461196107463,2
1785529374.4932575,2514,1.4895417591298332,1.4577170365210843,2
1785529374.4938042,2516,1.485485054754358,1.5734154299595475,3
1785529374.5029244,2517,1.5000000000000604,1.4908075686908002,2
1785529374.509448,2518,1.456028527800568,1.5574141711905773,2
1785529374.5623558,2519,1.5064596135954318,1.5515360879888833,3
1785529374.5665207,2522,1.4630748023497435,1.4552937487492124,2
1785529374.5822392,2524,1.5197400545973412,1.5260346741884414,3
1785529374.6213462,2526,1.558104261494417,1.5665968702792765,2
1785529374.6216502,2529,1.4999999999999065,1.528992731986311,2
1785529374.6392937,2530,1.5663663151943408,1.5996511895659165,2
1785529374.680844,2532,1.4740605787776933,1.556356452127368,2
1785529374.6815689,2534,1.4770637659869925,1.5380106708388237,3
1785529374.6816487,2535,1.550698174934937,1.5952986346764935,2
1785529374.7407439,2537,1.545008416982814,1.5167181589945016,2
1785529374.74108,2538,1.5932269066211986,1.594643890541867,2
1785529374.7527525,2539,1.489274753312728,1.5333551062945607,2
1785529374.8668313,2553,1.4943550998542454,1.5063520125792462,2
1785529374.8778522,2555,1.508934762171568,1.585340017135187,2
1785529374.9326093,2556,1.526027439527971,1.5156921081878885,2
