received_at,slot_id,x_m,y_m,observation_count
1785529237.163132,54353,1.4958962032494787,1.599893936584552,2
1785529237.1632955,54354,1.4823033198401239,1.5861077683509581,3
1785529237.1633387,54357,1.4741874787457856,1.5698964114385578,4
1785529237.1634076,54360,1.4743070863747285,1.5449091637303525,5
1785529237.1637242,54361,1.4717557629699705,1.544840192822603,6
1785529237.167273,54362,1.4681568159528378,1.5389394949018098,7
1785529237.1785672,54363,1.4690181628295071,1.533865126962702,8
1785529237.1785672,54364,1.4759866677224007,1.5257995956410868,8
1785529237.1900535,54368,1.4754080553100895,1.5296002748137243,9
1785529237.1901286,54366,1.476127955715824,1.529491092342762,9
1785529237.1901562,54367,1.476175237681961,1.529444061051415,10
1785529237.195142,54371,1.4762177801206642,1.5320480777615184,11
1785529237.231529,54372,1.4761539650393751,1.5387304353569393,11
1785529237.231561,54373,1.4746529579622023,1.5387159345797374,11
1785529237.231764,54374,1.4747542238554758,1.5388042499549517,11
1785529237.231805,54375,1.474725463740694,1.5411223539823855,11
1785529237.2318728,54377,1.46896940493736,1.541163836808056,11
1785529237.2333794,54378,1.4618683827657706,1.5410870339752605,11
1785529237.2334712,54379,1.4632858901793444,1.5398516130969362,11
1785529237.2413678,54384,1.4632555396757578,1.5419989989476701,11
1785529237.2466416,54385,1.4689550044257353,1.542056993180357,11
1785529237.2479782,54386,1.472402079010925,1.545061664944091,11
1785529237.2570648,54388,1.4808172665789723,1.537724689089703,11
1785529237.2910354,54387,1.4807872068269647,1.5397710127059527,11
1785529237.2952032,54392,1.4807483057754192,1.536960215196965,11
1785529237.2954803,54390,1.4861539098312038,1.5369764357118814,11
1785529237.295581,54391,1.4811735580187606,1.5413215086164944,11
1785529237.2956855,54394,1.4826958898422944,1.5413097962574591,12
1785529237.2957091,54395,1.4826336440415113,1.5352453008104732,12
1785529237.2957563,54396,1.4826814888413922,1.5318664593836366,12
1785529237.2957785,54397,1.4791839119807952,1.5318505735124563,12
1785529237.295798,54398,1.4759179351586147,1.5285841579088877,12
1785529237.2958565,54400,1.46556489059764,1.5389381678705991,12
1785529237.2959194,54399,1.4654826482077021,1.5442135887247723,12
1785529237.2973447,54401,1.4646755062086618,1.5442252020409866,12
1785529237.316405,54403,1.4640550139255137,1.544845832864703,12
1785529237.3188262,54405,1.4612352025503232,1.5420255721499612,12
1785529237.3188503,54406,1.462669154085654,1.5420036879324388,12
1785529237.3188677,54407,1.462809607704573,1.5514322468759556,12
1785529237.3435385,54409,1.4578585159530877,1.5513574077725834,12
1785529237.4092326,54410,1.462996880785607,1.5564980927303564,12
1785529237.409717,54411,1.4631120637045671,1.5478175769322444,12
1785529237.409748,54413,1.4666132788411446,1.5477973713653015,12
1785529237.4498465,54415,1.4654719013249913,1.5489393261220576,12
1785529237.453658,54417,1.4648493008089065,1.548316569869793,12
1785529237.454456,54419,1.4647059428696982,1.541239551492295,12
1785529237.454546,54421,1.479435850923019,1.5413982670339377,12
1785529237.454615,54424,1.4849220110717958,1.5359099899420563,12
1785529237.4546444,54422,1.4838629706662094,1.5348505693339918,12
1785529237.454706,54426,1.4860466253098092,1.5348578810594709,12
1785529237.4547288,54427,1.4904748233451353,1.530428325739893,12
1785529237.454785,54431,1.4904766492927242,1.5306045434999718,12
1785529237.454841,54433,1.4788417865914318,1.5305455229918536,12
1785529237.4557595,54432,1.4788474115602155,1.5298333890146518,12
1785529237.455849,54434,1.4745957694012954,1.5255814247314696,12
1785529237.4558902,54438,1.475209203894367,1.5255878430551122,12
1785529237.4559276,54440,1.4751838183691237,1.5229580879762599,12
1785529237.4559612,54444,1.4751293410487636,1.5292856821954248,12
1785529237.45598,54445,1.4745166883486287,1.5292810429994095,12
1785529237.4560206,54448,1.4745166877986133,1.5292810429959358,12
1785529237.4569528,54447,1.4744145914249878,1.5371261125637365,12
1785529237.4636471,54449,1.4677037638489612,1.5372194640186794,12
1785529237.4637964,54450,1.4663943075084822,1.5372117191705137,12
1785529237.4637964,54452,1.4663804417398543,1.5352016448750658,12
1785529237.4643128,54451,1.4622918137401404,1.539290358200805,12
1785529237.4749227,54455,1.4623393880335107,1.5443526090508342,12
1785529237.518129,54456,1.462460663613142,1.5367449727983895,12
1785529237.518228,54458,1.4622838306222241,1.5365681214230966,12
1785529237.5184503,54460,1.4627266974013597,1.5361258683856158,12
1785529237.5188744,54461,1.468025482122528,1.5360624519393384,11
1785529237.5189347,54462,1.4687264546261993,1.5360681651360164,11
1785529237.5189757,54463,1.4763334601513605,1.529431151620089,11
1785529237.5482993,54469,1.4748289502514638,1.5294212080033933,11
1785529237.5728464,54474,1.476333460218417,1.529431151273239,11
1785529237.5745673,54481,1.4857612174404011,1.529467022897605,11
1785529237.6031997,54486,1.4820504082955048,1.5294583461993918,11
1785529237.6256957,54493,1.4830533438830809,1.5294613883060826,11
1785529237.631027,54498,1.4818498129463298,1.5294576758815928,11
1785529237.6820257,54506,1.4755404537125558,1.5109962647075708,7
1785529237.686044,54468,1.477345574096337,1.5220911000695136,7
1785529237.6861598,54505,1.4725646588283527,1.5208491903924524,7
1785529237.6863372,54516,1.4718712754256125,1.51659259006224,7
1785529237.7040098,54517,1.4719940409020948,1.516624674275211,7
1785529237.746983,54518,1.4579084756778962,1.5337539247504703,4
1785529237.7477603,54520,1.4646161130459374,1.5249923082947885,5
1785529237.7478411,54519,1.4643754286727506,1.5411210628216128,6
1785529237.7478673,54521,1.4622237575410875,1.5411560416234842,7
1785529237.7481737,54523,1.4604171321524184,1.5433725119142736,8
1785529237.748242,54522,1.46537466903128,1.5444174348689534,8
1785529237.748268,54528,1.463833143890703,1.5344759814488316,8
1785529237.7483091,54533,1.4586548170278641,1.5335438857661714,8
1785529237.7483506,54531,1.4565081814012901,1.5198013549637834,8
1785529237.7584977,54538,1.4588984973996955,1.520226268275062,9
1785529237.7705643,54540,1.460665680750885,1.5331917224540763,9
1785529237.7707987,54542,1.4653982929084384,1.5394500227071475,9
1785529237.7810454,54543,1.464848388113537,1.535371933187465,9
1785529237.8228512,54549,1.46712171600344,1.5383793670248613,10
1785529237.8234365,54550,1.4681063829712353,1.5383671910304075,10
1785529237.823473,54552,1.4680915723894952,1.5401412928694773,10
1785529237.8256683,54554,1.4639324404946723,1.5346388915563782,10
1785529237.8257205,54557,1.4697438751249694,1.5345649974421782,10
1785529237.8257554,54555,1.4697296735249403,1.5366934825009828,10
1785529237.8318818,54562,1.4658826282698214,1.536739930463901,10
1785529237.8369257,54563,1.4658623243081705,1.5346130301865604,11
1785529237.8399668,54564,1.4659589506497177,1.5236156378604955,11
1785529237.8476968,54566,1.468967334793836,1.5270422158230514,11
1785529237.8773813,54567,1.4688833364190357,1.536302391066631,11
1785529237.8931851,54568,1.469591096836459,1.5354959575858047,11
1785529237.900651,54569,1.4714691216895228,1.5354738659223577,11
1785529237.9011164,54571,1.4720880472540072,1.5347683604163116,11
1785529237.9011912,54573,1.468996368222292,1.5312444713675848,11
1785529237.9012206,54575,1.469013803589042,1.5331383404009358,11
1785529237.9012675,54576,1.4689478799997466,1.5391424447085584,11
1785529237.902738,54578,1.470801676337936,1.5412557902922266,11
1785529237.9028556,54580,1.4631972035471712,1.549921635241933,11
1785529237.9028916,54579,1.4632834028631574,1.54319571238984,11
1785529237.9029467,54584,1.4632721522981476,1.5423803191725856,12
1785529237.9029744,54582,1.4556909567724665,1.5422722780522322,12
1785529237.9056537,54583,1.456144791832538,1.5389613268014717,11
1785529237.9603403,54587,1.4561663313164337,1.5400065290729898,11
1785529237.961094,54588,1.4561685721286242,1.5398271893202127,11
1785529237.9611244,54590,1.4532340198628266,1.537249077068484,11
