received_at,slot_id,x_m,y_m,observation_count
1785529454.2336147,3292,1.4989393487844869,1.4876255268315182,2
1785529454.2542903,3293,1.4894052130898279,1.4876594129489664,3
1785529454.2672555,3294,1.4894131446713814,1.4876594689705165,4
1785529454.2685332,3295,1.4888582872984018,1.4887673568182513,5
1785529454.2685723,3298,1.4941696460582836,1.4905102992207218,6
1785529454.2686305,3299,1.4941511577896684,1.4903986859140117,7
1785529454.2723944,3302,1.502763664005658,1.5024546085159174,7
1785529454.2735271,3304,1.4953777054790791,1.5147678429023688,7
1785529454.2940774,3305,1.4934066429505786,1.514285341030107,7
1785529454.3104937,3303,1.4930687062091836,1.512198749325533,8
1785529454.3118865,3307,1.4903408616305376,1.5156145427124013,8
1785529454.3119612,3309,1.4873731172296438,1.512147479286593,9
1785529454.3121731,3311,1.4873634157707607,1.507922751913652,9
1785529454.3122053,3312,1.4873639533323464,1.5075932828378433,10
1785529454.3122373,3313,1.4941375842065896,1.5075993191351285,11
1785529454.3126621,3315,1.4941152806870452,1.5110386821080313,11
1785529454.318164,3317,1.5044058862867342,1.5110068636332055,11
1785529454.3526165,3319,1.5166225303696048,1.4970341475254414,11
1785529454.3527071,3325,1.5121986418163322,1.4970643432955328,11
1785529454.3527586,3326,1.5085771882389776,1.4929211963745395,11
1785529454.3551285,3327,1.5085764720279393,1.4924171535128048,11
1785529454.374832,3331,1.4957590556557037,1.5070684959823168,11
1785529454.392319,3336,1.4957606208169858,1.5057539699650833,11
1785529454.4184575,3337,1.4973485556075434,1.5057570445532587,11
1785529454.4835942,3339,1.5045884782505747,1.4926318366045794,8
1785529454.4962955,3343,1.51057140154532,1.487499061474512,8
1785529454.4964905,3349,1.5136612640107163,1.4869678617175637,8
1785529454.4965813,3352,1.5083784016262352,1.4915020534017203,9
1785529454.4966156,3351,1.5083531484074357,1.484848269340767,9
1785529454.496639,3355,1.5092958705440707,1.4840395057022968,9
1785529454.4967062,3361,1.50917739549687,1.4840399052017779,9
1785529454.49707,3363,1.509206459247394,1.494623178341187,9
1785529454.5034366,3372,1.509182370952964,1.5019810405149225,9
1785529454.5529726,3373,1.4866968173006556,1.5101197425924102,5
1785529454.5546257,3374,1.4901682066216708,1.5130012558607082,6
1785529454.5546875,3379,1.4973214260421077,1.5076630105232716,6
1785529454.5547335,3380,1.4933061819198679,1.4912690435009,7
1785529454.5584157,3388,1.4908372361845588,1.4927580716375095,7
1785529454.596571,3391,1.4750802102216163,1.502250678268286,7
1785529454.5966942,3392,1.4780803642337434,1.514397265750222,7
1785529454.5967464,3400,1.4864119127938402,1.5094160759885218,7
1785529454.6102798,3404,1.4868456602983187,1.511127785601464,7
1785529454.6104376,3403,1.4859206912534209,1.5116807768575802,7
1785529454.6324193,3406,1.4866527531352356,1.511799855390797,8
1785529454.645278,3407,1.4849170279995878,1.5031494444881992,9
1785529454.6453614,3412,1.4880446149772202,1.5010601753419925,9
1785529454.6454496,3413,1.4882756063821736,1.501092507337381,10
1785529454.6462374,3416,1.4893542673292823,1.5075840277983639,10
1785529454.646291,3414,1.4899732521349334,1.5076737224832044,11
1785529454.6464946,3415,1.4993545250963007,1.4982925194466523,11
1785529454.654096,3417,1.5025613130544677,1.5014992746761677,12
1785529454.7015095,3419,1.5025673236133053,1.4965624411735534,11
1785529454.7030032,3422,1.501507861165272,1.4953516790274717,11
1785529454.7031,3424,1.4992070170348655,1.497980739081815,11
1785529454.7031264,3423,1.499187330709581,1.489392038776704,12
1785529454.703152,3428,1.499218748613349,1.4821458654652313,12
1785529454.703173,3426,1.5000189352805078,1.4821452174685963,12
1785529454.7032173,3427,1.4970106543064832,1.4851537650612388,12
1785529454.7032576,3430,1.4999129273132548,1.4851505833989345,12
1785529454.7032745,3431,1.4999031090305195,1.4874486780929925,12
1785529454.7145848,3434,1.4966375690175173,1.4751313673201405,11
1785529454.7183998,3436,1.49672578683877,1.4750302193941878,11
1785529454.7184367,3435,1.4967966758987188,1.4825169140545111,11
1785529454.7415192,3438,1.496618876629586,1.482516565238731,11
1785529454.7537382,3439,1.5048800137379157,1.4822176817678083,10
1785529454.753922,3440,1.504845977481838,1.4892971514403768,10
1785529454.7539642,3444,1.5048418856166585,1.488424527688055,11
1785529454.754037,3445,1.5011265262984188,1.4884232332192724,12
1785529454.754069,3447,1.5011193997727852,1.4872745777654715,12
1785529454.7593172,3449,1.5025275789325105,1.4872790515847818,12
1785529454.7722716,3450,1.5002198166320544,1.4872727471102491,12
1785529454.78924,3451,1.5011885619718386,1.4863039161157376,12
1785529454.8157754,3452,1.5012365991028855,1.4756924491169185,12
1785529454.8158967,3456,1.5012580533715985,1.4786966507797994,12
