initiator_id,responder_id,count,mean_cm,std_cm,p95_abs_cm
2,3,464,0.14051724137931032,3.547206571642694,6.800000000000001
2,4,506,-0.03577075098814228,3.762772979316647,7.25
2,5,531,-0.2749529190207156,3.5857361218465376,7.1
3,2,564,-0.300177304964539,3.5269754633075547,6.885000000000003
3,4,347,-1.0426512968299713,3.5111007944032733,7.0699999999999985
3,5,372,0.08064516129032259,3.865264710308751,7.434999999999997
4,2,286,-0.005594405594405603,3.537979921670561,6.3
4,3,530,0.9237735849056604,3.641075386138399,7.70999999999999
4,5,318,0.3757861635220126,4.07120516863344,8.1
5,2,304,-0.6263157894736843,3.658179258962984,7.254999999999989
5,3,300,0.2853333333333334,4.094908930944781,8.6
5,4,397,-0.6430730478589421,3.9830744973853105,7.8199999999999985
