received_at,frame_id,x_m,y_m,observation_count
1785529454.2542903,1097,1.4698870713913046,1.4585701462070462,2
1785529454.2685332,1098,1.4894231701676444,1.4915445330719832,2
1785529454.2686305,1099,1.5191549752579232,1.4901634573613227,2
1785529454.3104937,1101,1.459002974080164,1.5042223578300218,3
1785529454.3121731,1103,1.5202679246854718,1.4648803022667798,2
1785529454.3122373,1104,1.5418031765689686,1.5057362032303334,2
1785529454.318164,1105,1.540625852414071,1.5286711626260585,2
1785529454.3527586,1108,1.5063445461639888,1.4908269888742354,2
1785529454.4184575,1112,1.5190696381031337,1.4964419186292113,2
1785529454.4966156,1117,1.4395958536757358,1.4445492907365258,2
1785529454.5546257,1124,1.4473659223851099,1.5536582164611474,3
1785529454.5547335,1126,1.4490140456498595,1.4114968912450452,2
1785529454.5966942,1130,1.448799330872906,1.483456397153022,2
1785529454.6104376,1134,1.4546424146342978,1.4935390896884138,2
1785529454.645278,1135,1.489223893381887,1.452447390438952,2
1785529454.6454496,1137,1.489213692632279,1.4496074784593287,2
1785529454.6464946,1138,1.5207949048424347,1.5116031009410453,3
1785529454.7015095,1139,1.587255468355708,1.436108654308919,2
1785529454.7031264,1141,1.451630936749248,1.4304013382132559,2
1785529454.7032173,1142,1.4974333019799901,1.4828014871176514,3
1785529454.7032745,1143,1.5129297594603661,1.452821765287917,2
1785529454.7184367,1145,1.5035139080952444,1.4815933277633058,2
1785529454.753922,1146,1.5138361651854062,1.5147302328737247,3
1785529454.754037,1148,1.475394654650768,1.4824664199886353,2
1785529454.7593172,1149,1.500713635871971,1.4724151109881554,2
1785529454.8157754,1150,1.475992685902141,1.4492872956909955,3
1785529454.815922,1152,1.4929139001006964,1.5063489290727303,2
1785529454.8213348,1155,1.5306103187398172,1.450998432308083,2
1785529454.82991,1156,1.5112530821448211,1.4752425174416788,3
1785529454.839055,1157,1.5320693404510313,1.5426792340763802,2
1785529454.8784845,1158,1.5379233858007608,1.4792325632000558,2
1785529454.8807228,1160,1.5224727383412417,1.5206607826265701,2
1785529454.8807962,1161,1.5847154900291005,1.5443731007777308,2
1785529454.8895125,1162,1.525948279073701,1.4809919808751897,3
1785529454.9295516,1163,1.5021034509396982,1.5254389575064156,2
1785529454.9296458,1165,1.5181468910813825,1.5391301596374924,2
1785529454.978035,1169,1.5229562592633612,1.549126761974594,2
1785529454.9803638,1170,1.5291148225463354,1.4873948908008952,2
1785529454.9845588,1171,1.4765672939511894,1.5354403123225857,3
1785529454.9898686,1172,1.4936350296059624,1.5014132044211639,3
1785529455.0407765,1173,1.4948021099191904,1.471646147379764,3
1785529455.0414433,1174,1.476430775837622,1.440354457408924,2
1785529455.0415778,1176,1.5071247501559053,1.4773181328342515,2
1785529455.041653,1177,1.4879375551412224,1.4629787761870257,3
1785529455.0952635,1179,1.5141880586869214,1.4842037596594897,3
1785529455.09567,1180,1.5548332160086191,1.4437516013075746,2
1785529455.0958083,1181,1.508250724092287,1.4931677447230491,3
1785529455.0960586,1182,1.4685547284898666,1.4643110256218315,2
1785529455.1121488,1184,1.499436700742935,1.4917903309009584,3
1785529455.1505468,1185,1.4851012483034145,1.4900511655503756,2
1785529455.1506686,1186,1.46159958530556,1.407564401864334,2
1785529455.1507273,1188,1.5099417786284979,1.512770286808263,2
