capture_id,protocol,motion,source_file,source_bytes,source_sha256,archive_file,archive_bytes,archive_sha256,compression,reused_verified_sibling_archive,roundtrip_sha256_matches
flextdoa_final_dynamic_20260812,flextdoa,dynamic,D:\Documente\UWB_ESP_IDF\reports\uwb_final_report_input_20260812\flextdoa_final_dynamic_20260812.flextdoa.jsonl,49860601,eca9743193b10b1e2578805f46253c30313b9bb6c63ec355108cae91509098e0,data/flextdoa_final_dynamic_20260812.flextdoa.jsonl.xz,2135684,433f319488f5175fbd4413a5ef3315801ea429f600483cab7d85b0cbf23c7d07,XZ/LZMA2 preset 3 (lossless),False,True
flextdoa_static_final_01,flextdoa,static,D:\Documente\UWB_ESP_IDF\reports\uwb_final_report_input_20260812\flextdoa_final_static_20260812.flextdoa.jsonl,18161940,c7447963ac268acccace07d3bae3cd458111c50b15a1c3f168ed427913c2dc0e,data/flextdoa_final_static_20260812.flextdoa.jsonl.xz,762668,1c77a29c7be377daaef1c6e594dfa021290b7c95502bfcb6a6f103dac6cdcbf0,XZ/LZMA2 preset 3 (lossless),False,True
native_ds_final_dynamic_20260812,native_ds,dynamic,D:\Documente\UWB_ESP_IDF\reports\uwb_final_report_input_20260812\native_ds_final_dynamic_20260812.native_ds.jsonl,18285602,6977361c4b1aa6032701d633f46b3dffa5488d39c0856ee63d0076930d32feed,data/native_ds_final_dynamic_20260812.native_ds.jsonl.xz,885484,5984b60a9b41be5010ccee9fba5335f8f1956b5c1c0b00ca0df5c5cd3629f33a,XZ/LZMA2 preset 3 (lossless),False,True
native_ds_static_final_02_rtk_fixed,native_ds,static,D:\Documente\UWB_ESP_IDF\reports\uwb_final_report_input_20260812\native_ds_final_static_rtkfixed_20260812.native_ds.jsonl,4860516,f77f1cd2d3cabf111ab5ff56b653a21e3376f1696d4a8e94dc1e3d9035491231,data/native_ds_final_static_rtkfixed_20260812.native_ds.jsonl.xz,220628,7720d324a5c2a88c90133ea5a169042554db8f1d79f8f74a5449edee377ac67b,XZ/LZMA2 preset 3 (lossless),False,True
passive_ds_final_dynamic_20260812,passive_ds,dynamic,D:\Documente\UWB_ESP_IDF\reports\uwb_final_report_input_20260812\passive_ds_final_dynamic_20260812.passive_ds.jsonl,59053779,b7abdbdb9a301fffedf4bda4099e3ca91747de30b6cb9f19e92eefee704d2213,data/passive_ds_final_dynamic_20260812.passive_ds.jsonl.xz,2123848,2ca8d639db605deecce173300397929d88bf8122998dc0e0ae4e5633cc704ff9,XZ/LZMA2 preset 3 (lossless),False,True
passive_ds_static_final_01,passive_ds,static,D:\Documente\UWB_ESP_IDF\reports\uwb_final_report_input_20260812\passive_ds_final_static_20260812.passive_ds.jsonl,16264351,c4001db91fbf6bae241b7ab0741dfdf97b661d14adbefdca720fc16ff7a9b35f,data/passive_ds_final_static_20260812.passive_ds.jsonl.xz,530720,a4a4a3914fccd15c9a3884729eb90b712c9e4531959d6f0a82103d511d0d0c7d,XZ/LZMA2 preset 3 (lossless),False,True
