block,frame_key,received_at,x_m,y_m,error_m,profile,phase,comparison_eligible
ds_1,60014,1785085605.6824217,1.519961277777778,1.503359111111111,0.02024194254458806,s15_g04_t08_r02_f02,baseline,1
ds_1,60018,1785085605.7474139,1.5525248888888887,1.481957388888889,0.055537372718709795,s15_g04_t08_r02_f02,baseline,1
ds_1,60022,1785085605.8118615,1.5256991111111111,1.5004349444444443,0.02570279145483984,s15_g04_t08_r02_f02,baseline,1
ds_1,60026,1785085605.8684883,1.5100137777777782,1.484749611111111,0.018244180075987975,s15_g04_t08_r02_f02,baseline,1
ds_1,60030,1785085605.9407482,1.5110802777777779,1.5002127777777778,0.011082320606056935,s15_g04_t08_r02_f02,baseline,1
ds_1,60034,1785085606.0036092,1.520688166666667,1.4896206666666665,0.02314585925111094,s15_g04_t08_r02_f02,baseline,1
ds_1,60038,1785085606.071709,1.5254027222222224,1.4855368888888885,0.029231487805305933,s15_g04_t08_r02_f02,baseline,1
ds_1,60042,1785085606.130277,1.5370836111111108,1.5066756111111113,0.037679676176247755,s15_g04_t08_r02_f02,baseline,1
ds_1,60046,1785085606.1875992,1.5296377777777777,1.4756424444444443,0.03836259094804358,s15_g04_t08_r02_f02,baseline,1
ds_1,60050,1785085606.2632928,1.546658166666667,1.4991973333333326,0.04666507034680495,s15_g04_t08_r02_f02,baseline,1
ds_1,60054,1785085606.3273666,1.5029444444444438,1.4752424444444447,0.02493203381541146,s15_g04_t08_r02_f02,baseline,1
ds_1,60058,1785085606.3947527,1.5351233333333338,1.4955773333333326,0.03540068537315246,s15_g04_t08_r02_f02,baseline,1
ds_1,60062,1785085606.4520338,1.5404705555555558,1.4993640555555547,0.04047555178514245,s15_g04_t08_r02_f02,baseline,1
ds_1,60066,1785085606.5097926,1.50822,1.4987884999999996,0.00830879848413711,s15_g04_t08_r02_f02,baseline,1
ds_1,60070,1785085606.5846958,1.5286776666666666,1.4779276666666665,0.03618834707778492,s15_g04_t08_r02_f02,baseline,1
ds_1,60074,1785085606.6446679,1.5401969444444445,1.482750777777778,0.04374162788398895,s15_g04_t08_r02_f02,baseline,1
ds_1,60078,1785085606.7130032,1.5309141666666668,1.4946808333333332,0.03136844329453139,s15_g04_t08_r02_f02,baseline,1
ds_1,60082,1785085606.7728198,1.521571555555556,1.506385055555555,0.022496687390235078,s15_g04_t08_r02_f02,baseline,1
ds_1,60086,1785085606.8334107,1.5299800000000003,1.4789266666666665,0.03664540595733393,s15_g04_t08_r02_f02,baseline,1
ds_1,60090,1785085606.9042792,1.5216448333333337,1.500750333333333,0.021657834844205984,s15_g04_t08_r02_f02,baseline,1
ds_1,60094,1785085606.9762793,1.512653111111111,1.492213111111111,0.014857215733710804,s15_g04_t08_r02_f02,baseline,1
ds_1,60098,1785085607.0383825,1.5211613333333331,1.4671166666666666,0.03910390823889027,s15_g04_t08_r02_f02,baseline,1
ds_1,60106,1785085607.1506433,1.5322092222222223,1.4958592222222225,0.032474298095038746,s15_g04_t08_r02_f02,baseline,1
ds_1,60110,1785085607.2263975,1.5197816666666664,1.505268333333334,0.02047119127511192,s15_g04_t08_r02_f02,baseline,1
ds_1,60114,1785085607.2882538,1.5016680555555564,1.4833888888888882,0.016694652487611844,s15_g04_t08_r02_f02,baseline,1
ds_1,60118,1785085607.3568647,1.5297404444444447,1.4692472777777772,0.04278111686048293,s15_g04_t08_r02_f02,baseline,1
ds_1,60122,1785085607.4179385,1.521401,1.4975034999999999,0.021546120607896003,s15_g04_t08_r02_f02,baseline,1
ds_1,60126,1785085607.4740274,1.5344250555555554,1.5004205555555552,0.03442762432957559,s15_g04_t08_r02_f02,baseline,1
ds_1,60130,1785085607.5472279,1.5422481666666663,1.486205,0.04444333033982056,s15_g04_t08_r02_f02,baseline,1
ds_1,60134,1785085607.612592,1.5333217222222222,1.4985697222222223,0.033352404206841525,s15_g04_t08_r02_f02,baseline,1
ds_1,60138,1785085607.6764388,1.5271896666666667,1.4945271666666664,0.027734993746869527,s15_g04_t08_r02_f02,baseline,1
ds_1,60142,1785085607.7384517,1.5220416666666667,1.4810123333333327,0.029092379670438026,s15_g04_t08_r02_f02,baseline,1
ds_1,60146,1785085607.7959852,1.516659555555555,1.477383555555556,0.02808993326117478,s15_g04_t08_r02_f02,baseline,1
ds_1,60150,1785085607.87097,1.5277251666666662,1.4957958333333337,0.02804210912280903,s15_g04_t08_r02_f02,baseline,1
ds_1,60154,1785085607.9335914,1.5444467777777773,1.4795806111111112,0.04891285615687141,s15_g04_t08_r02_f02,baseline,1
ds_1,60158,1785085608.001072,1.5515765000000004,1.5091456666666665,0.05238108982283408,s15_g04_t08_r02_f02,baseline,1
ds_1,60162,1785085608.0589263,1.5221568333333335,1.4952886666666665,0.022652194709098246,s15_g04_t08_r02_f02,baseline,1
ds_1,60166,1785085608.1212912,1.5296929999999997,1.4994670000000003,0.029697783385296363,s15_g04_t08_r02_f02,baseline,1
ds_1,60170,1785085608.193372,1.5145447777777776,1.5029341111111114,0.014837775056162612,s15_g04_t08_r02_f02,baseline,1
ds_1,60174,1785085608.2575953,1.5306579444444444,1.4952227777777778,0.031027913396152355,s15_g04_t08_r02_f02,baseline,1
ds_1,60178,1785085608.31899,1.5374060555555553,1.4692560555555554,0.048419036671833816,s15_g04_t08_r02_f02,baseline,1
ds_1,60182,1785085608.3836155,1.5427640000000002,1.5064473333333332,0.0432472866560566,s15_g04_t08_r02_f02,baseline,1
ds_1,60186,1785085608.4463086,1.5400454444444445,1.496094944444444,0.04023539585545378,s15_g04_t08_r02_f02,baseline,1
ds_1,60190,1785085608.5167642,1.5150091666666663,1.5106571666666673,0.018407886499782932,s15_g04_t08_r02_f02,baseline,1
ds_1,60194,1785085608.57668,1.5250186666666667,1.4696906666666663,0.039301264214894126,s15_g04_t08_r02_f02,baseline,1
ds_1,60198,1785085608.6452093,1.538378388888889,1.480218388888889,0.04317653149406544,s15_g04_t08_r02_f02,baseline,1
ds_1,60202,1785085608.7055497,1.517436277777778,1.4846687777777776,0.023217884433578286,s15_g04_t08_r02_f02,baseline,1
ds_1,60206,1785085608.7635243,1.5423110555555555,1.5053955555555554,0.04265369200876269,s15_g04_t08_r02_f02,baseline,1
ds_1,60214,1785085608.8975878,1.5187237777777776,1.4660299444444445,0.03878845870512422,s15_g04_t08_r02_f02,baseline,1
ds_1,60218,1785085608.9693286,1.5194063333333332,1.4961956666666665,0.019775710494329943,s15_g04_t08_r02_f02,baseline,1
ds_1,60222,1785085609.0283742,1.535674611111111,1.4788906111111115,0.041452191464280086,s15_g04_t08_r02_f02,baseline,1
ds_1,60226,1785085609.0782485,1.5169080555555556,1.489244055555556,0.02003927851899171,s15_g04_t08_r02_f02,baseline,1
ds_1,60230,1785085609.1692393,1.5395229444444445,1.4989416111111113,0.03953711325575968,s15_g04_t08_r02_f02,baseline,1
ds_1,60234,1785085609.228154,1.5136494999999999,1.4867196666666669,0.019044056912707313,s15_g04_t08_r02_f02,baseline,1
ds_1,60238,1785085609.2876644,1.5347953333333335,1.4942139999999997,0.03527312032947742,s15_g04_t08_r02_f02,baseline,1
ds_1,60242,1785085609.3572261,1.5177068888888887,1.4863383888888888,0.022364559738002613,s15_g04_t08_r02_f02,baseline,1
ds_1,60246,1785085609.4114199,1.535510611111111,1.4829266111111112,0.03940182876004347,s15_g04_t08_r02_f02,baseline,1
ds_1,60250,1785085609.4832482,1.531514388888889,1.4887098888888888,0.03347571232911052,s15_g04_t08_r02_f02,baseline,1
ds_1,60254,1785085609.5400176,1.527084111111111,1.4982574444444448,0.027140110068737885,s15_g04_t08_r02_f02,baseline,1
