capture_id,protocol,motion,alignment_index,geometry_time,snapshot_time,geometry_version,dynamic,all_rtk_fixed,source_geometry_fit_rms_m,anchor_ids,reflected,scale,yaw_deg,translation_east_m,translation_north_m,fit_rmse_m,fit_p95_m,fit_max_m
flextdoa_final_dynamic_20260813,flextdoa,dynamic,0,1786642673.607153,1786642674.4476101,104,False,False,0.0,"2,3,4,5",True,1.0,123.99029432950624,-0.8714442287347024,-4.997963137030659,0.4105392102617656,0.5593220043085785,0.5884403817546693
flextdoa_final_dynamic_20260813,flextdoa,dynamic,1,1786642674.6442018,1786642675.0648549,104,False,False,0.0,"2,3,4,5",True,1.0,123.99029432950624,-0.8714442287347024,-4.997963137030659,0.4105392102617656,0.5593220043085785,0.5884403817546693
flextdoa_final_dynamic_20260813,flextdoa,dynamic,2,1786642675.688854,1786642675.984326,104,False,False,0.0,"2,3,4,5",True,1.0,123.99029432950624,-0.8714442287347024,-4.997963137030659,0.4105392102617656,0.5593220043085785,0.5884403817546693
flextdoa_final_dynamic_20260813,flextdoa,dynamic,3,1786642676.7198145,1786642677.5251083,104,False,False,0.0,"2,3,4,5",True,1.0,123.99029432950624,-0.8714442287347024,-4.997963137030659,0.4105392102617656,0.5593220043085785,0.5884403817546693
flextdoa_final_dynamic_20260813,flextdoa,dynamic,4,1786642677.7369542,1786642678.0675359,104,False,False,0.0,"2,3,4,5",True,1.0,123.99029432950624,-0.8714442287347024,-4.997963137030659,0.4105392102617656,0.5593220043085785,0.5884403817546693
flextdoa_final_dynamic_20260813,flextdoa,dynamic,5,1786642678.786803,1786642679.25705,104,False,False,0.0,"2,3,4,5",True,1.0,123.99029432950624,-0.8714442287347024,-4.997963137030659,0.4105392102617656,0.5593220043085785,0.5884403817546693
flextdoa_final_dynamic_20260813,flextdoa,dynamic,6,1786642680.7985504,1786642681.1074936,104,False,False,0.0,"2,3,4,5",True,1.0,123.99029432950624,-0.8714442287347024,-4.997963137030659,0.4105392102617656,0.5593220043085785,0.5884403817546693
flextdoa_final_dynamic_20260813,flextdoa,dynamic,7,1786642681.8315234,1786642682.5738134,104,False,False,0.0,"2,3,4,5",True,1.0,123.99029432950624,-0.8714442287347024,-4.997963137030659,0.4105392102617656,0.5593220043085785,0.5884403817546693
flextdoa_final_dynamic_20260813,flextdoa,dynamic,8,1786642682.8387704,1786642683.1865249,104,False,False,0.0,"2,3,4,5",True,1.0,123.99029432950624,-0.8714442287347024,-4.997963137030659,0.4105392102617656,0.5593220043085785,0.5884403817546693
flextdoa_final_dynamic_20260813,flextdoa,dynamic,9,1786642683.8841121,1786642684.1883945,104,False,False,0.0,"2,3,4,5",True,1.0,123.99029432950624,-0.8714442287347024,-4.997963137030659,0.4105392102617656,0.5593220043085785,0.5884403817546693
