block,pairs,rtk_vs_uwb_pair_rmse_m,rtk_vs_uwb_pair_max_m
01-flextdoa-1,6,1.0683237777505485,2.232091967158106
02-ds_twr-1,6,0.8475285949174639,1.7574867110760013
03-passive_ds-1,6,0.07102359386640808,0.13698909843862062
