method,received_at,east_m,north_m,error_to_rtk_m
FlexTDOA,1785765675.129382,0.348072,3.277899,0.156902
FlexTDOA,1785765675.250761,0.307036,3.206610,0.235848
FlexTDOA,1785765675.256954,0.528713,3.573990,0.209037
FlexTDOA,1785765675.292761,0.470780,3.277039,0.182684
FlexTDOA,1785765675.292860,0.412757,3.441048,0.038870
FlexTDOA,1785765675.311354,0.400774,3.416198,0.030634
FlexTDOA,1785765675.358720,0.238614,3.294864,0.193653
FlexTDOA,1785765675.395906,0.389949,3.394111,0.041257
FlexTDOA,1785765675.442735,0.343145,3.449663,0.036042
FlexTDOA,1785765675.442883,0.239974,3.348374,0.158952
FlexTDOA,1785765675.655871,0.282668,3.475097,0.101537
FlexTDOA,1785765675.655922,0.337338,3.336778,0.102808
FlexTDOA,1785765675.655967,0.262962,3.393486,0.118484
FlexTDOA,1785765675.702096,0.387041,3.184393,0.248408
FlexTDOA,1785765675.751073,0.399755,3.373515,0.064033
FlexTDOA,1785765675.751693,0.387666,3.330465,0.102839
FlexTDOA,1785765675.799419,0.359964,3.320914,0.112575
FlexTDOA,1785765675.941931,0.415042,3.474527,0.058159
FlexTDOA,1785765676.037330,0.303419,3.512038,0.106896
FlexTDOA,1785765676.093422,0.437627,3.420058,0.064010
FlexTDOA,1785765676.200570,0.246365,3.472798,0.134644
FlexTDOA,1785765676.202914,0.360239,3.292062,0.141197
FlexTDOA,1785765676.294473,0.379431,3.642524,0.210073
FlexTDOA,1785765676.503092,0.323284,3.480524,0.070456
FlexTDOA,1785765676.503270,0.377433,3.298219,0.134308
FlexTDOA,1785765676.504319,0.448844,3.406435,0.078462
FlexTDOA,1785765676.504655,0.357298,3.380846,0.054553
FlexTDOA,1785765676.504709,0.329701,3.503227,0.083902
FlexTDOA,1785765676.531772,0.323062,3.370785,0.080559
FlexTDOA,1785765676.588601,0.415612,3.408007,0.047565
FlexTDOA,1785765676.629171,0.247010,3.428631,0.127887
FlexTDOA,1785765676.681382,0.309779,3.323317,0.127098
FlexTDOA,1785765676.681982,0.409685,3.311232,0.126177
FlexTDOA,1785765676.738042,0.405088,3.428835,0.030471
FlexTDOA,1785765676.743055,0.366088,3.216251,0.216427
FlexTDOA,1785765676.824459,0.328017,3.462311,0.055506
FlexTDOA,1785765677.047481,0.363928,3.450241,0.020826
FlexTDOA,1785765677.048617,0.273226,3.222908,0.232926
FlexTDOA,1785765677.115526,0.290138,3.311633,0.147592
FlexTDOA,1785765677.178372,0.386367,3.361606,0.071826
FlexTDOA,1785765677.178616,0.449293,3.263174,0.184974
FlexTDOA,1785765677.242303,0.313699,3.288368,0.156565
FlexTDOA,1785765677.303496,0.395958,3.425545,0.022236
FlexTDOA,1785765677.303556,0.330334,3.293383,0.146064
FlexTDOA,1785765677.363980,0.375432,3.355939,0.076565
FlexTDOA,1785765677.394246,0.381340,3.348550,0.084202
FlexTDOA,1785765677.395450,0.281035,3.299823,0.162489
FlexTDOA,1785765677.448057,0.398996,3.439884,0.025260
FlexTDOA,1785765677.466301,0.404263,3.437148,0.029789
FlexTDOA,1785765677.466301,0.411044,3.278061,0.158628
FlexTDOA,1785765677.518284,0.375364,3.365921,0.066582
FlexTDOA,1785765677.593735,0.471975,3.295952,0.167575
FlexTDOA,1785765677.593782,0.350487,3.578610,0.148124
FlexTDOA,1785765677.647723,0.308797,3.526218,0.114649
FlexTDOA,1785765677.647798,0.320932,3.286559,0.155580
FlexTDOA,1785765677.756977,0.431863,3.458774,0.062785
FlexTDOA,1785765677.758831,0.291786,3.269538,0.182907
FlexTDOA,1785765677.812385,0.246996,3.485550,0.138412
FlexTDOA,1785765677.813244,0.275121,3.396300,0.106086
FlexTDOA,1785765677.927557,0.313542,3.432896,0.061298
FlexTDOA,1785765677.927864,0.419272,3.333214,0.108777
FlexTDOA,1785765677.927909,0.424995,3.250499,0.188787
FlexTDOA,1785765677.984237,0.370832,3.405613,0.027185
FlexTDOA,1785765677.997626,0.434642,3.254239,0.188027
FlexTDOA,1785765678.104323,0.463428,3.520065,0.124561
FlexTDOA,1785765678.116894,0.296565,3.298062,0.155566
FlexTDOA,1785765678.165113,0.424042,3.263085,0.176417
FlexTDOA,1785765678.260645,0.309004,3.402059,0.072532
FlexTDOA,1785765678.262018,0.331032,3.372571,0.074234
FlexTDOA,1785765678.262075,0.391201,3.444870,0.020512
FlexTDOA,1785765678.262145,0.342000,3.345849,0.092666
FlexTDOA,1785765678.548248,0.342048,3.487847,0.064330
FlexTDOA,1785765678.548467,0.408629,3.433308,0.033800
FlexTDOA,1785765678.702091,0.335331,3.277544,0.159914
FlexTDOA,1785765678.702737,0.364781,3.301342,0.131545
FlexTDOA,1785765678.750164,0.381082,3.400431,0.032672
FlexTDOA,1785765678.960267,0.441293,3.340094,0.113821
FlexTDOA,1785765679.052330,0.490617,3.227564,0.235381
FlexTDOA,1785765679.101988,0.322774,3.386675,0.069359
FlexTDOA,1785765679.104163,0.335476,3.214915,0.221118
FlexTDOA,1785765679.188733,0.310073,3.399034,0.072902
FlexTDOA,1785765679.252903,0.381991,3.311184,0.121528
FlexTDOA,1785765679.406271,0.390696,3.418857,0.020920
FlexTDOA,1785765679.406325,0.409804,3.353673,0.086235
FlexTDOA,1785765679.463391,0.411830,3.396052,0.051932
FlexTDOA,1785765679.559565,0.255554,3.316702,0.166248
FlexTDOA,1785765679.625843,0.427073,3.409269,0.057168
FlexTDOA,1785765679.626293,0.231283,3.252129,0.230527
FlexTDOA,1785765679.743556,0.256350,3.302566,0.175849
FlexTDOA,1785765679.743556,0.315453,3.440227,0.059886
FlexTDOA,1785765679.743556,0.322708,3.327253,0.117451
FlexTDOA,1785765679.743556,0.343138,3.328974,0.108272
FlexTDOA,1785765679.743556,0.365663,3.226095,0.206610
FlexTDOA,1785765679.743556,0.423182,3.568832,0.144648
FlexTDOA,1785765679.795865,0.265154,3.214235,0.244276
FlexTDOA,1785765679.798785,0.261028,3.265653,0.201969
FlexTDOA,1785765679.949603,0.399913,3.401085,0.040196
FlexTDOA,1785765680.050514,0.300105,3.424983,0.075111
FlexTDOA,1785765680.156381,0.312873,3.363991,0.092376
FlexTDOA,1785765680.214945,0.465542,3.405553,0.094622
FlexTDOA,1785765680.215012,0.388427,3.311048,0.122212
FlexTDOA,1785765680.273781,0.431390,3.232470,0.207872
FlexTDOA,1785765680.273826,0.316458,3.334216,0.114317
FlexTDOA,1785765680.274153,0.387856,3.229752,0.203167
FlexTDOA,1785765680.274477,0.337585,3.483232,0.062940
FlexTDOA,1785765680.323661,0.274998,3.373616,0.115913
FlexTDOA,1785765680.323754,0.415931,3.391979,0.057712
FlexTDOA,1785765680.324491,0.286223,3.510677,0.118170
FlexTDOA,1785765680.370971,0.350986,3.370511,0.066421
FlexTDOA,1785765680.424022,0.226856,3.359291,0.165102
FlexTDOA,1785765680.699183,0.284836,3.274551,0.181793
FlexTDOA,1785765680.699832,0.310721,3.308066,0.139983
FlexTDOA,1785765680.700120,0.278517,3.323635,0.145360
FlexTDOA,1785765680.700171,0.385063,3.384679,0.048903
FlexTDOA,1785765680.807191,0.297635,3.372314,0.097892
FlexTDOA,1785765681.036702,0.363975,3.511155,0.079400
FlexTDOA,1785765681.078134,0.470986,3.337722,0.135009
FlexTDOA,1785765681.131642,0.300584,3.276648,0.172638
FlexTDOA,1785765681.131700,0.298574,3.511745,0.109981
FlexTDOA,1785765681.290300,0.425053,3.368936,0.081006
FlexTDOA,1785765681.290339,0.275986,3.260044,0.198779
FlexTDOA,1785765681.512223,0.238860,3.248180,0.229051
FlexTDOA,1785765681.512291,0.480395,3.248048,0.212521
FlexTDOA,1785765681.736962,0.226766,3.329939,0.180124
FlexTDOA,1785765681.785043,0.311916,3.248265,0.194685
FlexTDOA,1785765681.932812,0.345809,3.386472,0.054419
FlexTDOA,1785765681.985204,0.236738,3.543946,0.177459
FlexTDOA,1785765682.028659,0.361128,3.328451,0.104950
FlexTDOA,1785765682.281859,0.408972,3.342869,0.095912
FlexTDOA,1785765682.281927,0.423821,3.546901,0.124445
FlexTDOA,1785765682.324592,0.176113,3.412766,0.199703
FlexTDOA,1785765682.380688,0.326677,3.333148,0.110412
FlexTDOA,1785765682.427537,0.409345,3.254762,0.181059
FlexTDOA,1785765682.492720,0.371750,3.215565,0.216958
FlexTDOA,1785765682.642680,0.291161,3.366606,0.106509
FlexTDOA,1785765682.792310,0.357537,3.334310,0.099704
FlexTDOA,1785765682.792351,0.298458,3.298306,0.154410
FlexTDOA,1785765682.841123,0.173527,3.255469,0.268081
FlexTDOA,1785765682.841164,0.389459,3.378111,0.056321
FlexTDOA,1785765682.950438,0.361715,3.295096,0.138030
FlexTDOA,1785765683.003929,0.404850,3.306464,0.129561
FlexTDOA,1785765683.247181,0.366276,3.250387,0.182316
FlexTDOA,1785765683.247230,0.242229,3.437158,0.132692
FlexTDOA,1785765683.247324,0.407945,3.421127,0.035006
FlexTDOA,1785765683.295053,0.456848,3.233816,0.214945
FlexTDOA,1785765683.295816,0.308794,3.398211,0.074416
FlexTDOA,1785765683.301620,0.351384,3.428082,0.023867
FlexTDOA,1785765683.575461,0.303439,3.253896,0.192349
FlexTDOA,1785765683.731766,0.324740,3.430248,0.050149
FlexTDOA,1785765683.732360,0.417405,3.395595,0.056338
FlexTDOA,1785765683.732402,0.193324,3.409084,0.183019
FlexTDOA,1785765683.840235,0.328655,3.259599,0.178964
FlexTDOA,1785765683.892943,0.497236,3.297431,0.182278
FlexTDOA,1785765683.984616,0.405132,3.313348,0.122944
FlexTDOA,1785765683.984647,0.287727,3.331267,0.133555
FlexTDOA,1785765684.032820,0.356137,3.386444,0.049710
FlexTDOA,1785765684.092312,0.314955,3.419836,0.061208
FlexTDOA,1785765684.092355,0.439462,3.308547,0.139789
FlexTDOA,1785765684.192705,0.371306,3.317051,0.115505
FlexTDOA,1785765684.251484,0.332365,3.416201,0.045493
FlexTDOA,1785765684.308962,0.283815,3.390541,0.100229
FlexTDOA,1785765684.403983,0.266325,3.309826,0.163782
FlexTDOA,1785765684.458252,0.417094,3.529041,0.105382
FlexTDOA,1785765684.458502,0.350285,3.333732,0.101775
FlexTDOA,1785765684.458921,0.335451,3.278385,0.159070
FlexTDOA,1785765684.529287,0.426731,3.303389,0.139151
FlexTDOA,1785765684.580036,0.270662,3.277673,0.186613
FlexTDOA,1785765684.746876,0.360075,3.351968,0.081876
FlexTDOA,1785765684.877167,0.326834,3.500802,0.083483
FlexTDOA,1785765684.925066,0.352107,3.339943,0.095309
FlexTDOA,1785765684.987453,0.229278,3.332411,0.176652
FlexTDOA,1785765685.034874,0.377879,3.259176,0.173352
FlexTDOA,1785765685.137382,0.289561,3.320230,0.140986
FlexTDOA,1785765685.233573,0.361477,3.312675,0.120570
FlexTDOA,1785765685.234152,0.384086,3.295653,0.137160
FlexTDOA,1785765685.291899,0.304677,3.404218,0.075648
FlexTDOA,1785765685.335541,0.345551,3.418149,0.032616
FlexTDOA,1785765685.392320,0.402275,3.258899,0.175757
FlexTDOA,1785765685.447029,0.377214,3.315457,0.117069
FlexTDOA,1785765685.512264,0.475694,3.260982,0.198975
FlexTDOA,1785765685.568473,0.395935,3.350810,0.084371
FlexTDOA,1785765685.617842,0.319555,3.333073,0.113764
FlexTDOA,1785765685.668375,0.349524,3.365392,0.071725
FlexTDOA,1785765685.716754,0.397421,3.510034,0.080754
FlexTDOA,1785765685.766040,0.312259,3.471752,0.073870
FlexTDOA,1785765685.876764,0.396726,3.416450,0.027142
FlexTDOA,1785765685.877623,0.373174,3.310438,0.122075
FlexTDOA,1785765685.920745,0.279984,3.314111,0.151703
FlexTDOA,1785765685.974089,0.495921,3.285191,0.190686
FlexTDOA,1785765686.016634,0.190807,3.428934,0.184066
FlexTDOA,1785765686.072335,0.380962,3.519154,0.086868
FlexTDOA,1785765686.266464,0.494164,3.237080,0.228972
FlexTDOA,1785765686.271223,0.288390,3.262403,0.190806
FlexTDOA,1785765686.363177,0.489421,3.447249,0.115527
FlexTDOA,1785765686.524012,0.325822,3.282350,0.157950
FlexTDOA,1785765686.574953,0.449915,3.242223,0.204554
FlexTDOA,1785765686.579163,0.423134,3.230508,0.207687
FlexTDOA,1785765686.666977,0.349037,3.373529,0.064370
FlexTDOA,1785765686.719228,0.429282,3.460405,0.061178
FlexTDOA,1785765686.885492,0.346337,3.471326,0.048163
FlexTDOA,1785765686.886402,0.279311,3.227390,0.226265
FlexTDOA,1785765686.941817,0.372557,3.320574,0.111950
FlexTDOA,1785765686.989760,0.335958,3.338183,0.102018
FlexTDOA,1785765687.031059,0.294621,3.375821,0.098222
FlexTDOA,1785765687.277307,0.414166,3.280940,0.156581
FlexTDOA,1785765687.280392,0.354272,3.453096,0.029105
FlexTDOA,1785765687.326757,0.396048,3.370690,0.065349
FlexTDOA,1785765687.327729,0.245183,3.333193,0.163318
FlexTDOA,1785765687.377237,0.426345,3.417145,0.053747
FlexTDOA,1785765687.377805,0.426807,3.395207,0.063965
FlexTDOA,1785765687.542270,0.455368,3.403936,0.085446
FlexTDOA,1785765687.542318,0.285935,3.280261,0.176298
FlexTDOA,1785765687.601051,0.363826,3.477430,0.046258
FlexTDOA,1785765687.852360,0.213852,3.194905,0.286999
FlexTDOA,1785765687.853119,0.242972,3.361725,0.149660
FlexTDOA,1785765687.853168,0.162923,3.265687,0.269695
FlexTDOA,1785765687.896303,0.289257,3.349810,0.119005
FlexTDOA,1785765687.945613,0.420526,3.497573,0.079509
FlexTDOA,1785765688.005543,0.393080,3.405437,0.032639
FlexTDOA,1785765688.053015,0.424508,3.414453,0.052846
FlexTDOA,1785765688.058474,0.429809,3.286443,0.156060
FlexTDOA,1785765688.060083,0.307592,3.305233,0.143943
FlexTDOA,1785765688.198537,0.384768,3.452997,0.022774
FlexTDOA,1785765688.246972,0.308026,3.357560,0.100400
FlexTDOA,1785765688.247200,0.327993,3.280186,0.159357
FlexTDOA,1785765688.247517,0.302493,3.274716,0.173581
FlexTDOA,1785765688.301023,0.199254,3.362265,0.189111
FlexTDOA,1785765688.301066,0.422624,3.441327,0.048594
FlexTDOA,1785765688.301238,0.399819,3.243159,0.190984
FlexTDOA,1785765688.401551,0.303800,3.413243,0.073603
FlexTDOA,1785765688.447207,0.335515,3.266962,0.170146
FlexTDOA,1785765688.447240,0.385295,3.362044,0.071229
FlexTDOA,1785765688.529110,0.429714,3.589012,0.165852
FlexTDOA,1785765688.579927,0.406567,3.312032,0.124578
FlexTDOA,1785765688.579981,0.517410,3.453223,0.144069
FlexTDOA,1785765688.627505,0.369157,3.272203,0.160400
FlexTDOA,1785765688.683104,0.347544,3.311596,0.123948
FlexTDOA,1785765688.731683,0.382424,3.446802,0.016188
FlexTDOA,1785765688.976361,0.398616,3.293371,0.141148
FlexTDOA,1785765688.976848,0.324056,3.311633,0.131104
FlexTDOA,1785765688.977269,0.391955,3.379956,0.055263
FlexTDOA,1785765688.982923,0.378668,3.266807,0.165739
FlexTDOA,1785765688.982923,0.381335,3.471331,0.039369
FlexTDOA,1785765689.342206,0.307693,3.256319,0.188544
FlexTDOA,1785765689.342206,0.423643,3.355583,0.091096
FlexTDOA,1785765689.429511,0.411462,3.347196,0.092835
FlexTDOA,1785765689.544933,0.306633,3.310793,0.139517
FlexTDOA,1785765689.545350,0.407906,3.348473,0.090301
FlexTDOA,1785765689.597136,0.394987,3.322500,0.111832
FlexTDOA,1785765689.597239,0.269593,3.388768,0.113970
FlexTDOA,1785765689.599816,0.330761,3.493425,0.075196
FlexTDOA,1785765689.646591,0.492583,3.311661,0.168720
FlexTDOA,1785765689.697839,0.236618,3.473004,0.144032
FlexTDOA,1785765689.829041,0.294352,3.434506,0.080512
FlexTDOA,1785765689.839345,0.481442,3.306021,0.165413
FlexTDOA,1785765689.958994,0.376892,3.358572,0.073958
FlexTDOA,1785765690.008441,0.426703,3.412327,0.055650
FlexTDOA,1785765690.008504,0.227539,3.308299,0.192674
FlexTDOA,1785765690.057163,0.295594,3.267992,0.182600
FlexTDOA,1785765690.157554,0.436613,3.359148,0.095900
FlexTDOA,1785765690.210643,0.270125,3.316998,0.155904
FlexTDOA,1785765690.210918,0.347589,3.344085,0.092520
FlexTDOA,1785765690.265874,0.339833,3.495755,0.072294
FlexTDOA,1785765690.405252,0.390030,3.285022,0.148260
FlexTDOA,1785765690.454919,0.314612,3.265877,0.177175
FlexTDOA,1785765690.454966,0.280309,3.365424,0.115910
FlexTDOA,1785765690.575039,0.475231,3.311138,0.157505
FlexTDOA,1785765690.623217,0.320941,3.168469,0.269477
FlexTDOA,1785765690.623253,0.403910,3.509425,0.082234
FlexTDOA,1785765690.669245,0.403080,3.393231,0.048371
FlexTDOA,1785765690.816857,0.361721,3.384429,0.049830
FlexTDOA,1785765690.916263,0.309794,3.458374,0.070001
FlexTDOA,1785765690.962835,0.368929,3.374278,0.058522
FlexTDOA,1785765690.963095,0.274033,3.305313,0.162292
FlexTDOA,1785765691.083719,0.350225,3.377321,0.060421
FlexTDOA,1785765691.083915,0.408416,3.374212,0.067269
FlexTDOA,1785765691.084620,0.340069,3.202475,0.232640
FlexTDOA,1785765691.084657,0.309129,3.420871,0.066731
FlexTDOA,1785765691.128369,0.352164,3.222220,0.211501
FlexTDOA,1785765691.342543,0.357183,3.304806,0.128910
FlexTDOA,1785765691.398041,0.469060,3.280194,0.179096
FlexTDOA,1785765691.468525,0.449851,3.273486,0.175820
FlexTDOA,1785765691.559911,0.303137,3.364042,0.099136
FlexTDOA,1785765691.605115,0.361334,3.403962,0.031574
FlexTDOA,1785765691.652736,0.378209,3.517353,0.084918
FlexTDOA,1785765691.667534,0.409553,3.350786,0.088783
FlexTDOA,1785765691.704551,0.433290,3.382068,0.077202
FlexTDOA,1785765691.717123,0.130745,3.424192,0.244235
FlexTDOA,1785765691.805817,0.348294,3.304849,0.130383
FlexTDOA,1785765691.908863,0.413503,3.415226,0.042348
FlexTDOA,1785765692.023399,0.225584,3.495408,0.161970
FlexTDOA,1785765692.069187,0.507405,3.251589,0.224284
FlexTDOA,1785765692.125336,0.430695,3.372848,0.081722
FlexTDOA,1785765692.125740,0.269158,3.549234,0.157463
FlexTDOA,1785765692.174202,0.384870,3.359143,0.074041
FlexTDOA,1785765692.376023,0.406604,3.289692,0.146300
FlexTDOA,1785765692.378933,0.272081,3.441379,0.103140
FlexTDOA,1785765692.431052,0.424487,3.322825,0.120391
FlexTDOA,1785765692.431770,0.150585,3.451609,0.225066
FlexTDOA,1785765692.512918,0.374108,3.402171,0.030340
FlexTDOA,1785765692.519675,0.316554,3.392981,0.070420
FlexTDOA,1785765692.656718,0.394273,3.317379,0.116751
FlexTDOA,1785765692.816547,0.434902,3.351246,0.101045
FlexTDOA,1785765692.816995,0.311464,3.321428,0.127882
FlexTDOA,1785765692.827759,0.361046,3.304294,0.128948
FlexTDOA,1785765692.827759,0.401620,3.385449,0.054140
FlexTDOA,1785765693.013600,0.359099,3.281323,0.151995
FlexTDOA,1785765693.072345,0.404831,3.216625,0.217950
FlexTDOA,1785765693.177631,0.428073,3.271219,0.169841
FlexTDOA,1785765693.177673,0.385510,3.278896,0.153976
FlexTDOA,1785765693.228061,0.233988,3.160548,0.306264
FlexTDOA,1785765693.279053,0.296116,3.208004,0.237900
FlexTDOA,1785765693.448093,0.279695,3.416111,0.096545
FlexTDOA,1785765693.492471,0.360464,3.253376,0.179701
FlexTDOA,1785765693.492830,0.186292,3.330020,0.214598
FlexTDOA,1785765693.536403,0.314267,3.268129,0.175178
FlexTDOA,1785765693.591717,0.483311,3.533026,0.147891
FlexTDOA,1785765693.595082,0.383365,3.227271,0.205407
FlexTDOA,1785765693.650213,0.297937,3.306022,0.148023
FlexTDOA,1785765693.701134,0.332517,3.273995,0.164059
FlexTDOA,1785765693.747323,0.442500,3.394737,0.077487
FlexTDOA,1785765693.890822,0.347056,3.513506,0.085636
FlexTDOA,1785765693.939217,0.349544,3.278704,0.155863
FlexTDOA,1785765693.939258,0.456813,3.335263,0.127182
FlexTDOA,1785765693.939358,0.326494,3.266524,0.172874
FlexTDOA,1785765693.985748,0.514970,3.317686,0.181161
FlexTDOA,1785765694.030362,0.304281,3.239649,0.205355
FlexTDOA,1785765694.081967,0.486229,3.278373,0.190166
FlexTDOA,1785765694.082009,0.370336,3.318663,0.113928
FlexTDOA,1785765694.324283,0.245209,3.398944,0.133903
FlexTDOA,1785765694.374877,0.329937,3.379281,0.069631
FlexTDOA,1785765694.422744,0.210314,3.232272,0.259153
FlexTDOA,1785765694.538162,0.390443,3.470615,0.041184
FlexTDOA,1785765694.588997,0.441730,3.453664,0.070160
FlexTDOA,1785765694.689031,0.107203,3.473401,0.270742
FlexTDOA,1785765694.731509,0.258390,3.341928,0.147525
FlexTDOA,1785765694.780958,0.388711,3.203846,0.229076
FlexTDOA,1785765694.976643,0.271295,3.428566,0.103619
FlexTDOA,1785765694.978157,0.351359,3.411544,0.031473
FlexTDOA,1785765694.979419,0.270199,3.200153,0.254824
FlexTDOA,1785765695.026500,0.319305,3.346406,0.102452
FlexTDOA,1785765695.026843,0.382619,3.245450,0.187213
FlexTDOA,1785765695.176695,0.428466,3.460214,0.060365
FlexTDOA,1785765695.225097,0.431189,3.277049,0.165351
FlexTDOA,1785765695.225161,0.329653,3.355880,0.088953
FlexTDOA,1785765695.368732,0.322352,3.300639,0.141924
FlexTDOA,1785765695.490360,0.477285,3.465977,0.107776
FlexTDOA,1785765695.490615,0.320807,3.395590,0.065436
FlexTDOA,1785765695.490750,0.511141,3.250157,0.227657
FlexTDOA,1785765695.490894,0.416772,3.348994,0.093445
FlexTDOA,1785765695.641646,0.410448,3.394965,0.051740
FlexTDOA,1785765695.829354,0.364355,3.262619,0.170206
FlexTDOA,1785765695.829394,0.290886,3.410932,0.086679
FlexTDOA,1785765695.829620,0.426507,3.325873,0.118488
FlexTDOA,1785765695.829658,0.439999,3.246093,0.197470
FlexTDOA,1785765695.829878,0.344997,3.406669,0.039469
FlexTDOA,1785765695.858627,0.047929,3.494679,0.332770
FlexTDOA,1785765695.976061,0.269452,3.335062,0.143530
FlexTDOA,1785765695.976351,0.389610,3.350798,0.083028
FlexTDOA,1785765696.066763,0.379402,3.454206,0.022179
FlexTDOA,1785765696.079835,0.360876,3.360599,0.073246
FlexTDOA,1785765696.079835,0.369591,3.304793,0.127817
FlexTDOA,1785765696.080137,0.498175,3.415106,0.124557
FlexTDOA,1785765696.141942,0.439909,3.430443,0.065103
FlexTDOA,1785765696.143606,0.310019,3.320156,0.129704
FlexTDOA,1785765696.201327,0.285169,3.352668,0.120058
FlexTDOA,1785765696.201669,0.240581,3.454551,0.136056
FlexTDOA,1785765696.264795,0.277875,3.428917,0.097030
FlexTDOA,1785765696.265798,0.352828,3.344597,0.090618
FlexTDOA,1785765696.265833,0.349210,3.407390,0.035880
FlexTDOA,1785765696.381999,0.279738,3.416000,0.096521
FlexTDOA,1785765696.431459,0.426560,3.392643,0.065297
FlexTDOA,1785765696.431520,0.407165,3.418960,0.035048
FlexTDOA,1785765696.463520,0.415584,3.474947,0.058838
FlexTDOA,1785765696.511298,0.449064,3.399502,0.081231
FlexTDOA,1785765696.568713,0.445921,3.375645,0.091024
FlexTDOA,1785765696.568755,0.253911,3.463247,0.124774
FlexTDOA,1785765696.650261,0.334369,3.263645,0.173638
FlexTDOA,1785765696.717093,0.434516,3.293239,0.151511
FlexTDOA,1785765696.899516,0.655187,3.380922,0.285054
FlexTDOA,1785765697.023768,0.456166,3.401203,0.087142
FlexTDOA,1785765697.078253,0.358217,3.303980,0.129591
FlexTDOA,1785765697.129828,0.271250,3.344504,0.135919
FlexTDOA,1785765697.130164,0.465081,3.409093,0.093229
FlexTDOA,1785765697.130457,0.429960,3.637120,0.211913
FlexTDOA,1785765697.185461,0.404397,3.379559,0.060635
FlexTDOA,1785765697.295239,0.456958,3.371723,0.102164
FlexTDOA,1785765697.297416,0.393498,3.499331,0.069386
FlexTDOA,1785765697.300245,0.357070,3.257349,0.176051
FlexTDOA,1785765697.301144,0.321822,3.360726,0.089233
FlexTDOA,1785765697.361940,0.482040,3.492917,0.123053
FlexTDOA,1785765697.368347,0.425244,3.296940,0.144629
FlexTDOA,1785765697.408882,0.208099,3.293614,0.217007
FlexTDOA,1785765697.487478,0.278649,3.524180,0.132881
FlexTDOA,1785765697.488630,0.277734,3.230223,0.224379
FlexTDOA,1785765697.517626,0.328685,3.398825,0.057133
FlexTDOA,1785765697.546866,0.197590,3.318636,0.210671
FlexTDOA,1785765697.639090,0.400770,3.350596,0.085912
FlexTDOA,1785765697.725322,0.314402,3.358828,0.095290
FlexTDOA,1785765697.739877,0.332207,3.451748,0.046775
FlexTDOA,1785765697.777284,0.395153,3.274290,0.159511
FlexTDOA,1785765697.824838,0.477149,3.405052,0.105929
FlexTDOA,1785765697.969537,0.274808,3.390272,0.108579
FlexTDOA,1785765698.018712,0.354926,3.404937,0.034004
FlexTDOA,1785765698.071983,0.301033,3.399645,0.080788
FlexTDOA,1785765698.115998,0.386317,3.384438,0.049415
FlexTDOA,1785765698.174446,0.299488,3.260096,0.188152
FlexTDOA,1785765698.241421,0.475091,3.164314,0.286313
FlexTDOA,1785765698.286273,0.285995,3.408603,0.092002
FlexTDOA,1785765698.286319,0.461209,3.274308,0.180236
FlexTDOA,1785765698.442043,0.333810,3.258813,0.178468
FlexTDOA,1785765698.464204,0.416527,3.408701,0.048004
FlexTDOA,1785765698.555339,0.323470,3.385728,0.069473
FlexTDOA,1785765698.569939,0.323955,3.384375,0.070038
FlexTDOA,1785765698.607868,0.165799,3.513885,0.224323
FlexTDOA,1785765698.657566,0.478146,3.545682,0.153240
FlexTDOA,1785765698.757074,0.453386,3.234737,0.212792
FlexTDOA,1785765698.757439,0.371696,3.318662,0.113883
FlexTDOA,1785765698.807433,0.326294,3.282793,0.157383
FlexTDOA,1785765698.807634,0.247312,3.448486,0.128525
FlexTDOA,1785765698.809954,0.401445,3.332472,0.103508
FlexTDOA,1785765698.810156,0.400110,3.277856,0.156697
FlexTDOA,1785765698.861763,0.290225,3.323786,0.137763
FlexTDOA,1785765698.935364,0.515231,3.432286,0.140393
FlexTDOA,1785765698.935395,0.455534,3.295080,0.159362
FlexTDOA,1785765698.987860,0.356489,3.253770,0.179671
FlexTDOA,1785765698.987905,0.280772,3.262068,0.194669
FlexTDOA,1785765699.037088,0.304061,3.302992,0.147588
FlexTDOA,1785765699.129631,0.485469,3.337231,0.145998
FlexTDOA,1785765699.191026,0.404882,3.344017,0.093446
FlexTDOA,1785765699.306029,0.399887,3.454709,0.033476
FlexTDOA,1785765699.306398,0.331069,3.407330,0.050491
FlexTDOA,1785765699.356642,0.337080,3.286161,0.151133
FlexTDOA,1785765699.408417,0.363995,3.494407,0.062848
FlexTDOA,1785765699.408508,0.307014,3.433151,0.067828
FlexTDOA,1785765699.581168,0.358962,3.392227,0.043291
FlexTDOA,1785765699.643843,0.207912,3.278009,0.227447
FlexTDOA,1785765699.643905,0.331095,3.332353,0.109285
FlexTDOA,1785765699.710489,0.255575,3.374456,0.132639
FlexTDOA,1785765699.758619,0.266178,3.429614,0.108699
FlexTDOA,1785765699.798093,0.169654,3.460782,0.207124
FlexTDOA,1785765700.048491,0.336754,3.321309,0.117534
FlexTDOA,1785765700.099695,0.447442,3.530102,0.121644
FlexTDOA,1785765700.236727,0.221413,3.295621,0.205610
FlexTDOA,1785765700.276945,0.479910,3.422337,0.105562
FlexTDOA,1785765700.277004,0.356968,3.337527,0.096641
FlexTDOA,1785765700.277054,0.342998,3.320391,0.116544
FlexTDOA,1785765700.414320,0.302944,3.469152,0.080698
FlexTDOA,1785765700.499122,0.204936,3.359713,0.184838
FlexTDOA,1785765700.553889,0.278878,3.380965,0.108924
