method,n,median_x_m,median_y_m,mean_x_m,mean_y_m,std_x_cm,std_y_cm,precision_cep50_cm,precision_p95_cm,precision_max_cm,two_drms_cm,bias_east_cm,bias_north_cm,accuracy_mean_cm,accuracy_rmse_cm,accuracy_median_cm,accuracy_p95_cm,accuracy_max_cm,protocol,duration_s,candidate_units,complete_units,complete_pct,position_rate_hz,physically_impossible_observations,unique_tdoa_observations,unique_ds_ranges,median_interval_ms,p95_interval_ms,max_interval_ms
FlexTDOA,5093,0.3549973706546683,3.3530653476599652,0.35610306456072877,3.355373998079224,7.762955868427471,8.326244069244568,9.22554691505486,19.64239531265649,42.12561227269846,22.767505275350906,-1.8735477453871483,-7.712749471731558,12.366276075528793,13.87663738051117,11.626686111299495,23.148068725680613,49.67164957798942,flextdoa,300.0542633533478,97543,5093,5.221287022133828,16.973596519115002,1,192787,0,48.26664924621582,193.88926029205322,491.4367198944092
Native DS-TWR,688,0.34459098260868076,3.322655761577829,0.3440516038426369,3.322809108189872,1.0224558452692287,1.394346999389069,1.3919510915913802,2.986265269676874,5.421922533565695,3.4581032432421757,-3.0786938171963336,-10.969238460666697,11.44148700420147,11.5233598468523,11.492143478838388,13.503927569959393,15.464615794462624,ds_twr,300.05142307281494,735,688,93.60544217687075,2.2929402998799966,0,0,2887,410.2766513824463,811.1531257629393,1232.9511642456055
Passive DS-TWR,7838,0.3459700186811314,3.362608400872336,0.3440338672419739,3.365582573139533,4.81902722915289,5.053565104966835,6.56576333617095,10.058478416161778,58.980577864671325,13.965893269741885,-3.0804674772626375,-6.691891965700558,9.270745319932878,10.150173421811376,9.948089673893959,14.971674911729227,51.42037978852555,passive_ds,300.0430121421814,16013,7838,48.947729969399866,26.122921323979398,0,37320,0,29.937267303466797,134.0467453002929,563.8926029205322
GPS RTK,544,0.37483854201460026,3.432501492796539,0.37514934308845166,3.434313320004736,0.283085982624556,0.5373694456137623,0.5047853407387961,1.1038631301071051,1.5217544785069026,1.2147486894625616,,,,,,,,,,,,,0.6043445942489429,,,,1935.5721473693848,2088.171076774597,35639.84441757202
