capture,source,duration_sec,position_rate_hz,n,mean_x_m,mean_y_m,bias_x_cm,bias_y_cm,mean_error_cm,rmse_2d_cm,median_error_cm,p95_error_cm,p99_error_cm,max_error_cm,outliers_gt_50cm,outliers_gt_50cm_pct,rmse_within_50cm_cm,std_x_cm,std_y_cm,cep50_precision_cm,cep95_precision_cm,two_drms_cm
Native before,"surveyed geometry, robust 3-of-4",60.08069443702698,47.852309746742435,2875,1.538848922879227,1.4885810766763283,3.8848922879227086,-1.1418923323671524,4.274448543685064,4.408493354844243,4.130106500315732,6.412353252995372,7.290470943934372,9.220533552824671,0,0.0,4.408493354844243,1.2459816809394235,1.2194647854238583,1.3032120778821392,3.341043495195475,3.4868694911771434
Native after,"surveyed geometry, robust 3-of-4",60.03500151634216,47.62221916862532,2859,1.5342720612102134,1.4908529007811588,3.4272061210213383,-0.914709921884114,3.7548601957279883,3.8944476461780044,3.701586001630835,5.490406990568575,6.483587762933178,8.446444596133649,0,0.0,3.8944476461780044,1.175185677071573,1.09732824854291,1.2679296478506719,2.8578429769183433,3.215705621256039
Passive,embedded autonomous geometry,90.05994749069214,26.88209428780996,2421,1.5091135894258572,1.508762907889302,0.9113589425857075,0.8762907889301931,3.059959095600764,3.544260184593183,2.823118842698619,6.198386886924685,8.083615762533315,17.146719802924398,0,0.0,3.544260184593183,2.095269921769965,2.5647015107754334,2.433576338601667,5.861073474342252,6.62354886279182
Passive,"surveyed geometry, rolling 12 directed paths",90.05994749069214,49.200561664306456,4431,1.5160422630132642,1.514822868213349,1.6042263013264266,1.48228682133489,2.6724525644141397,2.9777502857706044,2.5709061183133315,4.6161236223507345,5.560526794697677,16.647897929377752,0,0.0,2.9777502857706044,1.4022189692242446,1.4597901042521508,1.4461249870115158,3.118694918411322,4.048310850774584
Passive,"surveyed geometry, 31-sample path CFO median",90.05994749069214,49.200561664306456,4431,1.5161056177229293,1.5148945094460613,1.6105617722929269,1.4894509446061353,2.636676446077562,2.9316333796908536,2.553163514144694,4.5347262629124305,5.375938096793412,16.78237825328952,0,0.0,2.9316333796908536,1.34366877181141,1.4062392802102326,1.3741692158938457,2.9500518723754308,3.8899638463859154
Passive validation,current calibration,60.16106462478638,49.18463492052119,2959,1.5161605483519898,1.5155219450370438,1.6160548351989794,1.5521945037044116,2.678257024504996,2.9521324973643974,2.584812613705679,4.613534814636279,5.483418999282496,15.453655182546482,0,0.0,2.9521324973643974,1.3315222408241072,1.38652178575237,1.4509311659840274,3.0848177219552464,3.8446815941896633
Passive validation,incremental per-anchor calibration,60.16106462478638,49.18463492052119,2959,1.5005118810494142,1.5028370864486273,0.05118810494144381,0.28370864486271086,1.6118126805794009,1.9404735970402165,1.4730052948942187,3.1180781434768394,3.846007289846424,17.530107261231063,0,0.0,1.9404735970402165,1.329435481543845,1.384259056128386,1.4504591755217038,3.0805475860522553,3.838526714280449
Passive validation,joint per-anchor + symmetric pair calibration,60.16106462478638,49.18463492052119,2959,1.5005724877524116,1.5023754929465831,0.05724877524115183,0.2375492946583158,1.6043160811455948,1.929651136309303,1.4650982317143715,3.118318743085301,3.830252539178586,17.553115694269252,0,0.0,1.929651136309303,1.3226347153841589,1.3840962577511022,1.4499555437543203,3.0806197524609265,3.8288823648996795
