anchor_id,samples,rate_hz,mean_m,median_m,std_cm,robust_sigma_cm,min_m,max_m,peak_to_peak_cm,reference_distance_m,reference_bias_cm,reference_rmse_cm,reference_p95_abs_cm
2,2176,36.25857276184542,2.209463235294118,2.23,89.6479431733544,1.186080000000001,-39.181,2.27,4145.1,2.145821360808024,6.364187448609357,89.85300905374098,10.81786391919759
3,2312,38.513618189693815,2.1922396193771623,2.21,66.1487794794099,1.0378200000000175,-25.949,2.255,2820.4,2.2036431908319463,-1.140357145478361,66.14430326253058,2.535680916805383
4,2467,41.09572935166719,2.197807863802189,2.197,1.347568365826684,1.4826000000000343,2.163,2.247,8.400000000000007,2.118321933158414,7.948593064377492,8.061968500994276,10.267806684158609
5,2528,42.1052937822355,2.218542721518987,2.219,1.8120418841114674,1.7791200000000014,2.138,2.276,13.79999999999999,2.2206722658915705,-0.21295443725831498,1.8241563888382977,3.4672265891570575
