series,n,mean_x_m,mean_y_m,bias_x_cm,bias_y_cm,mean_error_cm,rmse_2d_cm,median_error_cm,p95_error_cm,p99_error_cm,max_error_cm,outliers_gt_50cm,outliers_gt_50cm_pct,rmse_within_50cm_cm,std_x_cm,std_y_cm,cep50_precision_cm,cep95_precision_cm,two_drms_cm
DS-TWR surveyed offline,5455,1.526344914522864,1.4900994585497505,2.634491452286384,-0.990054145024956,3.086343942641334,3.248187294488019,3.0380476194160515,4.796704297340192,5.509471502909082,6.7872096689492425,0,0.0,3.248187294488019,1.2069975641086208,1.0833316053406623,1.3493330740940002,2.7774018926230863,3.2437327182701847
FlexTDOA surveyed complete-slot offline,50879,1.5453286455325392,1.5059826876577107,4.532864553253908,0.59826876577106,8.44284027432385,9.94010094395369,7.643668232554085,17.17111851016687,25.496921367222264,84.52900917032198,53,0.10416871400774386,9.757586886618375,6.3406305547242265,6.139931229257291,6.437596997222711,15.422586871487177,17.652461735578004
FlexTDOA embedded operational geometry,9075,1.5395151515151515,1.4714866115702478,2.2015151515151428,0.4736611570247952,3.965874499085742,12.061562651457782,3.588610455315528,7.559207838112668,10.509492137544642,1068.2029175793332,1,0.011019283746556474,4.443771923723438,8.712576740618765,8.032231955751254,2.849329573656601,6.643956485986917,23.700273724340207
