block,protocol,duration_s,measurements,measurement_rate_hz,valid_measurements,excluded_measurements,valid_measurement_rate_hz,theoretical_measurement_rate_hz,measurement_delivery_pct,observed_slots,slot_rate_hz,theoretical_slot_rate_hz,slot_delivery_pct,complete_units,candidate_units,complete_unit_pct,offline_position_rate_hz,offline_pos_n,offline_pos_mean_x_m,offline_pos_mean_y_m,offline_pos_bias_x_cm,offline_pos_bias_y_cm,offline_pos_mean_error_cm,offline_pos_rmse_2d_cm,offline_pos_median_error_cm,offline_pos_p95_error_cm,offline_pos_p99_error_cm,offline_pos_max_error_cm,offline_pos_outliers_gt_50cm,offline_pos_outliers_gt_50cm_pct,offline_pos_rmse_within_50cm_cm,offline_pos_std_x_cm,offline_pos_std_y_cm,offline_pos_cep50_precision_cm,offline_pos_cep95_precision_cm,offline_pos_two_drms_cm,position_updates,excluded_position_updates,position_rate_hz,theoretical_position_rate_hz,position_delivery_pct,median_interval_ms,p95_interval_ms,pos_n,pos_mean_x_m,pos_mean_y_m,pos_bias_x_cm,pos_bias_y_cm,pos_mean_error_cm,pos_rmse_2d_cm,pos_median_error_cm,pos_p95_error_cm,pos_p99_error_cm,pos_max_error_cm,pos_outliers_gt_50cm,pos_outliers_gt_50cm_pct,pos_rmse_within_50cm_cm,pos_std_x_cm,pos_std_y_cm,pos_cep50_precision_cm,pos_cep95_precision_cm,pos_two_drms_cm
flex_1,FlexTDOA,120.05436944961548,95932,799.071291114155,95932,0,799.071291114155,1000.0,79.9071291114155,39977,332.9907956142953,333.333333,99.89723868428858,16320,39977,40.82347349726093,135.93840919592012,16320,1.5461695698730333,1.5065257995202812,4.616956987303351,0.652579952028122,8.436327790271019,9.904830408907296,7.65405252267764,17.174154476407296,25.1006851168571,84.52900917032198,13,0.07965686274509803,9.757204890918599,6.285770878044965,6.071019428818721,6.397067004283031,15.41951152352293,17.477779313902843,3081,0,25.663372471362123,nan,nan,36.56589984893799,61.50537729263304,3081,1.5417422914638106,1.4703576760791952,2.4242291463810366,0.3607676079195083,3.9184885124152613,4.496653995127788,3.717273866693168,7.555006618130777,10.284401970096905,25.156671580318417,0,0.0,4.496653995127788,2.629434645806167,2.7025071578414326,2.825490096660395,6.56796682272457,7.541212500586355
ds_1,DS-TWR,120.00192904472351,7426,61.88233855167782,7426,0,61.88233855167782,62.5,99.01174168268452,,,,,1825,1868,97.69807280513919,,,,,,,,,,,,,,,,,,,,,1825,,15.208088857636954,15.625,97.33176868887651,63.3465051651001,78.40063571929932,1825,1.5265246347945207,1.490143127762557,2.652463479452056,-0.9856872237442967,3.113872559248648,3.275000823564357,3.044950465474135,4.844664515674973,5.545842032228228,6.366050670474086,0,0.0,3.275000823564357,1.2415487685553397,1.0856038118060776,1.3818623068447882,2.82967479395607,3.298471755773674
flex_2,FlexTDOA,120.00710368156433,96810,806.702245367764,96808,2,806.6855796876613,1000.0,80.6702245367764,39964,333.01361981073563,333.333333,99.90408594322071,17188,39964,43.00870783705335,143.22485480199492,17188,1.5450233168352274,1.5060112660883738,4.502331683522728,0.6011266088373617,8.473556972408872,10.011050392798197,7.636469979982488,17.343384765773855,26.014095726904014,66.80006077659596,20,0.11636025133814289,9.812159605863803,6.38135073093596,6.234723713415275,6.482881128747356,15.573573036570787,17.843028547176587,2993,1,24.940190273584523,nan,nan,36.88549995422363,69.90050077438353,2993,1.539844971600401,1.4718987637821583,2.2344971600400854,0.5148763782158386,3.8174605399559787,4.394648779681839,3.5648457189617484,7.568231256068242,10.20518458640587,23.827570690273895,0,0.0,4.394648779681839,2.612218095492361,2.6899585045317935,2.8363061957038878,6.645046850940184,7.499215994894576
ds_2,DS-TWR,120.00826287269592,7400,61.66242076055944,7400,0,61.66242076055944,62.5,98.65987321689511,,,,,1801,1868,96.41327623126338,,,,,,,,,,,,,,,,,,,,,1801,,15.00729997159021,15.625,96.04671981817735,65.90414047241211,77.93185710906981,1801,1.52639053945339,1.48959220167808,2.6390539453390085,-1.0407798321919954,3.0990519880983203,3.264926475733037,3.0529698216816517,4.833567297073616,5.515929412314471,6.7872096689492425,0,0.0,3.264926475733037,1.195634405168076,1.0880376557544973,1.3423042181356986,2.77901495657698,3.233182686555995
flex_3,FlexTDOA,120.02229118347168,96974,807.9665789062551,96972,2,807.9499153350112,1000.0,80.79665789062551,39976,333.0714620244236,333.333333,99.92143860732708,17371,39976,43.453572143285975,144.73144803948026,17371,1.5448407118737126,1.5054441584041622,4.484071187371262,0.5444158404162249,8.418565628826,9.902655630534504,7.632104924910352,16.95846338684722,25.35051964462313,66.39482283931545,20,0.11513441943469,9.703648667468894,6.351099309578265,6.109608331392907,6.433343990032489,15.25656964183549,17.625410792733444,3000,0,24.99535686595134,nan,nan,36.513566970825195,69.70257759094238,3000,1.5395333333333334,1.469833,2.2033333333333247,0.30830000000000185,3.807861886261372,4.437872613463945,3.4897169637070293,7.5248005490157,10.548519340574323,25.44333164111964,0,0.0,4.437872613463945,2.7253546695639197,2.7059832270498325,2.8553620914568674,6.742142951256167,7.681120569289064
ds_3,DS-TWR,120.0120620727539,7430,61.91044359770915,7430,0,61.91044359770915,62.5,99.05670975633464,,,,,1829,1868,97.91220556745182,,,,,,,,,,,,,,,,,,,,,1829,,15.24013476988022,15.625,97.53686252723341,63.24911117553711,77.7969717979431,1829,1.5261206608347,1.490555376161837,2.612066083470021,-0.9444623838162984,3.046362031664635,3.204502828987457,3.0124600045549585,4.730795670457677,5.4303442984750845,6.0778620470113145,0,0.0,3.204502828987457,1.1832409286802004,1.074838587576679,1.3287022732812843,2.7205983813964187,3.1970843496209564
