anchor_id,samples,rate_hz,mean_m,median_m,std_cm,robust_sigma_cm,min_m,max_m,peak_to_peak_cm,reference_distance_m,reference_bias_cm,reference_rmse_cm,reference_p95_abs_cm
2,923,15.398288549949777,2.2305048754062837,2.23,1.0383572461937756,1.0378200000000175,2.196,2.264,6.799999999999962,2.145821360808024,8.468351459825978,8.531705227323002,10.217863919197612
3,932,15.542472798634213,2.2063605150214594,2.206,1.2700417669188968,1.3343399999999845,2.176,2.241,6.499999999999995,2.2036431908319463,0.2717324189512984,1.2981193720141015,2.4485680916805546
4,932,15.529556562700641,2.2028690987124464,2.203,1.282376745973476,1.3343399999999845,2.159,2.235,7.600000000000007,2.118321933158414,8.454716555403238,8.5513132135624,10.367806684158598
5,932,15.53544451660722,2.2165214592274682,2.215,1.6716071198748956,1.3343399999999845,2.162,2.27,10.80000000000001,2.2206722658915705,-0.4150806664102679,1.7215005601734477,3.3672265891570685
