received_at,slot_id,x_m,y_m,observation_count
1785530595.096203,8390,1.5441098046677195,1.4700366412585424,2
1785530595.097273,8391,1.5304328636339837,1.4838663781917325,3
1785530595.0979083,8392,1.5258765017658016,1.4861497641980381,4
1785530595.0984044,8393,1.517774742797876,1.4861447066682496,5
1785530595.0984428,8395,1.5103370767901183,1.4917175759676438,6
1785530595.0985668,8397,1.503567671817621,1.486087279814381,7
1785530595.0985668,8398,1.5093306955108152,1.4860893987927497,8
1785530595.0986192,8399,1.5093058328694982,1.4922367414583775,8
1785530595.1062922,8400,1.509311709809448,1.4947509636566652,9
1785530595.1063683,8401,1.512835868913468,1.4947352090658632,10
1785530595.1064312,8402,1.5061735949556239,1.488072387631879,10
1785530595.1076307,8404,1.5099230513828525,1.484324827451447,10
1785530595.110511,8403,1.5099253025641903,1.4851310463670522,10
1785530595.1505969,8408,1.5099442175728803,1.4828338793162303,11
1785530595.1506615,8407,1.5152194746043264,1.4782246190009507,11
1785530595.1507213,8409,1.5243997855458487,1.4862401052484517,11
1785530595.150747,8410,1.518560090852164,1.4862269802257813,11
1785530595.150766,8411,1.5186627161168191,1.4785781926923918,11
1785530595.150997,8412,1.5186599381739927,1.475942697008283,11
1785530595.1510284,8413,1.5157002519852332,1.475974180073642,11
1785530595.1549544,8414,1.5367160387619532,1.4943181906096048,11
1785530595.1551404,8417,1.5418625989342194,1.494344843209047,11
1785530595.1799946,8419,1.5348497769740712,1.5004816985474325,11
1785530595.1834009,8418,1.5290800316644142,1.5005603841004622,12
1785530595.183736,8420,1.529077485445417,1.5036835228483174,12
1785530595.1837814,8424,1.5290662317148649,1.5070092888931474,12
1785530595.192383,8425,1.5266850006605976,1.5070356617827427,12
1785530595.1927068,8428,1.5183645095396117,1.5153550908159894,12
1785530595.1927593,8427,1.5183381169536858,1.5187811715694233,12
1785530595.1958385,8429,1.508644066787714,1.5187779592993766,12
1785530595.2178574,8431,1.5084669803461013,1.5189547474148704,12
1785530595.2500863,8432,1.508467594789373,1.5156761737598714,12
1785530595.2509344,8437,1.5113691647203806,1.5156452444634987,12
