initiator_id,responder_id,count,mean_cm,std_cm,p95_abs_cm
2,3,487,-0.2848049281314169,3.8382597320283893,7.5699999999999985
2,4,463,-0.27732181425485963,4.112517024280787,7.9
2,5,579,-0.1618307426597582,4.13823559919159,7.9
3,2,549,0.33533697632058285,3.602344751072947,6.9600000000000035
3,4,395,-1.3144303797468355,3.9859167518118364,8.1
3,5,377,0.15145888594164456,3.7576099018527653,7.159999999999997
4,2,297,0.09595959595959597,3.647831247354078,7.119999999999998
4,3,516,1.3275193798449612,4.229308103988009,9.225
4,5,311,1.057556270096463,3.9218904850418976,7.3
5,2,307,0.09609120521172637,3.625299315768193,7.369999999999998
5,3,328,0.3701219512195122,4.377921809884414,9.064999999999998
5,4,415,-1.0212048192771084,4.427732486276133,8.9
