received_at,frame_id,x_m,y_m,observation_count
1785530595.0984044,2797,1.5130157045496435,1.4869842954503565,3
1785530595.0986192,2799,1.5124689937812612,1.4811830407283375,3
1785530595.1064312,2800,1.5086979836276189,1.4842401312152396,3
1785530595.110511,2801,1.5679979910072603,1.504339874437899,2
1785530595.1506615,2802,1.500000000000367,1.4667639415701104,2
1785530595.150766,2803,1.52769152360121,1.4750352873150943,3
1785530595.1549544,2804,1.551332980365901,1.5271836750492433,3
1785530595.183736,2806,1.4844735849201178,1.4957841344089438,3
1785530595.192383,2808,1.4943137805647981,1.515527098116804,2
1785530595.1958385,2809,1.4832768288172606,1.5090650190708212,3
1785530595.2500863,2810,1.4477630883453583,1.4647408675194882,2
1785530595.2512398,2813,1.4679012930425264,1.484578812849297,3
1785530595.2513618,2814,1.4671282776508765,1.4685428163024672,2
1785530595.3092952,2817,1.5299438503132778,1.4933338346789657,3
1785530595.3093617,2819,1.4915667059373572,1.5184369124023074,2
1785530595.3248377,2821,1.4796798688555735,1.4889678780618698,3
1785530595.378715,2823,1.4373401918481328,1.520217211684646,2
1785530595.3788388,2825,1.5163758591598029,1.4793811775810584,2
1785530595.3804228,2827,1.5141522495871935,1.4978886626211634,2
1785530595.4520464,2830,1.5369559242768571,1.5135537465867688,3
1785530595.452246,2831,1.5037986547096618,1.4825520150928748,3
1785530595.4524014,2832,1.5052400512793391,1.5094356720461213,3
1785530595.4524865,2833,1.5091317802134683,1.5198597831982328,2
1785530595.4526422,2835,1.5183722063823568,1.497891628596364,2
1785530595.4642591,2836,1.472036298612082,1.5343290342001124,2
1785530595.4691339,2837,1.5511025234605638,1.5107888590541851,2
1785530595.5117671,2838,1.5048924412482985,1.4741519383251684,3
1785530595.513265,2840,1.468572777518615,1.5300127123685092,2
1785530595.5133889,2841,1.5460995860081408,1.5086166928014213,2
1785530595.5801497,2842,1.480487735588404,1.4756677862010155,3
1785530595.5805721,2844,1.5258455407399203,1.4935940460659616,3
1785530595.5807047,2846,1.4782731348955114,1.473322743125021,2
1785530595.6441896,2848,1.4922052464489957,1.5063805242867059,2
1785530595.647129,2850,1.473465729538106,1.4621494157943806,2
1785530595.6479485,2851,1.497165600368931,1.5063699499027232,2
1785530595.6480703,2852,1.509227269229216,1.488651360499942,2
1785530595.6534061,2855,1.467794697788906,1.5333840738798539,3
1785530595.6959114,2856,1.4405334680906352,1.532583827459141,2
1785530595.6961672,2857,1.5386936753912364,1.5254616251869373,3
1785530595.6963394,2858,1.5521242304696292,1.5287812221240757,2
1785530595.7139335,2860,1.5058871207737032,1.4595100260091367,3
1785530595.751198,2862,1.4893228525972109,1.4801299879953218,2
1785530595.7521358,2863,1.5535308555641858,1.448591762185131,2
1785530595.7523205,2864,1.5006860154849753,1.4872820138672154,3
1785530595.7578926,2865,1.49500343889008,1.5215838090189289,3
1785530595.7705035,2866,1.5242029019916576,1.5199598016364582,2
1785530595.8006828,2868,1.514718089618701,1.4939469899380478,3
