anchor_id,samples,rate_hz,mean_m,median_m,std_cm,robust_sigma_cm,min_m,max_m,peak_to_peak_cm,reference_distance_m,reference_bias_cm,reference_rmse_cm,reference_p95_abs_cm
2,4386,24.37326849240774,2.2233654810761516,2.231,30.0779757111774,1.0378200000000175,-14.299,2.268,1656.7,2.145821360808024,7.754412026812732,31.058159351768904,10.41786391919759
3,4917,27.3187027561471,2.196664836282286,2.204,39.144026831107986,1.186080000000001,-20.511,2.243,2275.3999999999996,2.2036431908319463,-0.6978354549660295,39.146266577443285,2.1643190831946324
4,4995,27.74481206090788,2.1970724724724726,2.197,1.3496434250496199,1.3343399999999845,2.154,2.248,9.40000000000003,2.118321933158414,7.87505393140585,7.989846501978827,10.267806684158609
5,5013,27.845834271237678,2.2165946538998607,2.216,1.654700393819105,1.4826000000000343,2.14,2.294,15.399999999999991,2.2206722658915705,-0.40776119917101267,1.7040411973485163,3.3327734108429485
