capture,position_source,duration_sec,position_count,captured_position_rate_hz,outliers_gt_10cm,outliers_gt_15cm,n,mean_x_m,mean_y_m,bias_x_cm,bias_y_cm,mean_error_cm,rmse_2d_cm,median_error_cm,p95_error_cm,p99_error_cm,max_error_cm,outliers_gt_50cm,outliers_gt_50cm_pct,rmse_within_50cm_cm,std_x_cm,std_y_cm,cep50_precision_cm,cep95_precision_cm,two_drms_cm
Uncalibrated,embedded autonomous geometry,120.0545105934143,3362,28.003945735833312,0,0,3362,1.5323610945865556,1.486475312314099,3.2361094586555597,-1.3524687685901227,3.894197881513655,4.117413435251263,3.8470768123342722,6.092372185561063,7.270122753472527,9.108786966440698,0,0.0,4.117413435251263,1.4180286352082323,1.62545253893452,1.76460078538161,3.725962666552038,4.314116904581608
Uncalibrated,offline surveyed geometry,120.0545105934143,5920,49.31093359789804,0,0,5920,1.5360781914669939,1.5013107717546044,3.607819146699361,0.131077175460459,3.8338722285814844,4.030313228116889,3.8120550773179525,5.902196640597344,6.877447485945582,9.4308808237649,0,0.0,4.030313228116889,1.2841603145347193,1.2495435502273422,1.4626009078080284,3.115057826018832,3.5835327805620305
Calibrated,embedded autonomous geometry,120.02071261405945,3512,29.261615962015192,5,2,3512,1.4934496013667427,1.4930105353075172,-0.6550398633257396,-0.6989464692482908,2.923368057115683,3.328329767808497,2.7459060435491836,5.661271941887266,7.295160061302311,16.465721970202214,0,0.0,3.328329767808497,1.9913220158148879,2.4895192499117287,2.5604805546978646,5.493243416264241,6.375913884722761
Calibrated,offline surveyed geometry,120.02071261405945,5901,49.16651360815821,10,1,5901,1.4970081631738656,1.4972877714999686,-0.29918368261345507,-0.27122285000312724,1.6156228413092346,1.8876773042850217,1.497774211267796,3.111058674724626,3.8643933481707027,17.49709452384503,0,0.0,1.8876773042850217,1.2892058715310615,1.318627100307969,1.471544529149926,3.0178253636415504,3.6882674571439455
