mode,received_at,frame_start_seq,frame_span_ms,anchors_used,x_m,y_m,reference_error_cm
rolling,1785486051.3664362,,9.934425354003906,3,1.5422202627567936,1.5348221480721589,4.232476065498982
coherent,1785486051.3702805,58227,13.7786865234375,4,1.5413339381569788,1.533947319537518,4.144940776781184
rolling,1785486051.3702805,,13.7786865234375,4,1.5413339381569788,1.533947319537518,4.144940776781184
rolling,1785486051.3778472,,11.548757553100586,4,1.5372337018063396,1.5423477891878983,5.005196336104324
rolling,1785486051.394226,,27.789831161499023,4,1.5461056336148291,1.550127177415298,5.779154887213937
rolling,1785486051.3944972,,24.216651916503906,4,1.5543744300822964,1.5457646282403397,5.474026723066291
rolling,1785486051.418175,,47.89447784423828,4,1.557748803976408,1.5388512888465993,4.903471939775341
rolling,1785486051.42536,,55.07946014404297,4,1.5374159872892492,1.5495787161103052,5.724302139979831
rolling,1785486051.434456,,64.17560577392578,4,1.5340398223011573,1.5466183125895094,5.466478388948037
coherent,1785486051.4410975,58236,22.922515869140625,4,1.5345249477756737,1.5470971457484628,5.507313050411368
rolling,1785486051.4410975,,22.922515869140625,4,1.5345249477756737,1.5470971457484628,5.507313050411368
rolling,1785486051.447254,,21.893978118896484,4,1.53259411545238,1.5510529904717254,5.926451649200659
rolling,1785486051.4601233,,25.667190551757812,4,1.5311929717996697,1.5517922223672227,6.02247331058159
rolling,1785486051.460809,,19.71149444580078,4,1.5262228446062938,1.5474341468306378,5.7086364769797555
rolling,1785486051.4614043,,20.306825637817383,4,1.5279119409998714,1.5439735651037803,5.330121744748566
coherent,1785486051.4772458,58240,29.991865158081055,4,1.5247681239053952,1.545998294571383,5.612888416616697
rolling,1785486051.4772458,,17.122507095336914,4,1.526457220298973,1.542537712844526,5.232247908590895
rolling,1785486051.4807653,,20.64204216003418,4,1.5386400007161174,1.5545624766188793,6.214035001200662
rolling,1785486051.4808233,,20.014286041259766,4,1.5409741894109028,1.5533309778143438,6.083592478067012
coherent,1785486051.505867,58244,44.46268081665039,4,1.5482837773190417,1.559740418660734,6.75571176688705
rolling,1785486051.505867,,44.46268081665039,4,1.5482837773190417,1.559740418660734,6.75571176688705
rolling,1785486051.507887,,27.121543884277344,4,1.5451511393546467,1.5661584950580685,7.373697609157317
rolling,1785486051.5147965,,34.03115272521973,4,1.5567432783486665,1.560042577632439,6.918669083627747
rolling,1785486051.519392,,38.626670837402344,4,1.554143289853651,1.5577627675159835,6.64290784012689
rolling,1785486051.5435379,,62.772512435913086,4,1.5543836073373791,1.5572704105989974,6.599101547572824
rolling,1785486051.5558724,,75.10709762573242,4,1.547444084836948,1.5609316457349662,6.866813482341202
rolling,1785486051.5578668,,77.10146903991699,4,1.5554657898471231,1.5679655092572398,7.670179905702993
coherent,1785486051.568648,58253,25.110244750976562,4,1.5500885362488743,1.5626580012779658,7.065179636847782
rolling,1785486051.568648,,25.110244750976562,4,1.5500885362488743,1.5626580012779658,7.065179636847782
rolling,1785486051.578948,,23.075580596923828,4,1.5467340205985944,1.5695306555598372,7.7191724668551736
rolling,1785486051.5852377,,27.370929718017578,4,1.553673543099026,1.5658694204238688,7.433197651999277
rolling,1785486051.595099,,26.45087242126465,4,1.5503233544878516,1.5629317943911256,7.095167417565401
coherent,1785486051.5951877,58257,16.239643096923828,4,1.5547209584457389,1.5672723592668036,7.588907347784035
rolling,1785486051.5951877,,16.239643096923828,4,1.5547209584457389,1.5672723592668036,7.588907347784035
rolling,1785486051.6017642,,16.526460647583008,4,1.5590378351432301,1.5584280418712813,6.815699486421718
rolling,1785486051.6088164,,13.717412948608398,4,1.554416740441603,1.5608660935221235,6.9529627187916665
rolling,1785486051.616431,,21.24333381652832,4,1.5489629354608399,1.556083903219299,6.399171185836047
coherent,1785486051.6244266,58261,22.66240119934082,4,1.536307051151111,1.5435921719421044,5.138127797100019
rolling,1785486051.6244266,,22.66240119934082,4,1.536307051151111,1.5435921719421044,5.138127797100019
rolling,1785486051.6345093,,25.69293975830078,4,1.5360662972224635,1.5440854230373735,5.189759481139919
rolling,1785486051.6378882,,21.457195281982422,4,1.543909654571085,1.5399473320510058,4.749645699023048
rolling,1785486051.6459746,,21.548032760620117,4,1.5459934066524426,1.5417744782419878,4.9456857017385625
rolling,1785486051.682137,,57.71040916442871,4,1.542873534701939,1.5481663999245505,5.567773711984411
rolling,1785486051.6836982,,45.80998420715332,4,1.5457810089357824,1.551036162790241,5.867479345720743
rolling,1785486051.684687,,46.7987060546875,4,1.5514725389043924,1.5560268031816975,6.426649582195659
rolling,1785486051.6865666,,4.42957878112793,4,1.549171973454367,1.5572405626381594,6.516460803736006
coherent,1785486051.6952786,58270,13.141632080078125,4,1.552573971854055,1.560598435448492,6.895328329550253
rolling,1785486051.6952786,,13.141632080078125,4,1.552573971854055,1.560598435448492,6.895328329550253
rolling,1785486051.6980274,,13.340473175048828,4,1.5578645571666614,1.5497592063039642,5.948357470123619
rolling,1785486051.7054138,,20.726919174194336,4,1.5486097590466228,1.5546419618611764,6.251943472340131
rolling,1785486051.7164187,,21.140098571777344,4,1.5410953573974098,1.5480529292820597,5.555678634293621
coherent,1785486051.7219207,58274,23.893356323242188,4,1.5357541685449583,1.5427810182711243,5.063724709360111
rolling,1785486051.7219207,,23.893356323242188,4,1.5357541685449583,1.5427810182711243,5.063724709360111
rolling,1785486051.7275443,,22.130489349365234,4,1.5326215305805628,1.5491990946684593,5.742922853534178
rolling,1785486051.7438273,,38.41352462768555,4,1.5331429387615707,1.5496562934784321,5.780072133939804
rolling,1785486051.7438717,,21.950960159301758,4,1.5483682794971285,1.5416235286225433,4.956735506189477
coherent,1785486051.7491295,58278,21.58522605895996,4,1.5644711884952371,1.5575175749856927,6.887334363639008
rolling,1785486051.7491295,,21.58522605895996,4,1.5644711884952371,1.5575175749856927,6.887334363639008
rolling,1785486051.7617645,,17.937183380126953,4,1.570268922804152,1.5456393106765098,6.030850103496042
rolling,1785486051.7655106,,21.683216094970703,4,1.560606547914045,1.5507371003936496,6.1213799600210335
rolling,1785486051.7748857,,25.756120681762695,4,1.5564221179672746,1.5470679665715057,5.650605296244458
rolling,1785486051.787916,,26.151418685913086,4,1.5403192089691657,1.5311739202083563,3.8700378128078152
rolling,1785486051.8014982,,39.7336483001709,4,1.5393941494477215,1.5316619740222268,3.9232769990688183
rolling,1785486051.8157701,,54.00562286376953,4,1.5422741773907203,1.5341873378277624,4.1690633205828584
rolling,1785486051.8175836,,55.819034576416016,4,1.547128710749137,1.5389789055053293,4.678909259962435
rolling,1785486051.825081,,23.582935333251953,4,1.5394123645746702,1.5547879775458555,6.233182723244013
rolling,1785486051.83676,,20.98989486694336,4,1.531049002731317,1.5592004186372708,6.755336548930442
rolling,1785486051.8381069,,20.5233097076416,4,1.536248979721348,1.5637600388701818,7.147205302694169
coherent,1785486051.8567624,58291,31.681299209594727,4,1.5381969131427893,1.5656827066388659,7.3268908666672505
rolling,1785486051.8567624,,31.681299209594727,4,1.5381969131427893,1.5656827066388659,7.3268908666672505
rolling,1785486051.8575256,,20.76554298400879,4,1.5420411199926027,1.5578067843236536,6.530743318755001
rolling,1785486051.8757274,,37.62054443359375,4,1.5573219390820137,1.549744749543444,5.9324924248292
rolling,1785486051.8758464,,19.08397674560547,4,1.5547278275953509,1.5474700927048284,5.648128097938365
coherent,1785486051.885236,58295,27.710437774658203,4,1.5576562849540216,1.5503605665339157,6.000712508247862
rolling,1785486051.885236,,27.710437774658203,4,1.5576562849540216,1.5503605665339157,6.000712508247862
rolling,1785486051.8885999,,12.872457504272461,4,1.5552503823359927,1.5552897243180448,6.422468219581984
rolling,1785486051.8954754,,19.62900161743164,4,1.5547906895365478,1.5555322544674863,6.436710873452826
rolling,1785486051.9007604,,15.52438735961914,4,1.5469378309763309,1.5486464446175585,5.638560838930046
rolling,1785486051.9200094,,31.409502029418945,4,1.5444969034085627,1.5462371770786465,5.380733852103996
rolling,1785486051.9254446,,29.969215393066406,4,1.545457955121016,1.5442681964998435,5.190081983963146
rolling,1785486051.9351013,,34.340858459472656,4,1.5431563389445917,1.5454825103109326,5.300117157266588
rolling,1785486051.9413543,,21.344900131225586,4,1.5515289601234774,1.5528240760530383,6.111155547643439
coherent,1785486051.947059,58304,21.61431312561035,4,1.5432706797716356,1.544672909651522,5.219506651469791
rolling,1785486051.947059,,21.61431312561035,4,1.5432706797716356,1.544672909651522,5.219506651469791
rolling,1785486051.956416,,21.314620971679688,4,1.5420696379091432,1.5471335765135994,5.463451153858967
rolling,1785486051.9619558,,20.601511001586914,4,1.5383761244723178,1.5490822438994656,5.668274305972595
rolling,1785486051.964552,,17.493009567260742,4,1.5370758363743928,1.5479420811773459,5.563876500134027
coherent,1785486051.9708061,58308,14.390230178833008,4,1.5477750442940026,1.558502515117774,6.627694290337096
rolling,1785486051.9708061,,14.390230178833008,4,1.5477750442940026,1.558502515117774,6.627694290337096
rolling,1785486051.9892337,,32.817840576171875,4,1.5505464402433007,1.5570403493528213,6.51370405801353
rolling,1785486052.009209,,52.793025970458984,4,1.5412999858566359,1.5479138260188294,5.541565326488836
rolling,1785486052.009367,,52.95109748840332,4,1.5420805113358922,1.5485982328487717,5.609920646941606
coherent,1785486052.009464,58312,20.23029327392578,4,1.5471432178449724,1.5382258765401688,4.6042834231724905
rolling,1785486052.009464,,20.23029327392578,4,1.5471432178449724,1.5382258765401688,4.6042834231724905
rolling,1785486052.0215423,,32.30857849121094,4,1.5428008091196976,1.5471225033652378,5.463260998425266
rolling,1785486052.0216942,,12.485265731811523,4,1.5441836701330702,1.546392917240255,5.394783850147833
rolling,1785486052.0282118,,19.002914428710938,4,1.5418389201107905,1.5443369139803949,5.183699024631894
rolling,1785486052.0608208,,51.611900329589844,4,1.5441394855608164,1.543123154523933,5.067951672223557
rolling,1785486052.0665927,,57.38377571105957,4,1.5457037101038393,1.5444947509538511,5.2144855454188495
rolling,1785486052.0769053,,55.36293983459473,4,1.54376714254168,1.5425833016236734,5.012390612832672
rolling,1785486052.0815787,,20.75791358947754,4,1.5473833614767374,1.5351744756889567,4.304469348078753
rolling,1785486052.0963001,,29.70743179321289,4,1.5386132634444336,1.5398015074565983,4.740539762395897
rolling,1785486052.0963898,,19.484519958496094,4,1.5349568239280256,1.5365953441156077,4.4615542289864765
coherent,1785486052.1038163,58325,22.237539291381836,4,1.5422369846590247,1.543781077587943,5.128338983178437
rolling,1785486052.1038163,,22.237539291381836,4,1.5422369846590247,1.543781077587943,5.128338983178437
rolling,1785486052.11622,,19.919872283935547,4,1.5388610832076959,1.5506975466056727,5.826920517007514
rolling,1785486052.1179762,,21.58641815185547,4,1.5499264930580305,1.5448595271547068,5.299410460223386
rolling,1785486052.1251097,,21.29340171813965,4,1.545983314304118,1.5414019353878983,4.9084826929303045
coherent,1785486052.1372993,58329,21.079301834106445,4,1.55478442372375,1.55008889009771,5.904554567870784
rolling,1785486052.1372993,,21.079301834106445,4,1.55478442372375,1.55008889009771,5.904554567870784
rolling,1785486052.1400402,,22.0639705657959,4,1.5596136867565822,1.5401948073981386,5.093040307402679
rolling,1785486052.1470773,,21.967649459838867,4,1.5517881917567395,1.5443234743558414,5.278671980769055
rolling,1785486052.156861,,19.561767578125,4,1.5552071413656356,1.547321393739314,5.644891376506376
rolling,1785486052.181506,,44.20661926269531,4,1.5503778783328037,1.5572154764388848,6.528807835460872
rolling,1785486052.1966903,,59.391021728515625,4,1.5495906530640253,1.556525194872205,6.450349927635121
rolling,1785486052.1967907,,59.49139595031738,4,1.5421700029456145,1.5604402689920118,6.794156719697638
coherent,1785486052.2045858,58338,23.079872131347656,4,1.5338559861684513,1.5522340890939719,6.025343852643812
