anchor_id,samples,rate_hz,mean_m,median_m,std_cm,robust_sigma_cm,min_m,max_m,peak_to_peak_cm,reference_distance_m,reference_bias_cm,reference_rmse_cm,reference_p95_abs_cm
2,3376,18.75399191706816,2.1726258886255922,2.173,1.1953744150269865,1.0378200000000175,2.117,2.206,8.899999999999997,2.1213203435596424,5.130554506595002,5.267929980452654,7.0679656440357785
3,3287,18.272380489028276,2.1670784910252507,2.166,1.7392201235637283,1.7791200000000014,2.109,2.221,11.20000000000001,2.1213203435596424,4.575814746560858,4.895104388619423,7.567965644035768
4,2417,13.430213584218635,2.153504344228382,2.154,1.681207244693313,1.7791200000000014,2.095,2.203,10.799999999999965,2.1213203435596424,3.218400066873987,3.6308934689159744,6.0679656440357554
5,3245,18.027255423546308,2.1241057010785824,2.124,1.686726252743927,1.630859999999952,2.064,2.195,13.099999999999978,2.1213203435596424,0.27853575189400454,1.709312981678893,3.367965644035742
