role,capture_id,protocol,kind,first_id,second_id,link,time,measured_m,rtk_horizontal_m,rtk_vertical_m,rtk_slant_m,height_correction_m,error_m,first_rtk_age_ms,second_rtk_age_ms
calibration,native_ds_rtk_delay_dryrun,native_ds,ds_range,1,2,M1-M2,1786379399.9109385,4.702,4.666504056886564,-0.009998655247347332,4.666514768651816,1.0711765252580108e-05,0.03548523134818371,156.16607666015625,13.750076293945312
calibration,native_ds_rtk_delay_dryrun,native_ds,ds_range,1,3,M1-M3,1786379399.911204,4.741,4.893354008392724,-0.02999794878078388,4.893445956418053,9.194802532874746e-05,-0.15244595641805336,155.9004783630371,165.90046882629395
calibration,native_ds_rtk_delay_dryrun,native_ds,ds_range,1,4,M1-M4,1786379399.9114354,5.24,5.1540490659508436,-0.009999072985564905,5.154058765253781,9.699302937704601e-06,0.08594123474621895,155.6692123413086,24.808168411254883
calibration,native_ds_rtk_delay_dryrun,native_ds,ds_range,1,5,M1-M5,1786379399.880966,4.753,4.653892632410534,0.010002747220691721,4.653903381996344,1.0749585809932682e-05,0.09909661800365654,186.13862991333008,15.661239624023438
calibration,native_ds_rtk_delay_dryrun,native_ds,ds_range,1,2,M1-M2,1786379399.9822907,4.731,4.666504056886564,-0.009998655247347332,4.666514768651816,1.0711765252580108e-05,0.06448523134818362,84.81383323669434,57.6021671295166
calibration,native_ds_rtk_delay_dryrun,native_ds,ds_range,1,3,M1-M3,1786379400.013009,4.805,4.893354008392724,-0.02999794878078388,4.893445956418053,9.194802532874746e-05,-0.0884459564180533,54.09550666809082,64.09549713134766
calibration,native_ds_rtk_delay_dryrun,native_ds,ds_range,1,4,M1-M4,1786379400.0132465,5.224,5.1540490659508436,-0.009999072985564905,5.154058765253781,9.699302937704601e-06,0.06994123474621894,53.858041763305664,126.61933898925781
calibration,native_ds_rtk_delay_dryrun,native_ds,ds_range,1,5,M1-M5,1786379400.0135043,4.686,4.653892632410534,0.010002747220691721,4.653903381996344,1.0749585809932682e-05,0.032096618003656374,53.600311279296875,116.87707901000977
calibration,native_ds_rtk_delay_dryrun,native_ds,ds_range,1,2,M1-M2,1786379400.1166823,4.79,4.666504056886564,-0.009998655247347332,4.666514768651816,1.0711765252580108e-05,0.12348523134818379,49.57771301269531,191.99371337890625
calibration,native_ds_rtk_delay_dryrun,native_ds,ds_range,1,3,M1-M3,1786379400.1426127,4.779,4.893354008392724,-0.02999794878078388,4.893445956418053,9.194802532874746e-05,-0.11444595641805311,75.50811767578125,65.50812721252441
