role,capture_id,protocol,motion,gps_time,uwb_time,delta_ms,uwb_east_m,uwb_north_m,rtk_east_m,rtk_north_m,error_east_m,error_north_m,error_m,gps_fix_age_ms,gps_speed_mps,position_sigma_m,position_rms_m,geometry_version,alignment_version,alignment_exact_version,alignment_age_s,debiased_error_m
calibration,walk_flex_final,flextdoa,dynamic,1786048595.2893074,1786048595.286584,-2.7234554290771484,-0.12004715318433345,-0.07406879424713608,0.26637468629356736,-0.5198200490083664,-0.3864218394779008,0.44575125476123034,0.5899288254922757,40.0,0.0,0.127,0.127,98,98,True,1.2166805267333984,0.03928334433279268
calibration,walk_flex_final,flextdoa,dynamic,1786048597.2200885,1786048597.2079864,-12.102127075195312,-0.1240466192176446,-0.07413415056580863,0.26398209973794196,-0.5209312503513519,-0.38802871895558655,0.4467970997855433,0.5917718606955609,40.0,0.0,0.115,0.115,98,98,True,0.7047219276428223,0.040903596358827614
calibration,walk_flex_final,flextdoa,dynamic,1786048600.53719,1786048600.523196,-13.993978500366211,-0.1041146453697609,-0.06980790293913763,0.2647796290051384,-0.5209312508272529,-0.3688942743748993,0.45112334788811526,0.5827480250299996,50.0,0.0,0.121,0.121,98,98,True,1.982621192932129,0.022409223870079407
calibration,walk_flex_final,flextdoa,dynamic,1786048606.2070396,1786048606.1956835,-11.356115341186523,-0.08395392440652505,-0.07947978642905529,0.2631845707385831,-0.5220424517538291,-0.34713849514510814,0.44256266532477384,0.5624649745103939,40.0,0.0,0.111,0.111,98,98,True,0.5231432914733887,0.0031885894364565015
calibration,walk_flex_final,flextdoa,dynamic,1786048609.3171878,1786048609.319397,2.209186553955078,0.0036226686860405533,-0.11405348079773958,0.2663746863822909,-0.5231536531622923,-0.26275201769625034,0.40910017236455276,0.4862114497131443,30.0,0.0,0.105,0.105,98,98,True,0.44010353088378906,0.09200206202621024
calibration,walk_flex_final,flextdoa,dynamic,1786048610.8274899,1786048610.8319573,4.467487335205078,0.04756777781345889,-0.11033496176736435,0.26079198383522273,-0.5220424523593699,-0.21322420602176384,0.4117074905920055,0.4636460070389671,50.0,0.0,0.147,0.147,98,98,True,0.09166502952575684,0.1381738568261755
calibration,walk_flex_final,flextdoa,dynamic,1786048612.2215965,1786048612.2331476,11.551141738891602,-0.0431650144668414,-0.24983607432572263,0.25839939685526553,-0.5231536538622652,-0.30156441132210693,0.27331757953654257,0.40699335800448044,40.0,0.05,0.137,0.137,98,98,True,0.5258843898773193,0.1783546171754436
calibration,walk_flex_final,flextdoa,dynamic,1786048614.2201333,1786048614.1884196,-31.71372413635254,0.2935413041592547,0.01570084400629046,0.25122164985391404,-0.6776106825551372,0.04231965430534068,0.6933115265614277,0.6946019190899639,60.0,0.05,0.189,0.189,98,98,True,1.4293875694274902,0.4614799436022715
calibration,walk_flex_final,flextdoa,dynamic,1786048618.1553984,1786048618.192224,36.82565689086914,2.7741294693868954,1.6524498640251117,1.410031226672447,-0.00977842259063802,1.3640982427144484,1.6622282866157498,2.150294606002205,50.0,0.67,0.133,0.133,98,98,True,0.7380673885345459,2.099558892250893
calibration,walk_flex_final,flextdoa,dynamic,1786048620.1148062,1786048620.165202,50.39572715759277,2.94802454643759,1.6602921964289816,3.2523225083975795,1.3058848497914832,-0.3042979619599895,0.3544073466374984,0.4671207734661724,100.0,0.62,0.288,0.288,98,98,True,0.1203467845916748,0.10089113357923002
calibration,walk_flex_final,flextdoa,dynamic,1786048620.978368,1786048620.9967234,18.355369567871094,2.6460026872525058,1.7203654564902209,3.3583938474561155,1.272548853895553,-0.7123911602036097,0.44781660259466793,0.8414516472713545,100.0,0.31,0.149,0.149,98,98,True,0.9518682956695557,0.3652585043418031
calibration,walk_flex_final,flextdoa,dynamic,1786048624.3232603,1786048624.310115,-13.145208358764648,0.8813185161507939,0.40135606446032845,2.769817670137525,1.0614202869736549,-1.8884991539867308,-0.6600642225133264,2.0005283883141276,10.0,0.62,0.119,0.119,98,98,True,2.242358446121216,1.8970030443846517
calibration,walk_flex_final,flextdoa,dynamic,1786048628.501584,1786048628.511886,10.301828384399414,-1.6755822509810012,-1.7677108932523282,-0.7712107239990282,-1.7299185005850948,-0.904371526981973,-0.03779239266723344,0.9051608275655878,20.0,0.72,0.202,0.202,98,98,True,1.4045178890228271,0.7377825633196592
calibration,walk_flex_final,flextdoa,dynamic,1786048630.8761756,1786048630.879937,3.76129150390625,-2.9374647068679485,-2.764461949195951,-1.6875719236417068,-2.3644144022047673,-1.2498927832262416,-0.4000475469911837,1.3123528524808807,30.0,0.82,0.192,0.192,98,98,True,0.2824082374572754,1.2370694878197803
calibration,walk_flex_final,flextdoa,dynamic,1786048631.9040833,1786048631.909452,5.368709564208984,-3.2590128197210277,-3.1007606425038845,-2.4707458945684504,-2.9622405864181474,-0.7882669251525773,-0.13852005608573714,0.8003452700100718,30.0,0.51,0.23,0.23,98,98,True,0.7471067905426025,0.7320978462198126
calibration,walk_flex_final,flextdoa,dynamic,1786048632.7393403,1786048632.7664924,27.152061462402344,-2.7078903046764005,-3.1037562077067506,-2.8846638933273114,-3.5978476812928912,0.17677358865091097,0.4940914735861406,0.5247621231711044,10.0,0.31,0.139,0.139,98,98,True,1.60414719581604,0.5261374804207806
