link,calibration_samples,calibration_median_bias_mm,calibration_p95_abs_mm,direct_rtk_recommended_bias_mm,applied_bias_mm,validation_samples,validation_mean_bias_mm,validation_median_bias_mm,validation_rmse_mm,validation_p95_abs_mm
M1-M2,397,96.65125523603368,137.7271499883829,97,78,386,1.6895501412037492,4.431314078835236,27.407358078757543,51.4240822026033
M1-M3,483,-115.03208894812732,145.5229441742336,-115,-31,469,16.590071338925124,15.75882025998876,25.776411770824943,48.91682591482028
M1-M4,481,45.446278543854746,97.62471774849234,45,104,411,-15.23814168043733,-19.355080612443842,31.05251675021827,59.591625562462
M1-M5,478,91.15220292043169,115.25227946035828,91,72,485,-2.680724785732182,-2.3947132576829233,17.430932356065384,31.402190998595362
