received_at,frame_id,x_m,y_m,observation_count
1785530471.0979538,1,1.488489117175671,1.4481750482457312,2
1785530449.5402305,2,1.4833264370955175,1.4721425569269242,3
1785530471.13413,3,1.5149017579994835,1.5105541128566606,2
1785530471.1344361,4,1.5065995429698646,1.5051808182700837,3
1785530449.5826013,5,1.4249050888863004,1.476551732293987,2
1785530449.5944512,7,1.5294033280807542,1.5301105739874135,2
1785530471.1831026,8,1.4964629812039687,1.4943446441264217,3
1785530471.18542,9,1.5167740613285008,1.5360306455010864,3
1785530449.6316805,11,1.5247260594131788,1.50285183816591,2
1785530471.2110639,12,1.4572155547505319,1.489453213731613,3
1785530471.2262928,13,1.49449384523818,1.4789094769093063,3
1785530471.2319493,14,1.4599057463017826,1.4703334852397012,3
1785530449.6939323,16,1.463502802664376,1.536670464409238,3
1785530471.2742145,17,1.4886489567742633,1.4901378371775273,2
1785530449.7046516,18,1.4886513587337882,1.490772728971203,2
1785530471.2743165,19,1.4709876288281418,1.53488763699112,3
1785530449.7369785,20,1.509848159388231,1.5156077311907565,2
1785530471.3178391,21,1.5335527974219139,1.505698274927051,3
1785530471.3258407,23,1.4875417199867602,1.5348379123747884,3
1785530449.7589302,24,1.4957783667687685,1.5077544581102909,3
1785530471.3332052,25,1.513587879687944,1.5195457782811506,3
1785530471.380511,26,1.5012099273121058,1.5158064321798241,3
1785530471.3850725,28,1.4779814311934893,1.513336918313143,2
1785530449.822448,29,1.4907870963194922,1.499959495198757,3
1785530471.3863797,30,1.4832506494072852,1.4624390942485306,3
1785530471.3970184,31,1.5237619319166256,1.506926765101573,3
1785530471.4364862,32,1.508688960781446,1.4832615235265858,3
1785530471.4366784,33,1.51282785185814,1.476564771565279,2
1785530449.8612988,34,1.494134928957921,1.4865145019275898,3
1785530471.436755,35,1.4905633549826824,1.4940883227371595,3
1785530471.4501235,36,1.52645767844889,1.4987016686406016,3
1785530449.8848438,37,1.5014162154546276,1.5042446475909461,2
1785530449.9223614,38,1.5164334913461548,1.5295875282290543,3
1785530471.4864907,39,1.5014512961137927,1.481938687298806,3
1785530449.9225192,40,1.4983389142024364,1.532307581943947,3
1785530471.4923751,41,1.4775485475296477,1.5224593007312655,3
1785530471.5211499,42,1.5902616869111639,1.5329377439669643,2
1785530449.9654393,43,1.4815356543588476,1.5142896341448193,3
1785530471.5292614,44,1.4872719631015212,1.500000000270689,2
1785530449.9658237,45,1.5258040901943404,1.5406569761411733,2
1785530450.0000672,46,1.5082692510407576,1.5122527164315944,3
1785530450.0001583,48,1.495492453690842,1.4630758319512491,3
1785530471.5791473,49,1.502847139511329,1.4802193620683213,2
1785530450.0276277,50,1.5245020118544181,1.5301598050401537,2
1785530450.0411477,51,1.5119912760701124,1.502194771613531,3
1785530471.6154025,52,1.4682241018207147,1.485364039020878,3
1785530450.1496499,54,1.5198113187449875,1.5035342755197905,3
1785530471.664803,56,1.506163526177435,1.5326991525992295,3
1785530450.1498492,57,1.4905955986465882,1.480491461038284,3
1785530450.149961,58,1.5505983604329563,1.5230128948427444,2
1785530450.150085,59,1.4676181365503804,1.5135809795356616,2
1785530471.6965804,60,1.4908863368740877,1.5454551312145484,3
1785530471.6966841,61,1.4837933904109126,1.4894504696929585,2
1785530450.150391,62,1.4798388083003486,1.4899513179134842,3
1785530450.1622374,64,1.4932808801799304,1.520632789738998,3
1785530450.2248108,65,1.465078080928021,1.4146967890260889,2
1785530471.7844114,66,1.4771381145020115,1.5009545631256744,3
1785530450.2255073,68,1.5115341549167638,1.4981330682315963,3
1785530471.7845764,69,1.5081858002219706,1.5129306867011718,3
1785530471.784612,70,1.4779695503885675,1.4850411554001328,2
1785530450.231535,71,1.5097360018206853,1.4440022613326355,3
1785530450.240373,72,1.4809887144348108,1.5076326631273524,3
1785530450.2586486,73,1.5007079390277245,1.4964636310206454,2
1785530471.850701,74,1.5238546228330103,1.4764784685294097,2
1785530450.2879329,75,1.5084551104133945,1.493681695787452,3
1785530471.8597531,77,1.5150962370085945,1.4997859386402899,3
1785530471.8657646,78,1.5246053464618088,1.5175335811011132,2
1785530471.8973885,79,1.499606721132639,1.4775681474934208,3
1785530450.319343,80,1.5237108569669546,1.4726292386817383,3
1785530450.3624012,82,1.476759899069851,1.4966763501141642,3
1785530450.3625371,83,1.4597691887879523,1.4526951116179918,2
1785530471.9450982,84,1.5127890498167464,1.4949524784390034,3
1785530450.3691812,85,1.5124492451841185,1.5575553722193978,3
1785530450.3917558,86,1.44222584147897,1.4372721026064665,2
1785530471.986582,88,1.4886799696802557,1.4914834502842362,3
1785530450.429557,89,1.5231145614488806,1.5285043169078028,2
1785530471.998714,91,1.5224435280770379,1.4754348911622708,2
1785530450.4384518,92,1.5075651168297008,1.5082675087963622,3
1785530472.035319,93,1.4641362377467053,1.457374710051206,2
1785530450.454919,94,1.53655884739465,1.5174638689400177,2
1785530472.0414157,95,1.4943910256440334,1.525504408181755,2
1785530450.503665,96,1.4760285257202566,1.5210251454839097,3
1785530472.0613875,97,1.533910747073982,1.5163616918335585,3
1785530450.5107007,98,1.481827081562399,1.4579981918189724,3
1785530472.084591,99,1.5226181933783909,1.4781994782186216,3
1785530450.5361118,101,1.4870838077499564,1.4559655037756718,2
1785530450.5485334,102,1.5005040758021715,1.4868169104265678,3
1785530450.575228,103,1.558400685551742,1.4486751103473283,2
1785530472.1486015,104,1.5658898479331402,1.4624112455346054,2
