initiator_id,responder_id,count,mean_cm,std_cm,p95_abs_cm
2,3,449,-0.13697104677060135,3.886178082728286,8.799999999999999
2,4,442,-0.05022624434389139,3.879314576229993,7.494999999999999
2,5,499,-0.338877755511022,3.747889840444969,7.399999999999999
3,2,492,-0.1247967479674797,3.611053826041906,7.199999999999999
3,4,411,-0.810462287104623,3.725778691621407,7.3
3,5,406,0.41157635467980297,3.561223118756107,7.375
4,2,307,-0.2651465798045603,3.8770386028665422,7.5
4,3,494,0.858502024291498,3.928152741227579,7.9
4,5,352,0.9886363636363636,4.1988176824041705,8.7
5,2,343,-0.20029154518950437,3.7670353688687905,7.6
5,3,336,-0.17380952380952383,3.854646168716213,7.925000000000001
5,4,405,-1.342716049382716,4.344972915280256,9.0
