received_at,slot_id,x_m,y_m,observation_count
1785530445.0030298,7380,0.0,1.683538093363423,2
1785530445.003079,7381,1.4799180489678778,1.5142748793473821,3
1785530445.0030992,7382,1.491066806617888,1.5197413299500242,4
1785530445.003136,7383,1.497179903497026,1.507772637554758,5
1785530445.0056763,7388,1.499757469809753,1.5025943235151005,6
1785530445.0057917,7387,1.5138993690549087,1.4955221390244804,7
1785530445.005819,7389,1.5132201855983087,1.4951819476561596,8
1785530445.0058608,7391,1.512667398739727,1.4973908126529765,8
1785530445.0058808,7392,1.5133549690920607,1.494578298286668,8
1785530445.0059202,7393,1.5177574605523247,1.493945977379064,8
1785530445.0059364,7394,1.5100607025672963,1.4900840707754435,8
1785530445.005969,7395,1.5097823430637791,1.4912310663912358,8
1785530445.0060043,7397,1.5138726621791734,1.4906611330419468,9
1785530445.0060213,7399,1.5097197946578131,1.4937745793350474,9
1785530445.026284,7404,1.5093129210334852,1.4958462274203643,9
1785530445.0556118,7405,1.5103337292992893,1.4956985295034244,9
1785530445.0557067,7406,1.5147023025910282,1.4986113029922479,9
1785530445.0558546,7407,1.51451665374955,1.499542475180522,9
1785530445.0559611,7408,1.512728034959004,1.5008838636283492,10
1785530445.0561259,7414,1.5087870167850084,1.5008752194749015,11
1785530445.056266,7417,1.50838309732581,1.500876403502594,11
1785530445.0590885,7418,1.500811853203633,1.4942543142596885,11
1785530445.0609818,7419,1.5008130569943472,1.495314689142569,11
1785530445.0831034,7424,1.5008149595686633,1.494695800170276,11
1785530445.0859382,7423,1.499904409350639,1.4954922892156788,11
1785530445.0859585,7425,1.4964710793511506,1.4924902077241113,11
1785530445.086113,7426,1.5026219228153281,1.4924886195811746,11
1785530445.0880654,7427,1.5026197080262151,1.4937271428491785,11
1785530445.0908358,7428,1.5026016030741618,1.4900180204552083,11
1785530445.134811,7429,1.5100072289319508,1.4900104002524088,11
1785530445.1370232,7430,1.5168750992053264,1.4960148044822126,11
